station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
00002,2017-01-01 00:00:00,0.8,1027.7,,91,-0.5,,0,,0,168,0.8,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 00:30:00,0.6,1027.6,,91,-0.7,,0,,0,168,0.6,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 01:00:00,0.4,1027.1,,92,-0.7,,0,,0,168,0.4,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 01:30:00,0.2,1026.8,,92,-0.9,,0,,0,168,0.2,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 02:00:00,-0.1,1026.5,,92,-1.2,,0,,0,168,-0.1,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 02:30:00,-0.4,1026.3,,92,-1.5,,0,,0,168,-0.4,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 03:00:00,-0.4,1026,-1.7,93,-1.4,,0,,0,168,-0.4,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 03:30:00,-0.3,1025.7,-2,93,-1.3,,0,,0,168,-0.4,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 04:00:00,-0.4,1025.5,-1.6,93,-1.4,,0,,0,168,-0.4,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 04:30:00,-0.9,1025.4,-1.7,93,-1.9,,0,,0,168,-0.9,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 05:00:00,-0.8,1025.2,-1.3,93,-1.8,,0,,0,168,-0.9,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 05:30:00,-0.9,1025.3,-1.2,93,-1.9,,0,,0,168,-0.9,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 06:00:00,-1.1,1025.2,-0.8,93,-2.1,,0,,0,168,-1.1,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 06:30:00,-1.1,1025.1,-0.9,93,-2.1,,0,,0,168,-1.1,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 07:00:00,-1.5,1025.1,-0.4,93,-2.5,,0,,0,168,-1.5,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 07:30:00,-1.5,1025,-0.5,93,-2.5,,0,,0,168,-1.5,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 08:00:00,-1.8,1025.1,-0.1,93,-2.8,,0,,0,168,-1.8,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 08:30:00,-1.6,1025.2,,93,-2.6,,0,,0,168,-1.8,1.3,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 09:00:00,-1.2,1025,-0.2,93,-2.2,,0,,0,168,-1.8,1.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 09:30:00,-0.4,1024.9,-0.3,94,-1.3,,0,,0,168,-1.8,1.3,,,,,,0.2,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 10:00:00,1.1,1024.8,-0.3,94,0.3,,0,,0,168,-1.8,1.3,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-01 10:30:00,2.6,1024.4,-0.7,92,1.4,,0,,1.6,168,-1.8,2.7,,,,,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 11:00:00,4.1,1023.7,-1.4,85,1.8,,0,,0,168,-1.8,4.1,0,0.2,0.2,0,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 11:30:00,6.2,1023,-2.1,77,2.5,,0,,0,168,-1.8,6.2,,,,,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 12:00:00,7.4,1022.2,-2.8,73,2.9,,0,,0,168,-1.8,7.5,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 12:30:00,8.8,1021.8,-3.2,70,3.7,,0,,0,168,-1.8,9,,,,,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 13:00:00,10.1,1021.2,-3.6,70,4.9,,0,,1.6,168,-1.8,10.1,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-01 13:30:00,9.8,1020.9,-3.9,68,4.1,,0,,8,161,-1.8,10.3,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 14:00:00,10.1,1020.7,-3,68,4.5,,0,,4.8,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 14:30:00,9.9,1020.8,-2.9,68,4.3,,0,,6.4,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 15:00:00,9.5,1020.9,-1.3,70,4.3,,3.2,,6.4,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 15:30:00,9.2,1020.9,-1.3,72,4.4,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 16:00:00,8.9,1021,-0.2,73,4.3,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 16:30:00,8.5,1021,-0.2,75,4.3,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 17:00:00,7.9,1021,0.3,78,4.3,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 17:30:00,7.3,1021.4,0.7,80,4.1,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 18:00:00,6.6,1021.4,0.5,82,3.8,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 18:30:00,5.7,1021.5,0.6,83,3.1,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 19:00:00,4.9,1021.5,0.5,84,2.5,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 19:30:00,4.1,1021.7,0.7,84,1.6,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 20:00:00,3.3,1022,1,86,1.2,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 20:30:00,2.6,1022.1,1.1,86,0.4,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 21:00:00,2.4,1022.2,0.8,87,0.4,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 21:30:00,1.9,1022.1,0.7,88,0.2,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 22:00:00,1.3,1022.2,0.7,88,-0.4,,0,,0,160,-1.8,10.4,0,0,0,0,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 22:30:00,1,1022,0.5,88,-0.8,,0,,0,160,-1.8,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 23:00:00,0.5,1022,,89,-1.1,,0,,0,160,-1.8,10.4,0.2,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-01 23:30:00,0.4,1021.8,-0.2,89,-1.2,,0,,0,160,0.4,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 00:00:00,0.4,1021.9,,89,-1.2,,0,,0,160,0.3,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 00:30:00,0.1,1021.6,,89,-1.5,,0,,0,160,0.1,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 01:00:00,0.2,1021.6,,90,-1.2,,0,,0,160,0.1,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 01:30:00,0.1,1021.4,,90,-1.4,,0,,0,160,0.1,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 02:00:00,-0.1,1021.7,,91,-1.4,,0,,0,160,-0.1,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 02:30:00,-0.4,1021.7,,91,-1.7,,0,,0,160,-0.4,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 03:00:00,-0.4,1021.5,-0.4,91,-1.7,,0,,0,160,-0.4,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 03:30:00,-0.4,1021.7,-0.2,91,-1.7,,0,,0,160,-0.4,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 04:00:00,-0.8,1021.5,-0.1,92,-1.9,,0,,0,160,-0.8,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 04:30:00,-0.9,1021.5,-0.1,92,-2.1,,0,,0,160,-0.9,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 05:00:00,-1.1,1021.4,-0.3,92,-2.2,,0,,0,160,-1.1,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 05:30:00,-1.4,1021.5,-0.2,92,-2.6,,0,,0,160,-1.4,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 06:00:00,-1.6,1021.5,,92,-2.7,,0,,0,160,-1.6,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 06:30:00,-1.7,1021.6,0.1,92,-2.8,,0,,0,160,-1.7,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 07:00:00,-1.8,1021.6,0.1,92,-2.9,,0,,0,160,-1.8,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 07:30:00,-1.9,1021.8,0.3,92,-3.1,,0,,0,160,-2,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 08:00:00,-1.4,1022,0.6,93,-2.4,,0,,0,160,-2,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 08:30:00,-1.2,1022.2,0.8,93,-2.2,,0,,0,160,-2,0.5,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 09:00:00,-0.7,1022.2,0.7,93,-1.7,,0,,0,160,-2,0.5,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 09:30:00,0.3,1022.3,0.8,92,-0.9,,0,,0,160,-2,0.5,,,,,,0.2,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 10:00:00,1.3,1022.2,0.6,91,0,,0,,0,160,-2,1.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-02 10:30:00,2.7,1021.7,0.1,88,0.9,,0,,1.6,160,-2,2.7,,,,,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-02 11:00:00,4.5,1021.4,-0.6,83,1.9,,0,,0,160,-2,4.5,0,0.2,0.2,0,0.2,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-02 11:30:00,5.7,1020.8,-1.2,78,2.2,,0,,0,160,-2,5.7,,,,,,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-02 12:00:00,7.3,1020.3,-1.9,74,2.9,,0,,0,160,-2,7.3,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-02 12:30:00,8.7,1019.7,-2.5,71,3.8,,0,,3.2,160,-2,8.7,,,,,,0.2,0,0,,,,,,@@@@@@@3.2,weatherlink
00002,2017-01-02 13:00:00,9.8,1019.1,-3.1,68,4.1,,0,,1.6,160,-2,9.8,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 13:30:00,10.2,1018.9,-3.3,67,4.4,,0,,0,160,-2,10.2,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 14:00:00,10.1,1018.7,-2.7,68,4.4,,0,,0,160,-2,10.2,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 14:30:00,10.3,1018.9,-2.5,67,4.4,,0,,0,160,-2,10.3,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 15:00:00,10.2,1019,-1.3,68,4.6,,0,,0,160,-2,10.3,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 15:30:00,10.1,1019.1,-1.2,69,4.7,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 16:00:00,9.5,1019.1,,72,4.7,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 16:30:00,8.7,1019.1,,75,4.5,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 17:00:00,8,1019.2,0.5,78,4.4,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 17:30:00,7.2,1019.4,0.7,80,3.9,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 18:00:00,6.4,1019.4,0.4,82,3.6,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 18:30:00,5.8,1019.9,0.9,83,3.2,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 19:00:00,4.9,1020,0.9,84,2.5,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 19:30:00,4.2,1020.4,1.3,86,2.1,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 20:00:00,3.9,1020.3,1.1,86,1.8,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 20:30:00,3.8,1020.4,1.2,87,1.9,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 21:00:00,3.3,1020.5,1.1,87,1.4,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 21:30:00,2.7,1020.4,1,87,0.8,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 22:00:00,2.3,1020.1,0.1,88,0.5,,0,,0,160,-2,10.4,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 22:30:00,1.8,1020.3,0.3,88,0.1,,0,,0,160,-2,10.4,,,,,,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 23:00:00,1.6,1020.4,0.1,89,-0,,0,,0,160,-2,10.4,0.2,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@4.8,weatherlink
00002,2017-01-02 23:30:00,1.6,1020.3,,90,0.1,,0,,0,160,1.4,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 00:00:00,1.2,1020.3,,90,-0.3,,0,,0,160,1.2,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 00:30:00,1,1020.1,,91,-0.3,,0,,0,160,0.9,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 01:00:00,0.4,1020.1,,91,-0.9,,0,,0,160,0.4,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 01:30:00,0.1,1020.1,,91,-1.2,,0,,0,160,0.1,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 02:00:00,0.1,1020.2,,91,-1.2,,0,,0,160,0.1,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 02:30:00,-0.2,1020.2,,92,-1.4,,0,,0,160,-0.2,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 03:00:00,-0.6,1020.4,0.1,92,-1.7,,0,,0,160,-0.6,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 03:30:00,-0.8,1020.4,0.1,92,-1.9,,0,,0,160,-0.8,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 04:00:00,-0.9,1020.8,0.7,92,-2.1,,0,,0,160,-0.9,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 04:30:00,-1.1,1020.7,0.6,93,-2,,0,,0,160,-1.1,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 05:00:00,-1.3,1020.5,0.3,93,-2.3,,0,,0,160,-1.4,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 05:30:00,-1.1,1020.6,0.4,93,-2.1,,0,,0,160,-1.4,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 06:00:00,-1.4,1021,0.6,93,-2.4,,0,,0,160,-1.4,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 06:30:00,-1.4,1021.3,0.9,93,-2.4,,0,,0,160,-1.6,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 07:00:00,-1.7,1021.2,0.4,93,-2.6,,0,,0,160,-1.7,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 07:30:00,-1.7,1021.6,0.8,93,-2.6,,0,,0,160,-1.8,1.6,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-03 08:00:00,-1.7,1021.9,1.4,93,-2.6,,0,,1.6,160,-1.9,1.6,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@1.6,weatherlink
00002,2017-01-03 08:30:00,-1.1,1021.7,1.2,93,-2,,0,,0,160,-1.9,1.6,,,,,,0,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 09:00:00,-0.1,1021.7,0.7,92,-1.2,,0,,0,160,-1.9,1.6,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 09:30:00,1.1,1022.2,1.2,88,-0.7,,0,,0,160,-1.9,1.6,,,,,,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 10:00:00,2.3,1022.2,1,87,0.4,,0,,0,160,-1.9,2.3,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 10:30:00,3.6,1022,0.8,80,0.5,,0,,0,160,-1.9,3.7,,,,,,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 11:00:00,5.7,1021.6,-0.3,70,0.6,,0,,0,160,-1.9,5.7,0,0,0.2,0,0.2,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 11:30:00,7.8,1021.3,-0.6,56,-0.5,,0,,1.6,160,-1.9,7.8,,,,,,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 12:00:00,8.7,1021,-0.7,57,0.6,,0,,0,160,-1.9,8.7,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 12:30:00,10.8,1020.7,-1,38,-3,,0,,0,160,-1.9,10.8,,,,,,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 13:00:00,10.7,1020.5,-1.7,34,-4.5,,0,,3.2,160,-1.9,11.3,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 13:30:00,11.6,1020.5,-1.7,29,-5.9,,0,,4.8,160,-1.9,11.6,,,,,,0.2,0,0,,,,,,@@@@@@@6.4,weatherlink
00002,2017-01-03 14:00:00,11.6,1020.2,-1.4,28,-6.3,,1.6,,8,157,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-03 14:30:00,11.6,1020.5,-1.1,25,-7.8,,1.6,,8,151,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@8.0,weatherlink
00002,2017-01-03 15:00:00,11.1,1020.7,-0.3,25,-8.2,,1.6,,11.3,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 15:30:00,9,1020.9,-0.1,48,-1.4,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 16:00:00,6.4,1021.4,0.9,57,-1.5,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 16:30:00,5.4,1021.7,1.2,60,-1.7,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 17:00:00,4.2,1022.1,1.9,65,-1.8,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 17:30:00,3.1,1022.6,2.4,69,-2.1,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 18:00:00,2.2,1022.9,2.2,73,-2.2,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 18:30:00,1.8,1023.4,2.7,75,-2.2,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 19:00:00,0.8,1023.6,2.2,77,-2.7,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 19:30:00,0.5,1023.9,2.5,78,-2.9,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 20:00:00,0.1,1024.1,2,79,-3.2,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 20:30:00,-0.2,1024,1.9,80,-3.3,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 21:00:00,-0.4,1024.4,1.5,81,-3.3,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 21:30:00,-0.9,1024.1,1.2,81,-3.8,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 22:00:00,-1.1,1024,0.4,82,-3.7,,0,,0,122,-1.9,12.1,0,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 22:30:00,-1.4,1024.2,0.6,82,-4.1,,0,,0,122,-1.9,12.1,,,,,,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 23:00:00,-1.7,1024.2,0.1,83,-4.2,,0,,0,122,-1.9,12.1,0.2,0,0,0,0.2,0.2,0,0,,,,,,@@@@@@@14.5,weatherlink
00002,2017-01-03 23:30:00,-2,1024.1,,84,-4.3,,0,,0,122,-2.1,-1.7,,,,,,0,0,0,,,,,,@@@@@@@0.0,weatherlink
00002,2017-01-04 00:00:00,-2.1,1024.1,,84,-4.5,,0,,0,122,-2.1,-1.7,0,0,0,0,0.2,0,0,0,,,,,,@@@@@@@0.0,weatherlink
