station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AA,2021-01-01 00:00:00,2.7,1006.2,,80,-0.4,,0,,3.2,318,2.6,3.2,0,0,0,0,,0,0,0,,,,,,@@@3.2@0.0@@2.6@3.2,weatherlink
000AA,2021-01-01 00:30:00,2.3,1006.1,,81,-0.6,,0,,0,318,2.3,3.2,,,,,,0,0,0,,,,,,@@@3.2@0.0@@2.3@3.2,weatherlink
000AA,2021-01-01 01:00:00,2.1,1006.1,,80,-1,,1.6,,1.6,318,2.1,3.2,0,0,0,0,,0,0,0,,,,,,@@@3.2@0.0@@2.1@3.2,weatherlink
000AA,2021-01-01 01:30:00,1.9,1006.2,,80,-1.2,,0,,0,318,1.8,3.2,,,,,,0,0,0,,,,,,@@@3.2@0.0@@1.8@3.2,weatherlink
000AA,2021-01-01 02:00:00,1.5,1006.4,,81,-1.4,,1.6,,3.2,319,1.5,3.2,0.2,0,0,0,,0.2,0,0,,,,,,@@@3.2@0.2@@1.5@3.2,weatherlink
000AA,2021-01-01 02:30:00,1.2,1006.5,,81,-1.7,,1.6,,3.2,319,1.2,3.2,,,,,,0.2,0,0,,,,,,@@@3.2@0.2@@1.2@3.2,weatherlink
000AA,2021-01-01 03:00:00,1.3,1006.4,0.2,80,-1.7,,1.6,,3.2,319,1.2,3.2,0,0.2,0,0,,0.2,0,0,,,,,,@@@3.2@0.2@@1.2@3.2,weatherlink
000AA,2021-01-01 03:30:00,1,1006.5,0.3,81,-1.9,,0,,1.6,319,1,3.2,,,,,,0.2,0,0,,,,,,@@@3.2@0.2@@1.0@3.2,weatherlink
000AA,2021-01-01 04:00:00,0.3,1006.5,0.4,81,-2.6,,0,,3.2,265,0.3,3.2,0,0,0,0,,0.2,0,0,,,,,,@@@3.2@0.2@@0.3@4.8,weatherlink
000AA,2021-01-01 04:30:00,0.2,1006.4,0.3,81,-2.7,,0,,0,265,0.2,3.2,,,,,,0.2,0,0,,,,,,@@@3.2@0.2@@0.2@4.8,weatherlink
000AA,2021-01-01 05:00:00,0.1,1006.1,-0.3,81,-2.8,,0,,0,265,0.1,3.2,0,0,0,0,,0.2,0,0,,,,,,@@@3.2@0.2@@0.1@4.8,weatherlink
