station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AE,2024-01-01 00:00:00,6.3,1013,,90,5,,1.6,,3.2,280,6.3,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.1@23.1@23.1@12:00am@12:00am@6.1@6.1@0@34@34@34@12:01am@12:01am@2400@2400@+0100,wlkIPxml
000AE,2024-01-01 00:10:00,6.3,1012.8,,90,5,,1.6,,3.2,292,6.3,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.2@23.1@23.2@12:00am@12:08am@5.6@6.1@0@35@34@35@12:01am@12:08am@2400@2400@+0100,wlkIPxml
000AE,2024-01-01 00:20:00,6.2,1012.9,,90,5,,0,,3.2,279,6.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.3@23.1@23.3@12:00am@12:19am@6.1@6.1@0@35@34@35@12:01am@12:08am@2400@2415@+0100,wlkIPxml
000AE,2024-01-01 00:30:00,6.1,1012.8,,88,4.4,,0,,3.2,298,6.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.3@23.1@23.3@12:00am@12:27am@6.1@6.1@0@35@34@35@12:01am@12:08am@2400@2429@+0100,wlkIPxml
000AE,2024-01-01 00:40:00,5.6,1012.7,,89,3.9,,0,,1.6,259,5.6,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.3@23.1@23.3@12:00am@12:27am@5.6@5.6@0@35@34@35@12:01am@12:08am@2400@2439@+0100,wlkIPxml
000AE,2024-01-01 00:50:00,5.1,1012.7,,89,3.3,,0,,0,219,5.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.3@23.1@23.3@12:00am@12:27am@5@5@0@35@34@35@12:01am@12:08am@2400@2451@+0100,wlkIPxml
000AE,2024-01-01 01:00:00,4.9,1012.6,,90,3.3,,0,,3.2,265,4.9,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.3@23.1@23.3@12:00am@12:27am@5@5@0@34@34@35@12:01am@12:08am@2400@1300@+0100,wlkIPxml
000AE,2024-01-01 01:10:00,4.9,1012.7,,90,3.3,,1.6,,4.8,247,4.9,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@3.2@23.1@23.1@23.3@12:00am@12:27am@5@5@0@35@33@35@1:02am@12:08am@2400@1300@+0100,wlkIPxml
000AE,2024-01-01 01:20:00,4.6,1012.7,,90,3.3,,1.6,,3.2,200,4.6,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@22.8@22.8@23.3@1:20am@12:27am@3.9@4.4@0@33@33@35@1:02am@12:08am@2400@1319@+0100,wlkIPxml
000AE,2024-01-01 01:30:00,4.4,1012.7,,92,3.3,,0,,1.6,225,4.4,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@22.8@22.7@23.3@1:23am@12:27am@4.4@4.4@0@34@33@35@1:02am@12:08am@2400@1325@+0100,wlkIPxml
000AE,2024-01-01 01:40:00,4.3,1012.8,,91,2.8,,0,,3.2,270,4.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23@22.7@23.3@1:23am@12:27am@3.9@4.4@0@35@33@35@1:02am@12:08am@2400@1339@+0100,wlkIPxml
000AE,2024-01-01 01:50:00,4.1,1012.9,,91,2.8,,1.6,,3.2,124,4.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23.1@22.7@23.3@1:23am@12:27am@2.8@3.9@0@35@33@35@1:02am@12:08am@2400@1348@+0100,wlkIPxml
000AE,2024-01-01 02:00:00,3.9,1012.6,,92,2.8,,1.6,,3.2,192,3.9,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23.2@22.7@23.3@1:23am@12:27am@3.3@3.9@0@35@33@35@1:02am@12:08am@2400@1355@+0100,wlkIPxml
000AE,2024-01-01 02:10:00,3.7,1012.8,,91,2.2,,0,,1.6,212,3.7,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23.2@22.7@23.3@1:23am@12:27am@3.9@3.9@0@34@33@35@1:02am@12:08am@2400@1410@+0100,wlkIPxml
000AE,2024-01-01 02:20:00,3.4,1012.6,,92,2.2,,1.6,,4.8,171,3.4,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23.2@22.7@23.3@1:23am@12:27am@3.3@3.3@0@34@33@35@1:02am@12:08am@2400@1419@+0100,wlkIPxml
000AE,2024-01-01 02:30:00,3.3,1012.6,,93,2.2,,1.6,,4.8,84,3.3,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@4.8@23.2@22.7@23.3@1:23am@12:27am@3.3@3.3@0@34@33@35@1:02am@12:08am@2400@1430@+0100,wlkIPxml
000AE,2024-01-01 02:40:00,3.2,1012.5,,93,2.2,,3.2,,8,171,3.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.2@22.7@23.3@1:23am@12:27am@2.8@3.3@0@34@33@35@1:02am@12:08am@2400@1437@+0100,wlkIPxml
000AE,2024-01-01 02:50:00,3.1,1012.5,,93,2.2,,0,,3.2,273,3.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.2@22.7@23.3@1:23am@12:27am@2.8@3.3@0@34@33@35@1:02am@12:08am@2400@1449@+0100,wlkIPxml
000AE,2024-01-01 03:00:00,3.1,1012.4,-0.6,93,2.2,,1.6,,3.2,11,3,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.3@22.7@23.3@1:23am@12:27am@3.3@3.3@0@34@33@35@1:02am@12:08am@2400@1452@+0100,wlkIPxml
000AE,2024-01-01 03:10:00,2.9,1012.4,-0.6,93,2.2,,1.6,,4.8,116,2.9,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.3@22.7@23.3@1:23am@12:27am@2.2@2.8@0@34@33@35@1:02am@12:08am@2400@1508@+0100,wlkIPxml
000AE,2024-01-01 03:20:00,2.7,1012.3,-0.7,93,1.7,,0,,4.8,225,2.7,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.3@22.7@23.4@1:23am@3:14am@2.8@2.8@0@32@32@35@3:20am@12:08am@2400@1518@+0100,wlkIPxml
000AE,2024-01-01 03:30:00,2.5,1012.5,-0.5,93,1.7,,0,,3.2,214,2.5,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.3@22.7@23.4@1:23am@3:14am@2.2@2.8@0@33@32@35@3:20am@12:08am@2400@1526@+0100,wlkIPxml
000AE,2024-01-01 03:40:00,2.3,1012.5,-0.5,93,1.1,,0,,0,223,2.3,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.3@22.7@23.4@1:23am@3:14am@2.2@2.2@0@34@32@35@3:20am@12:08am@2400@1539@+0100,wlkIPxml
000AE,2024-01-01 03:50:00,2.3,1012.7,-0.3,94,1.7,,1.6,,4.8,229,2.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.4@22.7@23.4@1:23am@3:45am@2.2@2.2@0@33@32@35@3:20am@12:08am@2400@1547@+0100,wlkIPxml
000AE,2024-01-01 04:00:00,2.2,1012.7,0.1,93,1.1,,0,,0,229,2.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.5@22.7@23.5@1:23am@4:00am@2.2@2.2@0@34@32@35@3:20am@12:08am@2400@1547@+0100,wlkIPxml
000AE,2024-01-01 04:10:00,1.9,1012.6,,93,1.1,,0,,3.2,311,1.9,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.6@22.7@23.6@1:23am@4:06am@2.2@2.2@0@33@32@35@3:20am@12:08am@2400@1608@+0100,wlkIPxml
000AE,2024-01-01 04:20:00,1.6,1012.7,0.1,93,0.6,,0,,4.8,155,1.6,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.7@22.7@23.7@1:23am@4:20am@1.7@1.7@0@33@32@35@3:20am@12:08am@2400@1619@+0100,wlkIPxml
000AE,2024-01-01 04:30:00,1.4,1012.7,0.1,93,0.6,,1.6,,3.2,108,1.4,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.8@22.7@23.8@1:23am@4:30am@1.7@1.7@0@33@32@35@3:20am@12:08am@2400@1629@+0100,wlkIPxml
000AE,2024-01-01 04:40:00,1.2,1012.9,0.3,94,0.6,,1.6,,3.2,116,1.2,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.8@22.7@23.8@1:23am@4:30am@0.6@1.1@0@33@32@35@3:20am@12:08am@2400@1640@+0100,wlkIPxml
000AE,2024-01-01 04:50:00,1.1,1012.9,0.3,93,0,,1.6,,4.8,165,1.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.8@22.7@23.8@1:23am@4:30am@1.1@1.1@0@33@32@35@3:20am@12:08am@2400@1650@+0100,wlkIPxml
000AE,2024-01-01 05:00:00,1.1,1013,0.4,94,0,,0,,3.2,110,1.1,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.8@22.7@23.8@1:23am@4:30am@1.1@1.1@0@33@32@35@3:20am@12:08am@2400@1650@+0100,wlkIPxml
000AE,2024-01-01 05:10:00,0.8,1012.8,0.2,94,0,,0,,3.2,150,0.8,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.7@22.7@23.8@1:23am@4:30am@1.1@1.1@0@32@32@35@3:20am@12:08am@2400@1710@+0100,wlkIPxml
000AE,2024-01-01 05:20:00,0.7,1013,0.4,94,0,,0,,0,150,0.7,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.6@22.7@23.8@1:23am@4:30am@0.6@0.6@0@32@32@35@3:20am@12:08am@2400@1718@+0100,wlkIPxml
000AE,2024-01-01 05:30:00,0.5,1013,0.4,94,-0.6,,0,,0,150,0.5,6.3,,,,,,0,0,0,0,,,,,@@0@@0@@@8@23.6@22.7@23.8@1:23am@4:30am@0.6@0.6@0@32@32@35@3:20am@12:08am@2400@1726@+0100,wlkIPxml
