station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AF,2018-01-01 00:00:00,8.3,1019.3,,85,6.1,,14.5,,25.7,245,8.2,9.9,0.4,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 00:10:00,8.2,1018.9,,86,6.1,,11.3,,16.1,253,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 00:20:00,8.2,1018.8,,87,6.1,,8,,17.7,259,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 00:30:00,8.2,1018.9,,86,6.1,,8,,16.1,253,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 00:40:00,8.2,1018.9,,86,6.1,,8,,16.1,258,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 00:50:00,8.2,1019,,87,6.1,,9.7,,16.1,250,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:00:00,8.3,1019.1,,88,6.7,,9.7,,17.7,244,8.2,9.9,0,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:10:00,8.2,1019.1,,88,6.1,,9.7,,19.3,261,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:20:00,8.3,1019.2,,87,6.1,,12.9,,20.9,250,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:30:00,8.3,1019.5,,87,6.1,,11.3,,17.7,245,8.2,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:40:00,8.3,1019.6,,87,6.1,,11.3,,19.3,248,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 01:50:00,8.5,1019.9,,87,6.7,,12.9,,20.9,254,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:00:00,8.6,1020.1,,86,6.7,,11.3,,20.9,257,8.1,9.9,0,0.4,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:10:00,8.7,1020.2,,85,6.1,,12.9,,22.5,247,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:20:00,8.6,1020.4,,84,6.1,,11.3,,20.9,265,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:30:00,8.5,1020.5,,85,6.1,,9.7,,17.7,236,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:40:00,8.5,1020.6,,84,6.1,,8,,14.5,266,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 02:50:00,8.4,1020.5,,84,6.1,,8,,14.5,243,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:00:00,8.4,1020.4,1.1,85,6.1,,6.4,,12.9,242,8.1,9.9,0,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:10:00,8.4,1020.6,1.3,85,6.1,,8,,12.9,235,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:20:00,8.3,1020.6,1.3,86,6.1,,6.4,,12.9,227,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:30:00,8.3,1020.6,1.3,87,6.1,,8,,12.9,233,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:40:00,8.3,1020.5,1.2,87,6.1,,4.8,,11.3,254,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 03:50:00,8.3,1020.4,1.1,88,6.7,,6.4,,11.3,244,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 04:00:00,8.4,1020.3,1.2,88,6.7,,8,,12.9,229,8.1,9.9,0,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 04:10:00,8.3,1020.2,1.1,88,6.7,,4.8,,9.7,225,8.1,9.9,,,,,,0.4,0,0,,,,,,@@@@193.4@@@,wlkIP
000AF,2018-01-01 04:20:00,8.8,1020.2,1.1,88,7.2,,16.1,,37,255,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 04:30:00,8.8,1020.1,1,87,6.7,,17.7,,29,237,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 04:40:00,8.9,1019.8,0.7,86,6.7,,16.1,,29,222,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 04:50:00,8.9,1019.6,0.5,86,6.7,,12.9,,20.9,250,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:00:00,8.7,1019.7,-0.4,87,6.7,,11.3,,19.3,238,8.1,9.9,0.2,0.2,0.6,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:10:00,8.6,1019.6,-0.5,88,6.7,,9.7,,17.7,244,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:20:00,8.4,1019.6,-0.5,88,6.7,,6.4,,14.5,221,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:30:00,8.2,1019.4,-0.7,88,6.1,,4.8,,9.7,198,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:40:00,8.1,1019.2,-0.9,89,6.7,,3.2,,9.7,230,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 05:50:00,8.1,1019.2,-0.9,90,6.7,,3.2,,11.3,225,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 06:00:00,8.2,1019.2,-1.2,90,6.7,,6.4,,16.1,236,8.1,9.9,0,0.2,0.2,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 06:10:00,8.4,1018.9,-1.5,90,7.2,,6.4,,12.9,226,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 06:20:00,8.6,1019,-1.4,90,7.2,,6.4,,14.5,214,8.1,9.9,,,,,,0.6,0,0,,,,,,@@@@193.6@@@,wlkIP
000AF,2018-01-01 06:30:00,8.8,1018.6,-1.8,90,7.2,,6.4,,14.5,171,8.1,9.9,,,,,,0.8,0,0,,,,,,@@@@193.8@@@,wlkIP
