station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AJ,2015-01-23 21:00:00,0.1,1026.7,,86,-2,,14.5,,27.4,328,-0.1,5.8,0,0,0,0,,0.2,0,0,0,0.0,,,,0.0@2.1@694@16.7@17.8@7.54@-6.4@48.3,weatherlink
000AJ,2015-01-23 21:30:00,-0.1,1026.8,,86,-2.2,,11.3,,22.5,296,-0.2,5.8,,,,,,0.2,0,0,0,0.0,,,,0.0@2.1@694@16.7@17.8@7.54@-6.4@48.3,weatherlink
000AJ,2015-01-23 22:00:00,0.1,1026.5,,85,-2.2,,8,,14.5,291,-0.2,5.8,0,0,0,0,,0.2,0,0,0,0.0,,,,0.0@2.1@694@16.7@17.8@7.54@-6.4@48.3,weatherlink
000AJ,2015-01-23 22:30:00,0.1,1026.5,,86,-2,,8,,,302,-0.2,5.8,,,,,,0.2,0,0,0,0.0,,,,0.0@2.1@694@16.7@17.8@7.57@-6.4@48.3,weatherlink
000AJ,2015-01-23 23:00:00,0.3,1026.2,,86,-1.8,,3.2,,,296,-0.2,5.8,0,0,0,0,,0.2,0,0,0,0.0,,,,0.0@2.1@694@16.7@17.8@7.57@-6.4@48.3,weatherlink
000AJ,2015-01-23 23:30:00,0.3,1026,,86,-1.7,,6.4,,,276,0.3,0.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@19.3,weatherlink
000AJ,2015-01-24 00:00:00,0.7,1025.8,,85,-1.6,,3.2,,,294,0.3,0.7,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@19.3,weatherlink
000AJ,2015-01-24 00:30:00,1.1,1025.6,,84,-1.3,,6.4,,,247,0.3,1.1,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@19.3,weatherlink
000AJ,2015-01-24 01:00:00,0.9,1025.6,,85,-1.3,,4.8,,,288,0.3,1.1,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@19.3,weatherlink
000AJ,2015-01-24 01:30:00,0.4,1025.6,,85,-1.8,,4.8,,,323,0.3,1.1,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@19.3,weatherlink
000AJ,2015-01-24 02:00:00,0.6,1025.9,,85,-1.7,,8,,,292,0.3,1.1,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@22.5,weatherlink
000AJ,2015-01-24 02:30:00,0.4,1026.1,,85,-1.8,,9.7,,,256,0.3,1.1,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@22.5,weatherlink
000AJ,2015-01-24 03:00:00,1.1,1026.1,0.3,83,-1.5,,6.4,,,269,0.3,1.1,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.62@-6.4@33.8,weatherlink
000AJ,2015-01-24 03:30:00,0.2,1026,0.2,86,-1.9,,3.2,,,202,0.1,1.1,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.65@-6.4@33.8,weatherlink
000AJ,2015-01-24 04:00:00,0.4,1026,0.4,84,-2,,1.6,,,288,0.1,1.1,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.65@-6.4@33.8,weatherlink
000AJ,2015-01-24 04:30:00,1.3,1025.7,0.1,80,-1.7,,9.7,,,232,0.1,1.3,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.65@-6.4@33.8,weatherlink
000AJ,2015-01-24 05:00:00,1.6,1025.6,-0.3,79,-1.6,,9.7,,,277,0.1,1.6,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.65@-6.4@33.8,weatherlink
000AJ,2015-01-24 05:30:00,1.8,1025.4,-0.5,82,-1,,12.9,,,307,0.1,1.8,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.67@-6.4@35.4,weatherlink
000AJ,2015-01-24 06:00:00,1.8,1025.5,-0.6,81,-1.1,,11.3,,,296,0.1,1.8,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.67@-6.4@35.4,weatherlink
000AJ,2015-01-24 06:30:00,1.7,1025.6,-0.5,82,-1,,12.9,,,263,0.1,1.8,,,,,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.70@-6.4@35.4,weatherlink
000AJ,2015-01-24 07:00:00,1.8,1025.8,-0.2,84,-0.6,,14.5,,,276,0.1,1.8,0,0,0,0,,0,0,0,0,0.0,,,,0.0@0.0@0@16.7@17.8@7.70@-6.4@35.4,weatherlink
