station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AK,2018-01-01 00:00:00,7.1,1015.7,,91,5.6,,,,,,7.1,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 00:10:00,6.9,1015.8,,91,5.6,,,,,,6.9,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 00:20:00,6.8,1015.9,,91,5.6,,,,,,6.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 00:30:00,6.8,1015.9,,91,5.6,,,,,,6.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 00:40:00,6.7,1015.8,,91,5.6,,,,,,6.7,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 00:50:00,6.7,1015.9,,91,5.6,,,,,,6.7,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:00:00,6.8,1016,,89,5,,,,,,6.7,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:10:00,6.8,1016.2,,89,5,,,,,,6.7,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:20:00,6.7,1016.2,,88,5,,,,,,6.7,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:30:00,6.7,1016.5,,88,5,,,,,,6.6,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:40:00,6.6,1016.7,,88,5,,,,,,6.6,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 01:50:00,6.4,1016.8,,89,5,,,,,,6.4,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:00:00,6.4,1016.9,,89,5,,,,,,6.4,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:10:00,6.3,1017,,90,5,,,,,,6.3,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:20:00,6.3,1017.2,,89,4.4,,,,,,6.3,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:30:00,6.4,1017.4,,88,4.4,,,,,,6.3,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:40:00,6.4,1017.6,,88,4.4,,,,,,6.3,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 02:50:00,6.2,1017.7,,88,4.4,,,,,,6.2,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:00:00,6.1,1017.7,2,90,4.4,,,,,,6.1,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:10:00,6.2,1017.7,2,90,4.4,,,,,,6.1,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:20:00,6.2,1017.6,1.9,91,5,,,,,,6.1,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:30:00,6.1,1017.5,1.8,91,5,,,,,,6.1,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:40:00,6.1,1017.6,1.9,91,5,,,,,,6.1,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 03:50:00,6.1,1017.6,1.9,91,5,,,,,,6.1,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:00:00,5.9,1017.7,1.7,92,5,,,,,,5.9,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:10:00,5.9,1017.8,1.8,92,5,,,,,,5.9,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:20:00,5.9,1017.8,1.8,91,4.4,,,,,,5.9,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:30:00,5.9,1017.8,1.8,91,4.4,,,,,,5.9,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:40:00,5.8,1017.9,1.9,91,4.4,,,,,,5.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 04:50:00,5.9,1017.8,1.8,91,4.4,,,,,,5.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 05:00:00,5.9,1018.2,1.3,91,4.4,,,,,,5.8,7.7,0,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 05:10:00,5.9,1018.3,1.4,91,4.4,,,,,,5.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 05:20:00,5.9,1018.3,1.4,92,5,,,,,,5.8,7.7,,,,,,0,0,0,0,,,,,0.0 @@@@0.0@@@,wlkIP
000AK,2018-01-01 05:30:00,5.9,1018.4,1.5,92,5,,,,,,5.8,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 05:40:00,5.9,1018.4,1.5,92,5,,,,,,5.8,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 05:50:00,5.8,1018.4,1.5,92,4.4,,,,,,5.8,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:00:00,5.8,1018.6,0.9,93,5,,,,,,5.8,7.7,0.2,0.2,0.2,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:10:00,5.7,1018.8,1.1,93,5,,,,,,5.7,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:20:00,5.6,1018.8,1.1,93,4.4,,,,,,5.6,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:30:00,5.4,1018.7,1,93,4.4,,,,,,5.4,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:40:00,5.2,1018.7,1,93,4.4,,,,,,5.2,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 06:50:00,5.1,1019,1.3,93,3.9,,,,,,5.1,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 07:00:00,5,1018.8,1.1,93,3.9,,,,,,5,7.7,0,0.2,0.2,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 07:10:00,5.1,1018.8,1.1,94,4.4,,,,,,5,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 07:20:00,5.1,1018.7,1,94,4.4,,,,,,5,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
000AK,2018-01-01 07:30:00,5.1,1018.8,1.1,93,3.9,,,,,,5,7.7,,,,,,0.2,0,0,0,,,,,0.0 @@@@0.2@@@,wlkIP
