station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AO,2015-03-01 13:30:00,-17.2,1034.6,,84,-19.2,,1,,2,0,-24.2,-17.2,,,,,,0,0,0,,,,,,@@@-17.2@0.0@@-24.2@5,weatherlink
000AO,2015-03-01 14:00:00,-14.8,1034.3,,86,-16.6,,1,,2,0,-24.2,-14.8,0,0,0,0,,0,0,0,,,,,,@@@-14.8@0.0@@-24.2@5,weatherlink
000AO,2015-03-01 14:30:00,-13.1,1033.9,,85,-15.1,,1,,5,0,-24.2,-13.1,,,,,,0,0,0,,,,,,@@@-13.1@0.0@@-24.2@5,weatherlink
000AO,2015-03-01 15:00:00,-10.7,1033.2,,77,-14,,1,,6,112,-24.2,-10.7,0,0,0,0,,0,0,0,,,,,,@@@-10.7@0.0@@-24.2@6,weatherlink
000AO,2015-03-01 15:30:00,-9.1,1032.4,,73,-13,,1,,8,158,-24.2,-9.1,,,,,,0,0,0,,,,,,@@@-9.1@0.0@@-24.2@8,weatherlink
000AO,2015-03-01 15:50:00,-8.6,1032,,71,-12.9,,1,,6,135,-24.2,-8.6,,,,,,0,0,0,,,,,,@@@-8.6@0.0@@-24.2@8,weatherlink
000AO,2015-03-01 16:30:00,-6.4,1030.7,-3.9,66,-11.7,,1,,8,158,-24.2,-6.4,,,,,,0,0,0,,,,,,@@@-6.4@0.0@@-24.2@10,weatherlink
000AO,2015-03-01 17:00:00,-4.9,1029.9,-4.4,64,-10.6,,1,,11,158,-24.2,-4.9,0,0,0,0,,0,0,0,,,,,,@@@-4.9@0.0@@-24.2@13,weatherlink
000AO,2015-03-01 17:30:00,-3.6,1028.7,-5.6,59,-10.4,,1,,10,158,-24.2,-3.6,,,,,,0,0,0,,,,,,@@@-3.6@0.0@@-24.2@13,weatherlink
000AO,2015-03-01 18:00:00,-3.8,1027.8,-5.4,57,-11.1,,2,,11,180,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@14,weatherlink
000AO,2015-03-01 18:30:00,-3.8,1027.1,-6.1,57,-11,,2,,11,158,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 19:00:00,-3.9,1026.3,-4.4,58,-10.9,,2,,14,158,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 19:30:00,-4.6,1025.6,-5.1,56,-12,,2,,13,180,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 20:00:00,-4.9,1024.8,-5.1,56,-12.3,,2,,13,180,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 20:30:00,-4.7,1024.5,-5.4,53,-12.8,,2,,6,180,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 21:00:00,-5.1,1023.8,-4,57,-12.3,,3,,8,158,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 21:30:00,-5.6,1023.8,-4,58,-12.5,,3,,8,180,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 22:00:00,-6,1023,-3.3,59,-12.7,,3,,6,158,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 22:30:00,-6.4,1022.5,-3.8,60,-12.9,,3,,2,158,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 23:00:00,-6.9,1022.1,-2.7,63,-12.7,,2,,0,0,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-01 23:30:00,-7.1,1021.4,-3.4,61,-13.3,,2,,2,0,-24.2,-3.5,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-02 00:00:00,-7.3,1020.8,,61,-13.5,,2,,3,202,-24.2,-3.5,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@19,weatherlink
000AO,2015-03-02 00:30:00,-7.7,1020.3,,66,-13,,0,,2,0,0,0,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 01:00:00,-7.9,1019.7,,69,-12.6,,0,,2,202,0,0,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 01:30:00,-8.4,1019.2,,73,-12.4,,0,,2,0,0,0,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 02:00:00,-8.5,1019,,73,-12.5,,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 02:30:00,-8.4,1018.7,,74,-12.2,,0,,2,0,0,0,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 03:00:00,-8.5,1018.1,-2.7,75,-12.1,,0,,2,202,0,0,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 03:30:00,-8.6,1017.6,-3.2,79,-11.6,,0,,5,0,0,0,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 04:00:00,-8.9,1016.8,-2.9,81,-11.5,,0,,2,0,0,0,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 04:30:00,-9.1,1016.4,-3.3,82,-11.6,,0,,0,0,0,0,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 05:00:00,-9.1,1015.8,-3.2,82,-11.6,,0,,2,0,0,0,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@N/A,weatherlink
000AO,2015-03-02 05:30:00,-9.1,1015.1,-3.9,83,-11.5,,0,,2,0,-9.2,-9.1,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@2,weatherlink
000AO,2015-03-02 06:00:00,-9.3,1014.9,-3.2,83,-11.6,,0,,2,0,-9.3,-9,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 06:30:00,-9.7,1014.6,-3.5,85,-11.7,,0,,2,0,-9.7,-9,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 07:00:00,-9.7,1014.1,-2.7,85,-11.8,,0,,0,0,-9.8,-9,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 07:30:00,-9.9,1013.6,-3.2,86,-11.8,,0,,0,0,-10,-9,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 08:00:00,-10.2,1013.1,-2.7,87,-12,,0,,0,0,-10.2,-9,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 08:30:00,-10.4,1012.7,-3.1,87,-12.1,,0,,0,0,-10.4,-9,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 09:00:00,-10.2,1012.3,-2.6,88,-11.8,,0,,0,0,-10.4,-9,0,0,0,0,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
000AO,2015-03-02 09:30:00,-10.2,1012.3,-2.6,88,-11.8,,0,,0,0,-10.4,-9,,,,,,0,0,0,,,,,,@@@-3.5@0.0@@-24.2@3,weatherlink
