station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AU,2017-01-02 19:10:00,0.8,1028.8,,96,0.2,,0,,,255,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 19:20:00,0.7,1028.8,,96,0.2,,0,,3.2,255,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 19:30:00,0.7,1029,,96,0.1,,0,,1.6,255,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 19:40:00,0.6,1029.2,,96,-0,,0,,3.2,256,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 19:50:00,0.5,1029.1,,96,-0.1,,0,,3.2,256,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 20:00:00,0.4,1029.3,,96,-0.1,,0,,4.8,256,-0.3,2.4,0,0,0,0,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 20:10:00,0.4,1029.3,,96,-0.1,,1.6,,4.8,256,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-02 20:20:00,0.4,1029.3,,96,-0.1,,1.6,,3.2,256,-0.3,2.4,,,,,,0.4,0,0,,,,,,@@@2.4@49.2@@-3.7@12.9,weatherlink
000AU,2017-01-04 19:10:00,3.2,1024.8,,92,2,,0,,,238,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 19:20:00,2.9,1024.9,,93,1.9,,0,,3.2,238,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 19:30:00,2.8,1025.1,,93,1.8,,0,,3.2,238,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 19:40:00,2.6,1025.1,,93,1.5,,0,,3.2,238,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 19:50:00,2.3,1025.1,,93,1.3,,0,,3.2,341,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 20:00:00,1.8,1025.3,,92,0.6,,0,,1.6,341,0.6,6.1,0,0,0,0,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 20:10:00,1.3,1025.4,,93,0.3,,0,,1.6,341,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 20:20:00,1.1,1025.4,,94,0.2,,0,,1.6,341,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-04 20:30:00,0.8,1025.4,,94,-0.1,,0,,1.6,341,0.6,6.1,,,,,,0.2,0,0,,,,,,@@@6.1@49.4@@-3.7@19.3,weatherlink
000AU,2017-01-05 17:50:00,-0.7,1034.6,,94,-1.6,,1.6,,,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:00:00,-0.8,1034.6,,94,-1.7,,1.6,,3.2,161,-1.7,6.4,0,0,0,0,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:10:00,-1,1034.6,,94,-1.8,,0,,3.2,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:20:00,-1.1,1034.8,,94,-2,,0,,1.6,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:30:00,-1.3,1035,,94,-2.2,,0,,0,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:40:00,-1.5,1035.2,,94,-2.3,,0,,0,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 18:50:00,-1.7,1035.3,,94,-2.5,,0,,0,161,-1.7,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:00:00,-1.8,1035.5,,94,-2.6,,0,,0,161,-1.8,6.4,0,0,0,0,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:10:00,-1.9,1035.6,,95,-2.6,,0,,0,161,-1.9,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:20:00,-2.1,1035.7,,95,-2.7,,0,,0,161,-2.1,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:30:00,-2.2,1035.8,,95,-2.9,,0,,0,161,-2.2,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:40:00,-2.3,1035.9,,95,-3,,0,,0,161,-2.3,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 19:50:00,-2.3,1036.1,,95,-3,,0,,0,161,-2.3,6.4,,,,,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
000AU,2017-01-05 20:00:00,-2.5,1036.2,1.6,95,-3.2,,0,,0,161,-2.5,6.4,0,0,0,0,,0,0,0,,,,,,@@@6.4@49.4@@-3.7@11.3,weatherlink
