station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000AX,2017-01-01 00:00:00,2.6,1030.4,,98,2.3,,4.8,,,221,2.5,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@2.5@11.3,weatherlink
000AX,2017-01-01 00:30:00,2.3,1030.2,,98,2,,6.4,,,227,2.3,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@2.3@11.3,weatherlink
000AX,2017-01-01 01:00:00,2.2,1029.8,,98,1.9,,4.8,,,221,2.2,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@2.2@11.3,weatherlink
000AX,2017-01-01 01:30:00,2.2,1029.6,,98,1.9,,6.4,,,217,2.2,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@2.2@16.1,weatherlink
000AX,2017-01-01 02:30:00,1.9,1029,,98,1.6,,8,,,239,1.9,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.9@16.1,weatherlink
000AX,2017-01-01 03:00:00,1.7,1028.7,-1.7,98,1.4,,6.4,,,246,1.7,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.7@16.1,weatherlink
000AX,2017-01-01 03:30:00,1.6,1028.4,-2,98,1.3,,6.4,,,267,1.6,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.6@16.1,weatherlink
000AX,2017-01-01 04:00:00,1.4,1028.2,-1.6,97,1,,8,,,255,1.4,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.4@16.1,weatherlink
000AX,2017-01-01 04:30:00,1.3,1027.7,-2.1,97,0.9,,0,,,242,1.3,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
000AX,2017-01-01 05:00:00,1.4,1027.5,-1.5,97,1,,1.6,,,242,1.3,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
000AX,2017-01-01 06:00:00,1.6,1026.8,-1.9,98,1.3,,1.6,,,215,1.3,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
000AX,2017-01-01 06:30:00,1.7,1026.5,-2.2,98,1.4,,0,,,214,1.3,2.7,,,,,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
000AX,2017-01-01 07:00:00,1.8,1026.2,-2,97,1.4,,1.6,,,209,1.3,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
000AX,2017-01-01 08:00:00,2,1026,-1.5,98,1.7,,1.6,,,208,1.3,2.7,0,0,0,0,,0,0,0,0,,,,,@@0@2.7@0.0@0.00@1.3@16.1,weatherlink
