station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000B5,2015-11-06 20:00:00,14.3,1027.6,,82,11.2,,,,,33,9,20.4,0,0,0,0,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 20:20:00,14.3,1027.6,,82,11.3,,1.8,,4.8,33,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 20:30:00,14.2,1027.7,,82,11.2,,1.9,,4.8,27,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 20:40:00,14.1,1027.6,,83,11.2,,2.4,,4.8,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 20:50:00,13.8,1027.7,,84,11.2,,1.6,,3.2,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 21:00:00,13.6,1027.7,,84,11,,1.2,,3.2,23,9,20.4,0,0,0,0,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 21:10:00,13.6,1027.8,,85,11.1,,2.5,,4.8,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 21:20:00,13.4,1027.7,,85,11,,2,,4.8,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 21:30:00,13.3,1027.8,,85,10.8,,2.4,,4.8,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
000B5,2015-11-06 21:40:00,13.2,1027.8,,85,10.7,,2.2,,4.8,23,9,20.4,,,,,,0.3,0,0,,,,,,@@@20.4@0.8@@9.0@17.7,weatherlink
