station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BA,2019-01-01 00:00:00,7.8,1035.5,,96,7.2,,3.4,10.6,,257,7.8,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 00:30:00,7.7,1035.5,,96,7.1,,3.4,10.6,,255,7.7,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 01:00:00,7.6,1035.4,,96,7,,2.7,10.6,,244,7.6,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 01:30:00,7.6,1035.5,,96,7,,3.9,10.6,,267,7.6,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 02:00:00,7.5,1035.5,,97,7.1,,3.1,8.9,,243,7.5,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 02:30:00,7.4,1035.3,,97,7,,4.6,14.2,,236,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 03:00:00,7.4,1035,-0.5,96,6.8,,3.1,14.2,,227,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 03:30:00,7.4,1034.8,-0.7,96,6.8,,4.7,10.6,,248,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 04:00:00,7.4,1034.4,-1,96,6.8,,5.4,12.4,,238,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 04:30:00,7.4,1034.1,-1.3,96,6.8,,5.8,15.9,,242,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 05:00:00,7.5,1034,-1.5,95,6.8,,3.9,15.9,,294,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 05:30:00,7.5,1034.1,-1.4,95,6.8,,2.2,12.4,,302,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 06:00:00,7.5,1034.1,-0.9,95,6.8,,4.2,10.6,,257,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 06:30:00,7.6,1034.3,-0.7,95,6.9,,3.8,10.6,,254,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 07:00:00,7.6,1034.4,,95,6.9,,4.8,14.2,,327,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 07:30:00,7.6,1034.4,,94,6.7,,2.2,14.2,,291,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 08:00:00,7.6,1034.3,0.3,94,6.7,,3.4,10.6,,246,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 08:30:00,7.5,1034.3,0.3,95,6.8,,2.5,10.6,,249,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 09:00:00,7.6,1034.4,0.3,95,6.9,,2.3,10.6,,289,7.4,7.9,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BA,2019-01-01 09:30:00,7.6,1034.4,0.3,95,6.9,,4.1,12.4,,232,7.4,7.9,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
