station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BB,2016-01-01 00:00:00,5.3,1025.5,,82,2.5,,2,,5,1,5.3,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 00:30:00,4.9,1025.2,,83,2.2,,2,,5,1,4.9,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 01:00:00,3.9,1025.4,,83,1.3,,2,,5,1,3.9,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 01:30:00,2.8,1025.7,,84,0.4,,3,,5,1,2.8,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 02:00:00,2.4,1026.1,,83,-0.2,,0,,5,1,2.4,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 02:30:00,1.9,1026.4,,83,-0.6,,2,,5,1,1.9,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 03:00:00,1.6,1026.5,1,83,-1,,2,,3,1,1.6,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 03:30:00,1.3,1026.5,1,83,-1.2,,3,,5,1,1.3,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 04:00:00,1.9,1026.4,1,81,-1,,3,,10,2,1.3,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 04:30:00,1.6,1026.3,0.9,83,-1,,0,,3,1,1.3,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 05:00:00,1.7,1026.3,0.2,82,-1.1,,0,,3,1,1.3,5.6,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 05:30:00,1.9,1026.4,0.3,82,-0.9,,0,,5,1,1.3,5.6,,,,,,0,0,,0,,,,,N/A@N/A@@@0.0@@@,weatherlink
000BB,2016-01-01 06:00:00,1.3,1026.4,-0.1,83,-1.2,,0,,3,1,1.3,5.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 06:30:00,0.7,1026.3,-0.2,83,-1.8,,2,,5,1,0.7,5.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 07:00:00,0.5,1026.2,-0.2,82,-2.2,,3,,10,1,0.3,5.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 07:30:00,1.2,1026.5,0.1,81,-1.7,,2,,10,1,0.3,5.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 08:00:00,0.4,1026.4,0.1,83,-2.1,,0,,3,1,0.3,5.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 08:30:00,1.1,1026.4,0.1,81,-1.8,,0,,3,1,0.3,5.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 09:00:00,2.3,1026.4,,81,-0.6,,0,,2,1,0.3,5.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 09:30:00,3.1,1026.2,-0.2,82,0.3,,0,,2,1,0.3,5.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 10:00:00,4.3,1026,-0.2,86,2.1,,0,,3,1,0.3,5.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 10:30:00,5.2,1025.5,-0.7,85,2.9,,2,,3,1,0.3,5.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 11:00:00,6.4,1024.9,-1.5,82,3.6,,2,,3,1,0.3,6.4,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 11:30:00,7.4,1024.6,-1.8,79,4,,2,,5,1,0.3,7.5,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 12:00:00,8.7,1024,-2.4,75,4.5,,2,,5,1,0.3,8.7,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 12:30:00,7.9,1023.5,-2.9,80,4.7,,3,,11,1,0.3,8.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 13:00:00,7.7,1023.4,-2.6,81,4.6,,2,,6,1,0.3,8.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 13:30:00,6.5,1022.8,-3.2,82,3.7,,3,,8,1,0.3,8.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 14:00:00,6.1,1022.5,-2.4,83,3.4,,3,,10,1,0.3,8.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 14:30:00,3.9,1022.4,-2.5,84,1.5,,3,,10,1,0.3,8.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 15:00:00,3.2,1022.5,-1.5,83,0.6,,2,,6,1,0.3,8.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 15:30:00,2.9,1022.1,-1.9,82,0.2,,2,,6,1,0.3,8.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 16:00:00,2.5,1022,-1.4,81,-0.4,,2,,5,1,0.3,8.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
000BB,2016-01-01 16:30:00,2.2,1021.7,-1.7,81,-0.7,,0,,3,1,0.3,8.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@0.2@@@,weatherlink
