station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BE,2015-06-06 13:00:00,20.1,1018.7,,53,10,,14.5,,24.1,297,20.1,20.3,0,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 13:10:00,19.6,1018.7,,55,10,,12.9,,24.1,302,19.6,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 13:20:00,19,1018.7,,57,10,,12.9,,20.9,300,19,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 13:30:00,18.7,1018.8,,58,10,,11.3,,17.7,290,18.7,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 13:40:00,18.4,1018.7,,68,12.2,,8,,12.9,309,18.4,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 13:50:00,18.2,1018.7,,69,12.2,,8,,17.7,34,18.2,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:00:00,17.9,1018.7,,72,12.8,,9.7,,24.1,333,17.9,20.3,0,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:10:00,18.3,1018.8,,71,12.8,,11.3,,20.9,294,17.9,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:20:00,18.4,1018.9,,69,12.8,,14.5,,20.9,306,17.9,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:30:00,18.3,1018.9,,75,13.9,,14.5,,22.5,306,17.9,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:40:00,18.2,1018.9,,74,13.3,,16.1,,25.7,328,17.9,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 14:50:00,17.6,1023.1,,75,13.3,,14.5,,24.1,298,17.6,20.3,,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
000BE,2015-06-06 15:00:00,16.6,1023.3,,81,13.3,,12.9,,20.9,305,16.6,20.3,0,,,,,0,0,0,,,,,,@@@@4.8@@@,wlkIP
