station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BG,2015-06-20 09:20:00,20.9,1020.4,,52,10.6,,8,,16.1,24,14.8,20.9,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 09:30:00,20.9,1020.3,,49,9.4,,9.7,,20.9,15,14.8,20.9,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 09:40:00,21.1,1020.4,,53,11.1,,6.4,,17.7,348,14.8,21.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 09:50:00,21.3,1020.2,,50,10.6,,9.7,,22.5,28,14.8,21.3,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:00:00,21.5,1020.2,,51,11.1,,8,,19.3,254,14.8,21.5,0,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:10:00,21.8,1020.1,,51,11.1,,9.7,,20.9,311,14.8,21.8,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:20:00,22.1,1020.2,,48,10.6,,11.3,,20.9,19,14.8,22.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:30:00,21.8,1020.2,,47,10,,8,,22.5,342,14.8,22.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:40:00,22,1020.2,,50,11.1,,9.7,,22.5,36,14.8,22.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 10:50:00,22.2,1020.1,,48,10.6,,11.3,,20.9,348,14.8,22.2,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:00:00,22.4,1020.2,,49,11.1,,8,,20.9,211,14.8,22.4,0,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:10:00,22.4,1020.2,,48,10.6,,9.7,,20.9,83,14.8,22.4,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:20:00,23.1,1020.1,,50,12.2,,8,,19.3,302,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:30:00,23,1020.1,,43,9.4,,9.7,,22.5,36,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:40:00,22.2,1020.1,,45,9.4,,11.3,,35.4,26,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 11:50:00,22.8,1020,,45,10,,11.3,,35.4,323,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:00:00,22.8,1019.8,-0.6,41,8.9,,11.3,,24.1,281,14.8,23.1,0,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:10:00,22.9,1019.8,-0.6,40,8.3,,12.9,,24.1,11,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:20:00,22.9,1019.8,-0.6,40,8.3,,11.3,,24.1,43,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:30:00,23.1,1019.8,-0.6,40,8.9,,11.3,,24.1,58,14.8,23.1,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:40:00,23.3,1019.8,-0.6,41,9.4,,12.9,,30.6,328,14.8,23.3,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 12:50:00,23.3,1019.7,-0.7,41,9.4,,11.3,,27.4,34,14.8,23.4,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:00:00,23.4,1019.7,-0.5,43,10,,12.9,,29,324,14.8,23.4,0,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:10:00,23.5,1019.7,-0.5,39,8.9,,12.9,,30.6,11,14.8,23.6,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:20:00,23.4,1019.7,-0.5,40,8.9,,16.1,,30.6,298,14.8,23.6,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:30:00,22.9,1019.7,-0.5,41,8.9,,11.3,,25.7,303,14.8,23.6,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:40:00,23.1,1019.7,-0.5,41,8.9,,11.3,,27.4,342,14.8,23.6,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
000BG,2015-06-20 13:50:00,23.4,1019.8,-0.4,42,9.4,,12.9,,30.6,348,14.8,23.6,,,,,,0,0,0,,,,,,@@@@191.3@@@,wlkIP
