station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BL,2015-07-17 21:00:00,24.6,1016.9,,87,22.3,,3,,9.7,28,22.2,29.1,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-17 21:30:00,24.6,1016.9,,86,22.1,,1.8,,6.5,38,22.2,29.1,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-17 22:00:00,24.9,1016.9,,84,22,,1.4,,6.5,9,22.2,29.1,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-17 22:30:00,24.2,1017.2,,83,21.1,,1.4,,4.7,57,22.2,29.1,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-17 23:00:00,24.1,1017.1,,84,21.2,,2.6,,6.5,53,22.2,29.1,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-17 23:30:00,23.9,1017.2,,81,20.4,,3.2,,6.5,83,22.2,29.1,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-18 00:00:00,23.8,1017.1,,80,20.1,,2.9,,4.7,79,22.2,29.1,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@842@33.6@146.60@@18.6@13.0,weatherlink
000BL,2015-07-18 00:30:00,24.2,1016.7,,81,20.7,,1.4,,4.7,46,23.7,24,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 01:00:00,24.6,1016.4,,75,19.9,,2.4,,7.9,88,23.7,24.6,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 01:30:00,24.2,1016.3,,63,16.7,,3.2,,9.7,78,23.7,24.7,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 02:00:00,24.9,1015.9,,53,14.7,,2.4,,9.7,61,23.7,24.7,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 02:30:00,24.3,1016.2,,71,18.7,,0.5,,4.7,78,23.7,25,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 03:00:00,24.1,1016.2,-0.9,76,19.6,,3.2,,4.7,82,23.7,25,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 03:30:00,23.8,1015.7,-1.4,74,18.9,,1.9,,6.5,58,23.7,25,,,,,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 04:00:00,23.3,1015.4,-1,74,18.4,,3.2,,6.5,119,23.3,25,0,0,0,0,,0,0,0,0,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@0@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 04:30:00,22.9,1015.3,-1.1,74,18,,0.5,,4.7,80,23,25,,,,,,0,0,0,18,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@12@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 05:00:00,23.1,1015.5,-0.4,77,18.8,,2.6,,4.7,80,22.8,25,0,0,0,0,,0,0,0,32,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@30@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 05:30:00,23.7,1015.4,-0.5,75,19,,0,,4.7,80,22.8,25,,,,,,0,0,0,100,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@53@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 06:00:00,25.1,1015.7,-0.5,70,19.2,,1.2,,4.7,42,22.8,25,0,0,0,0,,0,0,0,186,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@171@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 06:30:00,26,1015.8,-0.4,66,19.2,,0.8,,4.7,13,22.8,25.6,,,,,,0,0,0,265,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@246@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 07:00:00,26.4,1015.8,0.4,63,18.8,,2,,4.7,355,22.8,26.3,0,0,0,0,,0,0,0,346,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@332@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 07:30:00,26.3,1015.7,0.3,65,19.2,,3.2,,6.5,287,22.8,26.5,,,,,,0,0,0,432,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@418@33.6@146.60@@18.6@3.2,weatherlink
000BL,2015-07-18 08:00:00,26.6,1015.8,0.3,68,20.2,,2.7,,6.5,321,22.8,26.5,0,0,0,0,,0,0,0,512,,,,,[actual_uv0_index]@[day1_uv0_indexmax]@503@33.6@146.60@@18.6@3.2,weatherlink
