station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BO,2017-01-01 00:00:00,1.3,1029.3,,95,0.6,,0.8,,4.7,329,0.7,2.3,0,0,0,0,,0,0,0,,,,,,@@@@@@@16.2,weatherlink
000BO,2017-01-01 00:30:00,1.3,1029.1,,94,0.4,,0.7,,7.9,330,1.3,1.4,,,,,,0,0,0,,,,,,@@@@@@@7.9,weatherlink
000BO,2017-01-01 01:00:00,1.4,1028.7,,94,0.5,,1,,0,330,1.3,1.4,0,0,0,0,,0,0,0,,,,,,@@@@@@@7.9,weatherlink
000BO,2017-01-01 11:00:00,3.8,1023.7,,93,2.8,,6.8,,16.2,121,1.3,3.8,0,0,0,0,,0,0,0,,,,,,@@@@@@@16.2,weatherlink
000BO,2017-01-01 11:30:00,3.9,1023.5,,93,2.9,,6.9,,13,132,1.3,3.9,,,,,,0,0,0,,,,,,@@@@@@@16.2,weatherlink
000BO,2017-01-01 12:00:00,4.2,1022.9,,92,3,,5,,11.2,128,1.3,4.1,0,0,0,0,,0,0,0,,,,,,@@@@@@@16.2,weatherlink
000BO,2017-01-01 12:30:00,4.8,1022.3,,91,3.5,,8.3,,16.2,127,1.3,4.8,,,,,,0,0,0,,,,,,@@@@@@@17.6,weatherlink
000BO,2017-01-01 13:00:00,5.5,1022,,91,4.1,,11.5,,16.2,125,1.3,5.5,0,0,0,0,,0,0,0,,,,,,@@@@@@@17.6,weatherlink
000BO,2017-01-01 13:30:00,5.7,1021.6,,90,4.2,,8.2,,14.4,136,1.3,5.7,,,,,,0,0,0,,,,,,@@@@@@@17.6,weatherlink
000BO,2017-01-01 14:00:00,5.7,1021.3,-2.4,90,4.2,,8.7,,16.2,131,1.3,5.7,0,0,0,0,,0,0,0,,,,,,@@@@@@@17.6,weatherlink
000BO,2017-01-01 14:30:00,5.7,1021.1,-2.6,90,4.2,,10.1,,19.4,140,1.3,5.8,,,,,,0,0,0,,,,,,@@@@@@@19.4,weatherlink
000BO,2017-01-01 15:00:00,6.1,1021.1,-1.8,90,4.6,,9.1,,19.4,146,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@19.4,weatherlink
000BO,2017-01-01 15:30:00,6,1020.8,-2.1,90,4.5,,10.7,,20.9,134,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 16:00:00,5.8,1020.9,-1.1,90,4.3,,6.7,,16.2,131,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 16:30:00,5.4,1021,-1,91,4,,7.9,,16.2,154,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 17:00:00,5.1,1020.9,-0.4,91,3.8,,5.3,,14.4,137,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 17:30:00,4.9,1021,-0.3,92,3.7,,6.5,,14.4,130,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 18:00:00,4.7,1021,-0.1,92,3.5,,6.3,,11.2,132,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 18:30:00,4.6,1021.1,,92,3.4,,4.4,,11.2,121,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 19:00:00,4.4,1020.9,,92,3.2,,6.7,,13,113,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 19:30:00,4.4,1020.9,,92,3.2,,8.2,,16.2,113,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 20:00:00,4.4,1021.1,0.2,92,3.2,,7.1,,17.6,122,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 20:30:00,4.4,1021.2,0.3,92,3.2,,6.5,,13,122,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 21:00:00,4.6,1021.2,0.2,93,3.6,,6.6,,16.2,129,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 21:30:00,4.5,1021,,93,3.5,,9.4,,20.9,119,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 22:00:00,4.6,1020.9,,94,3.7,,11.2,,17.6,118,1.3,6.2,0,0,0,0,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
000BO,2017-01-01 22:30:00,4.6,1021.2,0.3,94,3.7,,10.1,,19.4,121,1.3,6.2,,,,,,0,0,0,,,,,,@@@@@@@20.9,weatherlink
