station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BQ,2015-08-17 16:30:00,21.1,1014.1,,44,8.3,,8,,19.3,329,20.6,21.2,,,,,,0,0,0,415,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 16:40:00,20.7,1014.2,,44,7.8,,8,,16.1,321,20.6,21.2,,,,,,0,0,0,397,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 16:50:00,20.6,1014.1,,44,7.8,,8,,16.1,302,20.6,21.2,,,,,,0,0,0,165,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:00:00,20.2,1014.1,,46,8.3,,8,,19.3,327,20.2,21.2,0,,,,,0,0,0,181,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:10:00,19.7,1014.1,,46,7.8,,8,,20.9,296,19.7,21.2,,,,,,0,0,0,109,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:20:00,19.2,1014.1,,47,7.2,,4.8,,16.1,303,19.2,21.2,,,,,,0,0,0,98,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:30:00,19.1,1014.2,,48,7.8,,4.8,,12.9,5,19.1,21.2,,,,,,0,0,0,83,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:40:00,18.8,1014.2,,50,8.3,,4.8,,16.1,355,18.8,21.2,,,,,,0,0,0,72,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 17:50:00,18.6,1014.2,,51,8.3,,4.8,,14.5,33,18.6,21.2,,,,,,0,0,0,58,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:00:00,18.6,1014.3,,52,8.3,,4.8,,11.3,360,18.5,21.2,0,,,,,0,0,0,63,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:10:00,18.3,1014.5,,54,8.9,,6.4,,16.1,46,18.3,21.2,,,,,,0,0,0,28,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:20:00,17.6,1014.6,,60,9.4,,6.4,,16.1,30,17.6,21.2,,,,,,0,0,0,19,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:30:00,17.2,1014.7,,63,10,,4.8,,12.9,328,17.2,21.2,,,,,,0,0,0,16,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:40:00,16.8,1014.8,,63,9.4,,6.4,,12.9,302,16.8,21.2,,,,,,0,0,0,12,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 18:50:00,16.6,1014.9,,64,9.4,,4.8,,12.9,304,16.6,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:00:00,16.2,1015,0.9,66,10,,4.8,,14.5,355,16.2,21.2,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:10:00,16,1015.1,1,67,10,,4.8,,9.7,307,16,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:20:00,15.7,1015.3,1.2,69,10,,4.8,,14.5,355,15.7,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:30:00,15.4,1015.3,1.2,71,10,,3.2,,8,344,15.4,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:40:00,15.2,1015.3,1.2,73,10.6,,1.6,,6.4,30,15.2,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 19:50:00,14.9,1015.4,1.3,73,10,,1.6,,3.2,23,14.9,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:00:00,14.5,1015.4,1.3,75,10,,,,1.6,23,14.5,21.2,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:10:00,14.2,1015.5,1.4,77,10,,,,1.6,23,14.2,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:20:00,13.9,1015.5,1.4,79,10.6,,,,1.6,23,13.9,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:30:00,13.7,1015.5,1.4,80,10.6,,,,3.2,36,13.7,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:40:00,13.6,1015.5,1.4,81,10.6,,,,3.2,36,13.6,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 20:50:00,13.4,1015.5,1.4,82,10.6,,,,3.2,5,13.4,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:00:00,13.3,1015.6,1.3,83,10.6,,,,3.2,30,13.3,21.2,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:10:00,13.3,1015.6,1.3,83,10.6,,,,3.2,31,13.3,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:20:00,13.1,1015.7,1.4,84,10.6,,1.6,,3.2,202,13.1,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:30:00,12.9,1015.6,1.3,83,10,,1.6,,6.4,166,12.9,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:40:00,12.7,1015.6,1.3,85,10.6,,1.6,,4.8,175,12.7,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 21:50:00,12.5,1015.6,1.3,86,10,,1.6,,3.2,175,12.5,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:00:00,12.3,1015.6,0.6,87,10,,,,1.6,175,12.3,21.2,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:10:00,12.1,1015.6,0.6,87,10,,,,1.6,175,12.1,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:20:00,11.8,1015.6,0.6,88,10,,,,1.6,175,11.8,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:30:00,11.4,1015.5,0.5,89,10,,,,1.6,175,11.4,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:40:00,11.2,1015.6,0.6,88,9.4,,,,1.6,175,11.2,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 22:50:00,10.9,1015.6,0.6,90,9.4,,,,1.6,175,10.9,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:00:00,10.6,1015.6,0.2,89,8.9,,,,1.6,175,10.6,21.2,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:10:00,10.2,1015.5,0.1,90,8.9,,,,1.6,175,10.2,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:20:00,10.1,1015.5,0.1,92,8.9,,1.6,,3.2,175,10.1,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:30:00,9.9,1015.5,0.1,90,8.3,,,,1.6,175,9.9,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:40:00,9.6,1015.6,0.2,91,8.3,,,,1.6,175,9.6,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-17 23:50:00,9.5,1015.5,0.1,92,8.3,,1.6,,1.6,175,9.5,21.2,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:00:00,9.4,1015.5,,93,8.3,,,,1.6,175,9.4,9.4,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:10:00,9.3,1015.4,,92,8.3,,,,1.6,175,9.3,9.4,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:20:00,9.1,1015.4,,92,7.8,,,,,175,9.1,9.4,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:30:00,8.8,1015.4,,93,7.8,,,,,175,8.8,9.4,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:40:00,8.7,1015.4,,93,7.8,,,,1.6,167,8.7,9.4,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 00:50:00,8.6,1015.5,,93,7.8,,,,3.2,74,8.6,9.4,,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
000BQ,2015-08-18 01:00:00,8.8,1015.5,,95,8.3,,1.6,,4.8,135,8.6,9.4,0,,,,,0,0,0,0,,,,,@@@@40.0@@@,wlkIP
