station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BS,2015-08-24 16:30:00,23.4,1012.7,,47,11.5,,24.1,,38.6,305,19.2,25.2,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 17:00:00,23.2,1013.11,,48,11.5,,19.3,,38.6,298,19.2,25.2,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 17:30:00,23,1013.45,,49,11.7,,19.3,,30.6,301,19.2,25.2,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 18:00:00,22.8,1014.09,,50,11.9,,19.3,,30.6,303,19.2,25.2,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 18:30:00,22.7,1014.63,,51,12,,19.3,,32.2,305,19.2,25.2,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 19:00:00,22.4,1015.14,2.4,51,11.8,,14.5,,27.4,316,19.2,25.2,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 19:30:00,22.3,1015.82,3.1,51,11.7,,14.5,,24.1,317,19.2,25.2,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 20:00:00,22.2,1016.22,3.1,51,11.5,,12.9,,22.5,310,19.2,25.2,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 20:30:00,22.1,1016.66,3.5,52,11.7,,17.7,,25.7,304,19.2,25.2,,,,,,0,0,,,,,,,@@@@@@@,weatherlink
000BS,2015-08-24 21:00:00,21.9,1016.87,2.8,52,11.6,,11.3,,20.9,311,19.2,25.2,0,0,0,0,,0,0,,,,,,,@@@@@@@,weatherlink
