station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BU,2015-08-27 09:50:00,27.5,1017.6,,40,12.8,,4.8,,20.9,167,12.7,27.5,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:00:00,27.7,1017.5,,40,12.8,,6.4,,16.1,137,12.7,27.7,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:10:00,28.1,1017.5,,38,12.2,,6.4,,20.9,125,12.7,28.1,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:20:00,27.9,1017.6,,37,11.7,,8,,19.3,101,12.7,28.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:30:00,28.3,1017.5,,36,11.7,,6.4,,14.5,169,12.7,28.3,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:40:00,28.5,1017.4,,36,12.2,,4.8,,11.3,68,12.7,28.5,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 10:50:00,29.1,1017.2,,34,11.7,,4.8,,14.5,112,12.7,29,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:00:00,28.9,1017.2,,34,11.7,,6.4,,19.3,144,12.7,29.2,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:10:00,29,1017.2,,35,12.2,,6.4,,19.3,152,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:20:00,29,1017,,35,12.2,,6.4,,16.1,126,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:30:00,29,1017,,34,11.7,,8,,24.1,186,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:40:00,28.8,1016.9,,34,11.7,,9.7,,19.3,47,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 11:50:00,28.9,1016.8,,31,10,,8,,19.3,142,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:00:00,29.2,1016.7,-0.9,32,11.1,,11.3,,17.7,178,12.7,29.2,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:10:00,29.1,1016.6,-1,34,11.7,,8,,17.7,153,12.7,29.2,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:20:00,29.2,1016.7,-0.9,32,11.1,,9.7,,22.5,158,12.7,29.3,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:30:00,29.2,1016.6,-1,35,12.2,,11.3,,22.5,161,12.7,29.3,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:40:00,29.3,1016.5,-1.1,36,12.8,,9.7,,20.9,163,12.7,29.3,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 12:50:00,29.4,1016.4,-1.2,35,12.2,,9.7,,22.5,188,12.7,29.5,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:00:00,29.7,1016.2,-1.3,36,13.3,,9.7,,22.5,47,12.7,29.7,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:10:00,29.4,1016.1,-1.4,35,12.2,,11.3,,22.5,166,12.7,29.7,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:20:00,29.9,1016.1,-1.4,33,12.2,,8,,24.1,198,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:30:00,29.8,1016,-1.5,33,11.7,,11.3,,25.7,158,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:40:00,29.8,1016,-1.5,33,11.7,,11.3,,20.9,153,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 13:50:00,29.9,1015.8,-1.7,32,11.7,,9.7,,17.7,173,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:00:00,29.8,1015.8,-1.4,32,11.7,,12.9,,24.1,169,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:10:00,29.7,1015.7,-1.5,32,11.1,,12.9,,22.5,163,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:20:00,29.4,1015.7,-1.5,32,11.1,,14.5,,27.4,157,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:30:00,29.3,1015.7,-1.5,33,11.7,,12.9,,25.7,176,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:40:00,29.3,1015.7,-1.5,32,11.1,,14.5,,25.7,154,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 14:50:00,29.7,1015.7,-1.5,31,11.1,,9.7,,22.5,132,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:00:00,29.6,1015.8,-0.9,32,11.1,,8,,19.3,150,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:10:00,29.8,1015.8,-0.9,31,11.1,,8,,14.5,141,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:20:00,29.8,1015.9,-0.8,31,11.1,,6.4,,16.1,167,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:30:00,29.4,1015.9,-0.8,33,11.7,,8,,17.7,161,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:40:00,29.1,1016,-0.7,33,11.1,,11.3,,24.1,155,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 15:50:00,29.2,1016,-0.7,33,11.1,,8,,19.3,155,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:00:00,28.9,1016,-0.2,33,11.1,,6.4,,19.3,167,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:10:00,28.6,1016.1,-0.1,35,11.7,,9.7,,19.3,141,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:20:00,28.6,1016.1,-0.1,35,11.7,,4.8,,11.3,126,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:30:00,28.3,1016.1,-0.1,34,11.1,,8,,19.3,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:40:00,28.3,1016.1,-0.1,35,11.7,,6.4,,12.9,152,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 16:50:00,27.9,1016.2,,34,10.6,,6.4,,16.1,144,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:00:00,27.6,1016.1,0.3,35,10.6,,6.4,,11.3,126,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:10:00,27.4,1016.2,0.4,35,10.6,,3.2,,8,157,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:20:00,27.3,1016.2,0.4,36,11.1,,3.2,,8,138,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:30:00,26.8,1016.2,0.4,37,11.1,,3.2,,11.3,138,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:40:00,26.4,1016.2,0.4,39,11.1,,4.8,,9.7,154,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 17:50:00,26.2,1016.2,0.4,41,11.7,,4.8,,9.7,163,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:00:00,25.8,1016.3,0.5,43,12.2,,4.8,,11.3,129,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:10:00,25.4,1016.4,0.6,44,12.2,,3.2,,9.7,150,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:20:00,25,1016.5,0.7,44,11.7,,3.2,,8,157,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:30:00,24.6,1016.5,0.7,44,11.7,,1.6,,6.4,133,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:40:00,24.3,1016.6,0.8,46,11.7,,,,4.8,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 18:50:00,23.9,1016.8,1,46,11.7,,,,,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:00:00,23.6,1017,1,49,12.2,,,,3.2,135,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:10:00,23.5,1017.1,1.1,47,11.7,,,,3.2,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:20:00,23.4,1017.2,1.2,47,11.1,,,,1.6,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:30:00,23.2,1017.3,1.3,50,12.2,,,,3.2,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:40:00,22.6,1017.4,1.4,52,12.2,,,,1.6,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 19:50:00,21.9,1017.5,1.5,54,12.2,,,,4.8,135,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:00:00,21.5,1017.6,1.5,56,12.2,,1.6,,1.6,10,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:10:00,21.2,1017.7,1.6,56,12.2,,,,3.2,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:20:00,20.8,1017.8,1.7,59,12.2,,,,1.6,9,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:30:00,20.4,1017.9,1.8,58,11.7,,3.2,,6.4,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:40:00,20.6,1018,1.9,58,11.7,,1.6,,3.2,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 20:50:00,20.4,1018,1.9,59,12.2,,,,1.6,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:00:00,20.3,1018.1,1.8,60,12.2,,,,,10,12.7,30,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:10:00,20.1,1018.1,1.8,61,12.2,,,,1.6,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:20:00,19.3,1018.3,2,66,12.8,,,,1.6,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:30:00,18.6,1018.4,2.1,67,12.2,,,,3.2,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:40:00,18.3,1018.5,2.2,69,12.8,,,,3.2,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 21:50:00,18.2,1018.6,2.3,70,12.8,,,,,10,12.7,30,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:00:00,17.8,1018.6,1.6,70,12.2,,,,,10,17.8,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:10:00,17.6,1018.7,1.7,72,12.8,,,,1.6,10,17.6,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:20:00,17.2,1018.7,1.7,74,12.8,,,,3.2,9,17.2,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:30:00,16.9,1018.8,1.8,74,12.2,,,,1.6,9,16.9,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:40:00,16.8,1018.8,1.8,74,12.2,,,,1.6,9,16.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 22:50:00,16.7,1018.8,1.8,74,12.2,,,,,9,16.7,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:00:00,16.6,1018.8,1.2,74,11.7,,1.6,,3.2,9,16.6,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:10:00,16.8,1018.9,1.3,72,11.7,,,,1.6,9,16.6,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:20:00,16.6,1018.8,1.2,72,11.7,,,,,9,16.6,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:30:00,16.3,1018.8,1.2,74,11.7,,,,,9,16.3,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:40:00,16.1,1018.7,1.1,75,11.7,,,,,9,16.1,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-27 23:50:00,15.7,1018.7,1.1,79,12.2,,,,,5,15.7,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:00:00,15.4,1018.5,,80,12.2,,,,3.2,5,15.4,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:10:00,15.3,1018.5,,81,12.2,,,,3.2,5,15.3,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:20:00,15.1,1018.6,,81,11.7,,,,1.6,5,15.1,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:30:00,15,1018.6,,81,11.7,,,,3.2,5,15,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:40:00,15.1,1018.4,,80,11.7,,,,,5,15,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 00:50:00,15,1018.5,,81,11.7,,,,,5,15,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:00:00,14.8,1018.5,,82,11.7,,,,,5,14.8,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:10:00,14.7,1018.4,,83,11.7,,,,,5,14.7,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:20:00,14.5,1018.4,,84,11.7,,,,1.6,5,14.5,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:30:00,14.3,1018.5,,84,11.7,,,,,5,14.3,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:40:00,14.2,1018.5,,85,11.7,,,,,5,14.2,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 01:50:00,14.1,1018.5,,86,11.7,,,,,5,14.1,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:00:00,14.1,1018.4,,85,11.7,,,,3.2,5,14.1,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:10:00,14.1,1018.5,,85,11.7,,,,,5,14.1,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:20:00,14,1018.5,,86,11.7,,,,,5,14,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:30:00,13.9,1018.4,,87,11.7,,,,,5,13.9,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:40:00,13.9,1018.5,,86,11.7,,,,,5,13.9,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 02:50:00,13.8,1018.5,,87,11.7,,,,,5,13.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:00:00,13.8,1018.5,,87,11.7,,,,1.6,5,13.8,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:10:00,13.8,1018.6,0.1,86,11.7,,,,1.6,5,13.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:20:00,13.7,1018.5,,86,11.7,,,,,5,13.7,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:30:00,13.4,1018.6,0.1,87,11.1,,,,1.6,5,13.4,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:40:00,13.3,1018.5,,88,11.1,,,,,5,13.3,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 03:50:00,13.1,1018.5,,88,11.1,,,,1.6,5,13.1,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:00:00,12.9,1018.5,,88,11.1,,,,,5,12.9,17.9,0,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:10:00,12.9,1018.4,-0.1,89,11.1,,,,,5,12.9,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:20:00,12.9,1018.4,-0.1,89,11.1,,,,,5,12.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:30:00,13.1,1018.5,,88,11.1,,,,3.2,5,12.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:40:00,13.3,1018.6,0.1,87,11.1,,,,1.6,5,12.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
000BU,2015-08-28 04:50:00,13.3,1018.6,0.1,87,11.1,,,,,5,12.8,17.9,,,,,,0,0,0,,,,,,@@@@17.8@@@,wlkIP
