station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BY,2015-09-10 06:50:00,12.8,1015,,91,11.7,,,,,53,9.8,14.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:00:00,13.8,1015,,87,11.7,,,,4.8,55,9.8,14.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:10:00,14.6,1015,,82,11.7,,,,4.8,41,9.8,14.6,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:20:00,15.6,1015,,76,11.7,,,,3.2,35,9.8,15.6,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:30:00,16.5,1015,,73,11.7,,,,3.2,87,9.8,16.5,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:40:00,17.3,1015.1,,69,11.7,,,,1.6,160,9.8,17.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 07:50:00,17.9,1015.1,,66,11.7,,,,1.6,17,9.8,17.9,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:00:00,18.5,1015.2,,64,11.7,,,,1.6,22,9.8,18.5,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:10:00,18.9,1015.2,,62,11.1,,1.6,,8,222,9.8,18.9,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:20:00,19.3,1015.3,,60,11.1,,1.6,,4.8,29,9.8,19.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:30:00,19.8,1015.3,,58,11.1,,1.6,,4.8,44,9.8,19.8,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:40:00,20.3,1015.3,,57,11.1,,1.6,,3.2,40,9.8,20.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 08:50:00,20.7,1015.3,,56,11.7,,1.6,,6.4,355,9.8,20.7,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 09:00:00,21.1,1015.2,0.2,56,11.7,,1.6,,4.8,88,9.8,21.1,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 09:10:00,21.6,1015.2,0.2,53,11.7,,,,,31,9.8,21.6,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000BY,2015-09-10 09:20:00,21.8,1015.1,0.1,51,11.1,,1.6,,6.4,69,9.8,21.8,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
