station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000BZ,2015-09-12 08:30:00,19.9,1017.1,,75,15.6,,9.7,,22.5,100,17.1,19.9,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 08:40:00,20.1,1017.1,,73,15,,8,,24.1,117,17.1,20.1,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 08:50:00,20.2,1017.3,,73,15,,9.7,,16.1,149,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:00:00,20.1,1017.3,,73,15,,9.7,,17.7,145,17.1,20.2,0,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:10:00,20.1,1017.4,,73,15,,9.7,,22.5,182,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:20:00,19.9,1017.3,,74,15,,6.4,,12.9,129,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:30:00,20,1017.3,,74,15,,11.3,,24.1,135,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:40:00,20.1,1017.5,,73,15,,6.4,,17.7,153,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 09:50:00,20.1,1017.6,,72,15,,6.4,,17.7,169,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:00:00,20.1,1017.5,,72,15,,6.4,,17.7,150,17.1,20.2,0,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:10:00,20,1017.6,,73,15,,4.8,,14.5,147,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:20:00,20,1017.3,,73,15,,6.4,,14.5,157,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:30:00,20.1,1017.3,,74,15.6,,6.4,,12.9,150,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:40:00,20.1,1017.2,,74,15.6,,3.2,,9.7,159,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 10:50:00,20.1,1017.1,,73,15,,3.2,,6.4,144,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:00:00,20.2,1017.1,,74,15.6,,3.2,,6.4,130,17.1,20.2,0,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:10:00,20.2,1017,-0.1,75,15.6,,4.8,,8,132,17.1,20.2,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:20:00,20.3,1017,-0.1,77,16.1,,4.8,,11.3,161,17.1,20.3,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:30:00,20.6,1016.9,-0.2,78,16.7,,4.8,,19.3,149,17.1,20.6,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:40:00,21.4,1016.8,-0.3,75,16.7,,12.9,,27.4,148,17.1,21.4,,,,,,3.4,0,0,,,,,,@@@@390.6@@@,wlkIP
000BZ,2015-09-12 11:50:00,21.9,1016.7,-0.4,74,17.2,,16.1,,29,162,17.1,21.9,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:00:00,22.1,1016.6,-0.7,74,17.2,,12.9,,25.7,132,17.1,22.1,0.2,0.2,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:10:00,22.1,1016.5,-0.8,74,17.2,,16.1,,40.2,126,17.1,22.1,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:20:00,22.3,1016,-1.3,73,17.2,,16.1,,25.7,101,17.1,22.3,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:30:00,22.6,1015.8,-1.5,72,17.2,,14.5,,32.2,135,17.1,22.6,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:40:00,22.7,1015.6,-1.7,72,17.2,,19.3,,30.6,126,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 12:50:00,22.6,1015.5,-1.8,73,17.8,,20.9,,41.8,137,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:00:00,22.4,1015,-2.5,74,17.8,,17.7,,30.6,124,17.1,22.7,0,0.2,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:10:00,22.6,1014.8,-2.7,73,17.2,,17.7,,33.8,165,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:20:00,22.6,1014.8,-2.7,73,17.2,,19.3,,40.2,133,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:30:00,22.6,1014.6,-2.9,72,17.2,,17.7,,40.2,154,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:40:00,22.5,1014.5,-3,73,17.2,,19.3,,37,179,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 13:50:00,22.3,1014.5,-3,74,17.2,,14.5,,29,140,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:00:00,22.3,1014.5,-2.6,74,17.2,,14.5,,30.6,144,17.1,22.7,0,0.2,0.2,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:10:00,22.3,1014.3,-2.8,73,17.2,,19.3,,32.2,145,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:20:00,22.4,1014.3,-2.8,72,17.2,,19.3,,33.8,97,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:30:00,22.3,1014.3,-2.8,72,17.2,,20.9,,45.1,125,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:40:00,22,1014.2,-2.9,73,17.2,,16.1,,29,128,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 14:50:00,21.8,1014.1,-3,74,17.2,,17.7,,29,147,17.1,22.7,,,,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
000BZ,2015-09-12 15:00:00,21.9,1013.7,-2.9,72,16.7,,16.1,,29,121,17.1,22.7,0,,0.2,,,3.6,0,0,,,,,,@@@@390.8@@@,wlkIP
