station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CA,2019-01-01 00:00:00,6.7,1035.4,,94,5.8,,3,,8,3,6.6,6.7,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 00:30:00,6.8,1035.1,,93,5.7,,3,,8,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 01:00:00,6.7,1035.1,,93,5.7,,5,,10,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 01:30:00,6.7,1035,,92,5.5,,3,,8,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 02:00:00,6.7,1035.3,,92,5.5,,3,,10,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 02:30:00,6.7,1035.3,,92,5.5,,2,,8,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 03:00:00,6.7,1035.1,-0.3,92,5.5,,2,,5,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 03:30:00,6.7,1034.9,-0.5,91,5.3,,3,,6,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 04:00:00,6.6,1034.7,-0.4,91,5.2,,3,,11,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 04:30:00,6.6,1034.5,-0.6,91,5.2,,2,,6,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 05:00:00,6.7,1034.4,-0.9,91,5.3,,2,,5,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 05:30:00,6.6,1034.4,-0.9,91,5.2,,2,,5,3,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 06:00:00,6.6,1034.4,-0.7,91,5.2,,2,,6,3,6.6,6.8,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000CA,2019-01-01 06:30:00,6.6,1034.5,-0.6,91,5.2,,2,,5,2,6.6,6.8,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
