station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CC,2015-10-15 16:50:00,3.2,1017.8,,90,1.7,,3.2,,4.8,41,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:00:00,3.2,1018,,90,1.7,,1.6,,3.2,359,1.6,5.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:10:00,3.2,1018,,90,1.7,,3.2,,9.7,4,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:20:00,3.2,1018.3,,90,1.7,,4.8,,8,359,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:30:00,3.3,1018.3,,90,1.7,,6.4,,14.5,4,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:40:00,3.3,1018.5,,90,1.7,,6.4,,9.7,4,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 17:50:00,3.3,1018.6,,90,1.7,,4.8,,8,344,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 18:00:00,3.3,1018.6,,90,1.7,,3.2,,6.4,11,1.6,5.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 18:10:00,3.3,1018.8,,91,2.2,,4.8,,9.7,359,1.6,5.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CC,2015-10-15 18:20:00,3.1,1019,,91,1.7,,6.4,,12.9,359,1.6,5.2,,,,,,0.2,0,0,,,,,,@@@@0.2@@@,wlkIP
000CC,2015-10-15 18:30:00,2.8,1019,,91,1.7,,6.4,,12.9,354,1.6,5.2,,,,,,0.6,2.2,2.2,,,,,,@@@@0.6@@@,wlkIP
