station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CE,2015-10-30 09:10:00,17.8,1017.2,,64,10.6,,4.8,,11.3,125,11.1,17.8,,,,,,0,0,0,345,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 09:20:00,18.1,1017.2,,60,10,,4.8,,11.3,114,11.1,18.1,,,,,,0,0,0,366,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 09:30:00,18.2,1017.2,,60,10,,8,,12.9,102,11.1,18.2,,,,,,0,0,0,387,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 09:40:00,18.4,1017.2,,62,11.1,,8,,12.9,105,11.1,18.4,,,,,,0,0,0,397,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 09:50:00,18.5,1017.3,,63,11.1,,8,,12.9,124,11.1,18.6,,,,,,0,0,0,418,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:00:00,18.9,1017.3,,62,11.7,,4.8,,8,94,11.1,18.9,0,,,,,0,0,0,434,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:10:00,18.9,1017.3,,59,10.6,,4.8,,14.5,111,11.1,19.2,,,,,,0,0,0,448,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:20:00,18.9,1017.3,,59,10.6,,4.8,,11.3,79,11.1,19.2,,,,,,0,0,0,457,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:30:00,19.1,1017.3,,59,10.6,,6.4,,11.3,107,11.1,19.2,,,,,,0,0,0,473,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:40:00,19.3,1017.3,,57,10.6,,6.4,,11.3,82,11.1,19.3,,,,,,0,0,0,480,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 10:50:00,19.6,1017.3,,57,10.6,,4.8,,9.7,146,11.1,19.6,,,,,,0,0,0,489,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:00:00,19.9,1017.2,,57,11.1,,4.8,,9.7,92,11.1,19.9,0,,,,,0,0,0,497,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:10:00,20.1,1017.1,,56,11.1,,4.8,,12.9,157,11.1,20.1,,,,,,0,0,0,499,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:20:00,20.2,1017,,58,11.7,,4.8,,9.7,109,11.1,20.2,,,,,,0,0,0,503,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:30:00,20.5,1016.9,,56,11.1,,3.2,,11.3,95,11.1,20.5,,,,,,0,0,0,504,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:40:00,20.7,1016.9,,54,11.1,,4.8,,8,43,11.1,20.7,,,,,,0,0,0,510,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 11:50:00,20.9,1016.9,,55,11.7,,3.2,,8,22,11.1,20.9,,,,,,0,0,0,510,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:00:00,20.8,1016.9,-0.3,53,10.6,,6.4,,12.9,27,11.1,21,0,,,,,0,0,0,506,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:10:00,20.8,1016.8,-0.4,54,11.1,,8,,14.5,355,11.1,21,,,,,,0,0,0,503,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:20:00,20.8,1016.8,-0.4,54,11.1,,8,,12.9,45,11.1,21,,,,,,0,0,0,501,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:30:00,20.9,1016.8,-0.4,54,11.1,,4.8,,9.7,53,11.1,21,,,,,,0,0,0,494,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:40:00,21,1016.7,-0.5,54,11.1,,6.4,,9.7,37,11.1,21,,,,,,0,0,0,487,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 12:50:00,21,1016.7,-0.5,56,11.7,,6.4,,12.9,96,11.1,21,,,,,,0,0,0,482,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:00:00,21.2,1016.7,-0.6,58,12.2,,4.8,,11.3,32,11.1,21.2,0,,,,,0,0,0,466,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:10:00,21.1,1016.6,-0.7,56,11.7,,6.4,,14.5,32,11.1,21.2,,,,,,0,0,0,455,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:20:00,21.1,1016.5,-0.8,55,11.7,,6.4,,11.3,67,11.1,21.2,,,,,,0,0,0,441,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:30:00,21.1,1016.4,-0.9,56,11.7,,6.4,,11.3,55,11.1,21.2,,,,,,0,0,0,427,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:40:00,21,1016.4,-0.9,57,12.2,,6.4,,12.9,71,11.1,21.2,,,,,,0,0,0,415,,,,,@@@@0.0@@@,wlkIP
000CE,2015-10-30 13:50:00,21,1016.3,-1,57,12.2,,4.8,,9.7,57,11.1,21.2,,,,,,0,0,0,394,,,,,@@@@0.0@@@,wlkIP
