station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CI,2015-11-07 22:00:00,10.1,1028.4,,95,9.4,,1.6,,3.2,113,9.1,23.4,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 22:10:00,10.1,1028.4,,94,9.4,,,,,113,9.1,23.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 22:20:00,9.8,1028.4,,94,8.9,,,,,113,9.1,23.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 22:30:00,9.6,1028.3,,95,8.9,,,,1.6,113,9.1,23.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 22:40:00,9.7,1028.4,,95,8.9,,1.6,,3.2,113,9.1,23.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 22:50:00,9.3,1028.4,,91,7.8,,,,,113,9.1,23.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:00:00,9.1,1028.3,,95,8.3,,,,,113,9.1,9.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:10:00,9.1,1028.3,,95,8.3,,,,,113,9.1,9.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:20:00,9.2,1028.2,,96,8.9,,,,,113,9.1,9.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:30:00,9.2,1028.2,,96,8.9,,,,,113,9.1,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:40:00,8.9,1028.2,,94,7.8,,,,,113,8.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-07 23:50:00,8.8,1028.2,,96,8.3,,,,1.6,113,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:00:00,8.8,1028.3,,96,8.3,,,,,113,8.8,9.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:10:00,8.8,1028.3,,96,8.3,,,,1.6,113,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:20:00,8.9,1028.4,,96,8.3,,1.6,,3.2,113,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:30:00,9.1,1028.3,,96,8.3,,,,3.2,113,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:40:00,9.1,1028.3,,96,8.3,,,,1.6,113,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 00:50:00,8.8,1028.3,,96,8.3,,1.6,,3.2,92,8.8,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:00:00,8.7,1028.3,,95,7.8,,,,1.6,92,8.7,9.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:10:00,8.6,1028.3,,95,7.8,,1.6,,3.2,92,8.6,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:20:00,8.7,1028.3,,96,8.3,,1.6,,4.8,120,8.6,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:30:00,8.7,1028.3,,96,8.3,,,,1.6,120,8.6,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:40:00,8.7,1028.2,,96,8.3,,1.6,,3.2,120,8.6,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 01:50:00,8.4,1028.1,,96,7.8,,1.6,,3.2,120,8.4,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:00:00,8.6,1028.1,,96,7.8,,1.6,,3.2,120,8.4,9.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:10:00,8.6,1028,,96,7.8,,,,1.6,120,8.4,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:20:00,8.1,1027.8,,95,7.2,,,,1.6,120,8.1,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:30:00,7.9,1027.8,,96,7.2,,,,3.2,120,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:40:00,8.3,1027.7,,97,7.8,,1.6,,4.8,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 02:50:00,8.2,1027.6,,96,7.8,,1.6,,3.2,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:00:00,8.1,1027.6,-0.7,96,7.8,,1.6,,3.2,119,7.9,9.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:10:00,7.9,1027.5,-0.8,96,7.2,,,,,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:20:00,8,1027.5,-0.8,96,7.2,,,,,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:30:00,7.9,1027.4,-0.9,97,7.8,,,,,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:40:00,8.3,1027.4,-0.9,97,7.8,,,,1.6,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 03:50:00,8.7,1027.3,-1,97,8.3,,,,1.6,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:00:00,8.4,1027.3,-1,97,7.8,,,,1.6,119,7.9,9.3,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:10:00,8.7,1027.3,-1,97,8.3,,,,1.6,119,7.9,9.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:20:00,9.8,1027.2,-1.1,98,9.4,,1.6,,3.2,42,7.9,9.8,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:30:00,10.3,1027.1,-1.2,97,10,,1.6,,3.2,42,7.9,10.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:40:00,10.4,1026.9,-1.4,97,10,,1.6,,3.2,42,7.9,10.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 04:50:00,10.7,1026.8,-1.5,98,10.6,,1.6,,4.8,50,7.9,10.7,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 05:00:00,10.7,1026.7,-1.4,98,10.6,,1.6,,4.8,40,7.9,10.7,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CI,2015-11-08 05:10:00,10.1,1026.7,-1.4,93,8.9,,1.6,,3.2,59,7.9,10.7,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
