station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CK,2015-11-09 19:00:00,14.1,1026.4,,64,7.4,,22.5,,,30,10.4,17.2,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-09 19:30:00,13.7,1026.4,,66,7.5,,12.9,,,353,10.4,17.2,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-09 20:00:00,12.6,1026.1,,70,7.3,,11.3,,,277,10.4,17.2,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-09 20:30:00,13.5,1026.1,,67,7.5,,17.7,,,321,10.4,17.2,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-09 21:00:00,12.9,1026.1,,70,7.6,,22.5,,,25,10.4,17.2,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@33.8,weatherlink
000CK,2015-11-09 21:30:00,12.1,1026.1,,76,8,,24.1,,,13,10.4,17.2,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@35.4,weatherlink
000CK,2015-11-09 22:00:00,12.1,1025.7,-0.7,77,8.2,,27.4,,,1,10.4,17.2,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@40.2,weatherlink
000CK,2015-11-09 22:30:00,11.9,1025.7,-0.7,78,8.2,,24.1,,,359,10.4,17.2,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@40.2,weatherlink
000CK,2015-11-09 23:00:00,11.4,1026.1,,80,8.1,,16.1,,,324,11.4,11.4,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@17.7,weatherlink
000CK,2015-11-09 23:40:00,11.5,1025.7,-0.4,79,8,,16.1,,,359,11.4,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@30.6,weatherlink
000CK,2015-11-09 23:50:00,11.5,1025.7,-0.4,79,8,,19.3,,,344,11.4,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@30.6,weatherlink
000CK,2015-11-10 00:00:00,11.5,1025.7,,79,8,,17.7,,,332,11.4,11.7,0,0,0,0,,0,0,,,,,,,@@@18.5@456.2@@4.1@30.6,weatherlink
000CK,2015-11-10 00:10:00,11.6,1025.7,,79,8.1,,17.7,,,16,11.4,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@30.6,weatherlink
000CK,2015-11-10 00:20:00,11.5,1025.7,,79,8,,17.7,,,335,11.4,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-10 00:30:00,11.3,1025.4,,79,7.8,,14.5,,,336,11.3,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
000CK,2015-11-10 00:40:00,11.2,1025.7,,79,7.7,,14.5,,,315,11.2,11.7,,,,,,0,0,,,,,,,@@@18.5@456.2@@4.1@32.2,weatherlink
