station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CM,2015-11-11 22:30:00,7.8,1027.8,,88,6,,0,,3.2,178,5.4,14.1,,,,,,0.2,0,,0,0.0,,,,0.0@2.0@455@@@@@,weatherlink
000CM,2015-11-11 23:00:00,7.6,1027.74,,91,6.2,,0,,1.6,178,7.6,7.6,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-11 23:30:00,8.1,1027.43,,84,5.6,,1.6,,4.8,178,7.6,8.1,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 00:00:00,8.2,1027.46,,83,5.5,,0,,0,0,7.6,8.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 00:30:00,8,1027.43,,70,2.9,,0,,1.6,178,7.6,8.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 01:00:00,8.3,1027.5,,54,-0.4,,1.6,,3.2,178,7.6,8.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 01:30:00,8.4,1027.63,,49,-1.7,,0,,0,0,7.6,8.5,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 02:00:00,8.4,1027.77,,53,-0.6,,0,,0,0,7.6,8.6,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 02:30:00,7.8,1027.6,,49,-2.2,,0,,1.6,178,7.6,8.6,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 03:00:00,8.8,1027.46,,42,-3.4,,0,,4.8,178,7.6,8.8,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 03:30:00,8.3,1027.53,0.1,54,-0.5,,0,,1.6,177,7.6,9.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 04:00:00,8.1,1027.63,0.1,58,0.3,,4.8,,8,351,7.6,9.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 04:30:00,8,1027.9,0.4,67,2.2,,4.8,,8,8,7.6,9.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 05:00:00,7.3,1027.97,0.2,74,3,,3.2,,8,18,7.3,9.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 05:30:00,7.6,1027.7,-0.1,76,3.6,,6.4,,11.3,28,7.3,9.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 06:00:00,7.6,1027.43,,78,4,,8,,14.5,22,7.3,9.3,0,0,0,0,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 06:30:00,7.3,1027.5,,79,3.9,,6.4,,11.3,25,7.1,9.3,,,,,,0,0,,0,0.0,,,,0.0@0.0@0@@@@@,weatherlink
000CM,2015-11-12 07:00:00,7.3,1027.7,0.1,83,4.6,,4.8,,11.3,37,7.1,9.3,0,0,0,0,,0,0,,14,0.0,,,,0.0@0.0@14@@@@@,weatherlink
000CM,2015-11-12 07:30:00,8.9,1027.8,0.2,82,6,,8,,14.5,25,7.1,9.3,,,,,,0,0,,60,0.0,,,,0.0@0.0@60@@@@@,weatherlink
000CM,2015-11-12 08:00:00,10.4,1028.01,,80,7.1,,9.7,,17.7,34,7.1,10.4,0,0,0,0,,0,0,,142,0.5,,,,0.5@0.5@142@@@@@,weatherlink
000CM,2015-11-12 08:30:00,11.1,1027.84,-0.1,78,7.4,,6.4,,12.9,38,7.1,11.1,,,,,,0,0,,223,0.8,,,,0.8@0.8@227@@@@@,weatherlink
000CM,2015-11-12 09:00:00,11.9,1027.84,0.4,77,8,,4.8,,11.3,42,7.1,11.9,0,0,0,0,,0,0,,301,1.2,,,,1.2@1.2@316@@@@@,weatherlink
000CM,2015-11-12 09:30:00,11.7,1027.74,0.3,75,7.4,,4.8,,8,76,7.1,12.1,,,,,,0,0,,167,1.1,,,,1.1@1.3@341@@@@@,weatherlink
000CM,2015-11-12 10:00:00,12.9,1027.4,-0.3,73,8.2,,1.6,,9.7,105,7.1,12.9,0,0,0,0,,0,0,,448,2.0,,,,2.0@2.0@450@@@@@,weatherlink
000CM,2015-11-12 10:30:00,13.7,1027.02,-0.7,71,8.6,,3.2,,6.4,102,7.1,13.7,,,,,,0,0,,452,2.2,,,,2.2@2.2@452@@@@@,weatherlink
000CM,2015-11-12 11:00:00,14,1026.72,-1.3,69,8.4,,4.8,,8,33,7.1,14,0,0,0,0,,0,0,,471,2.3,,,,2.3@2.3@471@@@@@,weatherlink
000CM,2015-11-12 11:30:00,14.8,1026.52,-1.5,66,8.5,,4.8,,8,31,7.1,14.8,,,,,,0,0,,450,2.2,,,,2.2@2.3@494@@@@@,weatherlink
