station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CN,2015-11-21 13:40:00,8.3,1002.9,,65,2.2,,11.3,,22.5,360,4.9,13.2,,,,,,8.6,0,0,318,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 13:50:00,8.3,1003,,60,1.1,,17.7,,38.6,341,4.9,13.2,,,,,,8.6,0,0,322,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:00:00,8.3,1003.1,,59,0.6,,16.1,,40.2,360,4.9,13.2,0,,,,,8.6,0,0,294,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:10:00,8.5,1003.5,,60,1.1,,16.1,,40.2,19,4.9,13.2,,,,,,8.6,0,0,264,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:20:00,7.8,1003.6,,61,0.6,,9.7,,27.4,194,4.9,13.2,,,,,,8.6,0,0,53,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:30:00,7.4,1003.5,,65,1.1,,11.3,,29,5,4.9,13.2,,,,,,8.6,0,0,62,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:40:00,7.4,1003.6,,65,1.1,,14.5,,30.6,339,4.9,13.2,,,,,,8.6,0,0,216,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 14:50:00,7.4,1003.7,,64,1.1,,14.5,,30.6,266,4.9,13.2,,,,,,8.6,0,0,104,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:00:00,7.4,1004.1,,65,1.1,,11.3,,22.5,196,4.9,13.2,0,,,,,8.6,0,0,40,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:10:00,6.9,1004.1,,66,1.1,,11.3,,37,214,4.9,13.2,,,,,,8.6,0,0,63,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:20:00,6.6,1004.1,,67,0.6,,12.9,,27.4,360,4.9,13.2,,,,,,8.6,0,0,25,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:30:00,6.3,1003.9,,69,1.1,,9.7,,25.7,258,4.9,13.2,,,,,,8.6,0,0,16,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:40:00,6.2,1004,,70,1.1,,9.7,,22.5,175,4.9,13.2,,,,,,8.6,0,0,12,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 15:50:00,6.1,1004.1,,70,1.1,,11.3,,24.1,346,4.9,13.2,,,,,,8.6,0,0,12,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 16:00:00,6.1,1004.3,1.4,68,0.6,,19.3,,29,272,4.9,13.2,0,,,,,8.6,0,0,7,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 16:10:00,6.2,1004.5,1.6,62,-0.6,,14.5,,32.2,12,4.9,13.2,,,,,,8.6,0,0,0,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 16:20:00,6.2,1004.6,1.7,64,0,,12.9,,25.7,315,4.9,13.2,,,,,,8.6,0,0,0,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 16:30:00,6.1,1004.6,1.7,65,0,,12.9,,24.1,317,4.9,13.2,,,,,,8.6,0,0,0,,,,,@@@@709.2@@@,wlkIP
000CN,2015-11-21 16:40:00,5.9,1004.6,1.7,67,0,,11.3,,20.9,344,4.9,13.2,,,,,,8.6,0,0,0,,,,,@@@@709.2@@@,wlkIP
