station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CO,2015-11-21 14:30:00,9.5,1015.4,,58,1.6,,10,,19,10,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 15:00:00,7.8,1016,,74,3.4,,10,,21,10,4,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 15:30:00,7.3,1016.3,,74,3,,8,,14,10,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 16:00:00,5.8,1016.4,,82,3,,6,,13,10,4,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 16:30:00,5.4,1016.6,,85,3.1,,5,,8,10,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 17:30:00,5.5,1016.4,1,81,2.5,,5,,11,9,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 18:00:00,5.2,1016.3,0.3,83,2.6,,3,,6,9,4,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 18:30:00,5.2,1016.5,0.5,84,2.7,,2,,6,9,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 19:00:00,4.3,1016.8,0.4,88,2.5,,5,,6,9,4,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 19:30:00,4.3,1016.6,0.2,90,2.8,,0,,3,9,4,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 20:00:00,4.2,1016.7,0.3,91,2.8,,5,,13,9,3.9,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 20:30:00,4.3,1016.8,0.4,91,3,,3,,8,9,3.9,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 21:00:00,4.5,1016.7,0.4,90,3,,2,,8,9,3.9,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 21:30:00,4,1016.7,0.4,90,2.5,,0,,2,9,3.9,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 22:00:00,3.1,1016.5,-0.3,92,1.9,,0,,2,9,3.1,10.3,0,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 22:30:00,2.7,1016.7,-0.1,94,1.8,,2,,6,9,2.7,10.3,,,,,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 23:00:00,3.4,1016.2,-0.5,94,2.6,,0,,3,9,2.7,10.3,1,0,0,0,,1,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-21 23:30:00,3.4,1015.9,-0.8,95,2.7,,2,,3,2,3.3,3.5,,,,,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 00:00:00,3.6,1015.4,,94,2.7,,2,,3,2,3.3,3.7,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 00:30:00,3.5,1015.1,,93,2.5,,2,,3,2,3.3,3.8,,,,,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 01:00:00,2.9,1014.8,,94,2.1,,2,,3,1,2.9,3.8,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 01:30:00,2.9,1014.6,,95,2.2,,0,,2,1,2.8,3.8,,,,,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 02:00:00,2.9,1014.2,,94,2.1,,2,,3,1,2.8,3.8,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 02:30:00,2.8,1014.1,,94,1.9,,0,,2,1,2.8,3.8,,,,,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 03:00:00,2.7,1013.9,-1.5,96,2.1,,0,,2,1,2.5,3.8,0,0,0,0,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 03:30:00,2.4,1013.6,-1.8,95,1.7,,0,,2,1,2.4,3.8,,,,,,0,0,,0,,,,,N/A@N/A@@@28.8@@@,weatherlink
000CO,2015-11-22 04:00:00,2.3,1013.3,-1.5,96,1.7,,0,,0,1,2.3,3.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 04:30:00,1.9,1013,-1.8,96,1.3,,0,,2,1,1.9,3.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 05:00:00,1.8,1012.8,-1.4,97,1.4,,0,,2,1,1.7,3.8,0,0.2,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 05:30:00,1.8,1012.9,-1.3,97,1.4,,0,,0,1,1.7,3.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 06:00:00,2,1012.9,-1,97,1.6,,0,,2,1,1.7,3.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 06:30:00,1.9,1013.1,-0.8,97,1.5,,2,,2,1,1.7,3.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 07:00:00,1.7,1013.3,,97,1.2,,0,,2,1,1.7,3.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 07:30:00,1.4,1013.4,0.1,97,1,,0,,2,1,1.4,3.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 08:00:00,0.9,1013.9,1.1,97,0.5,,0,,2,1,0.9,3.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 08:30:00,1.6,1014.3,1.5,97,1.1,,0,,3,1,0.9,3.8,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 09:00:00,2.3,1014.6,1.7,97,1.9,,2,,3,1,0.9,3.8,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 09:30:00,4,1014.8,1.9,97,3.6,,2,,5,1,0.9,4,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 10:00:00,4.5,1015.1,1.8,96,3.9,,2,,3,1,0.9,4.5,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 11:00:00,7,1015.9,2,87,5,,2,,6,1,0.9,7,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 11:30:00,5.7,1015.8,1.9,93,4.6,,2,,5,1,0.9,5.7,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 12:00:00,9.2,1015.6,1,70,4,,3,,6,1,0.9,9.2,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 12:30:00,9.6,1015.5,0.9,69,4.2,,2,,5,1,0.9,9.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 13:00:00,9.8,1015.8,0.7,69,4.4,,2,,3,1,0.9,10.2,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 13:30:00,10.3,1016.2,1.1,62,3.3,,2,,3,1,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 14:00:00,10.6,1016.1,0.2,60,3.1,,2,,3,1,0.9,10.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 14:30:00,10.5,1016.2,0.3,65,4.2,,0,,3,1,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 15:00:00,9.5,1016.5,0.9,66,3.5,,0,,3,1,0.9,10.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 15:30:00,9.6,1017.1,1.5,68,3.9,,0,,3,1,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 16:00:00,9.8,1017.3,1.5,67,3.9,,2,,3,1,0.9,10.6,0,0,0,0,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 16:30:00,9.1,1017.4,1.6,68,3.5,,0,,2,1,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 17:00:00,7.3,1018,1.9,76,3.3,,0,,2,0,0.9,10.6,0,0,0,0,1,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 18:00:00,4.7,1018.8,2.3,86,2.5,,2,,5,292,0.9,10.6,0,0,0,0,1,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 18:20:00,6.2,1018.3,1.8,80,3,,0,,2,0,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 18:30:00,4.2,1018.9,2.4,89,2.6,,0,,3,0,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
000CO,2015-11-22 19:30:00,3.2,1019.5,2.2,92,2,,0,,2,0,0.9,10.6,,,,,,0.2,0,,0,,,,,N/A@N/A@@@29.0@@@,weatherlink
