station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CP,2015-11-22 15:20:00,6.5,1015.4,,64,0,,4.8,,9.7,325,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 15:30:00,6.4,1015.6,,64,0,,3.2,,8,294,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 15:40:00,6.3,1015.7,,63,-0.6,,3.2,,6.4,299,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 15:50:00,6.1,1015.8,,65,0,,1.6,,4.8,303,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:00:00,5.7,1015.9,,71,1.1,,,,3.2,303,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:10:00,5.3,1016,,74,1.1,,1.6,,3.2,304,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:20:00,4.8,1016,,74,0.6,,3.2,,4.8,349,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:30:00,4.4,1016.1,,76,0.6,,3.2,,4.8,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:40:00,4.3,1016.1,,78,0.6,,3.2,,4.8,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 16:50:00,3.9,1016.1,,80,0.6,,,,1.6,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:00:00,3.6,1016.2,,83,1.1,,,,3.2,355,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:10:00,3.4,1016.4,,85,1.1,,1.6,,3.2,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:20:00,3.1,1016.5,,87,1.1,,1.6,,1.6,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:30:00,2.9,1016.5,,87,1.1,,1.6,,3.2,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:40:00,2.8,1016.6,,87,1.1,,1.6,,1.6,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 17:50:00,2.8,1016.7,,88,1.1,,1.6,,1.6,355,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:00:00,2.7,1016.8,1.4,89,1.1,,1.6,,3.2,355,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:10:00,2.6,1017,1.6,89,1.1,,1.6,,3.2,31,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:20:00,2.4,1017,1.6,90,1.1,,1.6,,3.2,31,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:30:00,2.4,1017.1,1.7,90,1.1,,,,1.6,31,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:40:00,2.3,1017.2,1.8,90,1.1,,,,1.6,31,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 18:50:00,2.3,1017.1,1.7,90,1.1,,,,1.6,31,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:00:00,2.2,1017.2,1.3,90,0.6,,1.6,,1.6,31,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:10:00,2.1,1017.3,1.4,91,0.6,,1.6,,3.2,32,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:20:00,1.9,1017.3,1.4,91,0.6,,1.6,,3.2,53,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:30:00,1.8,1017.4,1.5,91,0.6,,,,3.2,53,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:40:00,1.7,1017.7,1.8,91,0.6,,1.6,,3.2,53,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 19:50:00,1.7,1017.7,1.8,91,0.6,,1.6,,3.2,53,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:00:00,1.6,1017.7,1.5,92,0.6,,1.6,,3.2,63,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:10:00,1.4,1017.8,1.6,92,0.6,,3.2,,4.8,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:20:00,1.3,1017.9,1.7,91,0,,,,1.6,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:30:00,1.1,1018,1.8,92,0,,1.6,,3.2,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:40:00,0.8,1018,1.8,91,-0.6,,1.6,,3.2,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 20:50:00,0.6,1018.2,2,91,-0.6,,3.2,,4.8,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:00:00,0.2,1018.3,1.5,92,-1.1,,1.6,,3.2,73,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:10:00,0.1,1018.4,1.6,92,-1.1,,1.6,,3.2,73,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:20:00,-0.2,1018.6,1.8,92,-1.1,,3.2,,4.8,74,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:30:00,-0.3,1018.6,1.8,93,-1.1,,1.6,,3.2,74,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:40:00,-0.3,1018.6,1.8,93,-1.1,,,,3.2,74,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 21:50:00,-0.6,1018.7,1.9,93,-1.7,,1.6,,3.2,74,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:00:00,-0.8,1018.8,1.6,93,-1.7,,3.2,,4.8,69,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:10:00,-0.8,1018.9,1.7,94,-1.7,,1.6,,4.8,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:20:00,-0.8,1018.9,1.7,94,-1.7,,1.6,,3.2,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:30:00,-0.7,1019.3,2.1,95,-1.1,,3.2,,3.2,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:40:00,-0.6,1019.4,2.2,95,-1.1,,1.6,,3.2,69,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 22:50:00,-0.4,1019.6,2.4,95,-1.1,,1.6,,4.8,163,-2.3,7.9,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:00:00,-0.2,1019.8,2.1,95,-1.1,,1.6,,4.8,79,-2.3,7.9,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:10:00,-0.1,1020,2.3,96,-0.6,,1.6,,4.8,79,-0.2,-0.1,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:20:00,0,1020,2.3,96,-0.6,,1.6,,3.2,78,-0.2,0,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:30:00,0,1020.3,2.6,96,-0.6,,,,1.6,78,-0.2,0,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:40:00,-0.1,1020.6,2.9,95,-0.6,,1.6,,3.2,111,-0.2,0,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-22 23:50:00,-0.2,1020.6,2.9,95,-0.6,,1.6,,3.2,111,-0.2,0,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:00:00,-0.1,1020.5,,95,-0.6,,1.6,,4.8,168,-0.2,0,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:10:00,-0.1,1020.6,,96,-0.6,,1.6,,3.2,229,-0.2,0,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:20:00,0.2,1020.7,,96,-0.6,,3.2,,6.4,65,-0.2,0.2,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:30:00,0.3,1020.7,,95,-0.6,,3.2,,4.8,61,-0.2,0.3,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:40:00,0.4,1020.8,,95,0,,,,1.6,61,-0.2,0.4,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 00:50:00,0.5,1020.8,,95,0,,1.6,,4.8,40,-0.2,0.5,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:00:00,0.5,1021,,95,0,,1.6,,3.2,40,-0.2,0.6,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:10:00,0.4,1021,,95,0,,1.6,,3.2,42,-0.2,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:20:00,0.3,1021.1,,95,-0.6,,1.6,,4.8,5,-0.2,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:30:00,0.1,1021.2,,94,-0.6,,3.2,,4.8,17,-0.2,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:40:00,-0.2,1021.3,,94,-1.1,,3.2,,4.8,16,-0.2,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 01:50:00,-0.4,1021.4,,94,-1.1,,3.2,,6.4,36,-0.4,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:00:00,-0.7,1021.3,,94,-1.7,,1.6,,3.2,29,-0.7,0.6,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:10:00,-0.9,1021.4,,94,-1.7,,1.6,,4.8,47,-0.9,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:20:00,-1.2,1021.5,,95,-1.7,,3.2,,3.2,47,-1.2,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:30:00,-1.4,1021.6,,94,-2.2,,1.6,,3.2,47,-1.4,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:40:00,-1.6,1021.6,,95,-2.2,,1.6,,3.2,71,-1.6,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 02:50:00,-1.7,1021.7,,95,-2.2,,1.6,,3.2,80,-1.7,0.6,,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
000CP,2015-11-23 03:00:00,-1.8,1021.9,1.4,95,-2.2,,3.2,,4.8,111,-1.8,0.6,0,,,,,0,0,0,,,,,,@@@@43.4@@@,wlkIP
