station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CR,2015-11-28 17:40:00,7.6,1018.3,,77,3.9,,12.9,,25.7,269,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 17:50:00,7.6,1018.2,,77,3.9,,12.9,,29,196,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:00:00,7.8,1018.2,,77,3.9,,12.9,,33.8,185,7.6,8.1,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:10:00,7.8,1018.2,,77,3.9,,14.5,,32.2,238,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:20:00,7.9,1018.2,,77,3.9,,14.5,,30.6,164,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:30:00,8,1018.1,,78,4.4,,14.5,,30.6,208,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:40:00,8,1018.4,,78,4.4,,14.5,,24.1,188,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 18:50:00,7.9,1018.3,,79,4.4,,12.9,,27.4,240,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:00:00,7.9,1018.2,,80,4.4,,12.9,,22.5,223,7.6,8.1,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:10:00,8,1018.1,,80,5,,14.5,,32.2,236,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:20:00,8.1,1017.8,,79,4.4,,14.5,,25.7,224,7.6,8.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:30:00,8.3,1017.8,,79,5,,17.7,,35.4,170,7.6,8.3,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:40:00,8.4,1017.7,,79,5,,19.3,,37,224,7.6,8.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 19:50:00,8.2,1017.7,,79,5,,16.1,,32.2,234,7.6,8.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 20:00:00,8.2,1017.7,-0.6,79,5,,16.1,,33.8,196,7.6,8.4,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 20:10:00,8.2,1017.6,-0.7,80,5,,12.9,,30.6,210,7.6,8.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000CR,2015-11-28 20:20:00,8.3,1017.6,-0.7,80,5,,14.5,,27.4,211,7.6,8.4,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
