station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CV,2018-01-01 00:00:00,8.5,999.2,,78,4.9,,24.1,,,214,8.5,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.05@8.5@45.1,weatherlink
000CV,2018-01-01 00:30:00,8.6,999.3,,77,4.8,,24.1,,,199,8.4,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.05@8.4@51.5,weatherlink
000CV,2018-01-01 01:00:00,8.7,999.6,,76,4.7,,24.1,,,201,8.4,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.10@8.4@53.1,weatherlink
000CV,2018-01-01 01:30:00,8.4,999.8,,77,4.6,,22.5,,,244,8.4,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.10@8.4@53.1,weatherlink
000CV,2018-01-01 02:00:00,8,1000.7,,81,4.9,,24.1,,,228,7.9,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.15@7.9@54.7,weatherlink
000CV,2018-01-01 02:30:00,7.7,1001,,82,4.8,,25.7,,,217,7.7,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.15@7.7@54.7,weatherlink
000CV,2018-01-01 03:00:00,7.1,1001.5,2.3,82,4.2,,25.7,,,211,7.1,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.20@7.1@54.7,weatherlink
000CV,2018-01-01 03:30:00,6.9,1001.6,2.4,83,4.2,,25.7,,,213,6.8,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.20@6.8@54.7,weatherlink
000CV,2018-01-01 04:00:00,6.7,1001.9,2.3,83,4,,25.7,,,228,6.7,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.25@6.7@54.7,weatherlink
000CV,2018-01-01 04:30:00,6.6,1002,2.4,85,4.2,,19.3,,,209,6.4,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.25@6.4@54.7,weatherlink
000CV,2018-01-01 05:00:00,6.7,1002.4,1.7,85,4.3,,20.9,,,223,6.4,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.28@6.4@54.7,weatherlink
000CV,2018-01-01 05:30:00,6.7,1002.7,2,85,4.3,,22.5,,,210,6.4,8.9,,,,,,0,0,0,0,,,,,@@0@8.9@0.0@0.28@6.4@54.7,weatherlink
000CV,2018-01-01 06:00:00,6.9,1003,1.5,85,4.5,,19.3,,,206,6.4,8.9,0,0,0,0,,0,0,0,0,,,,,@@0@8.9@0.0@0.30@6.4@54.7,weatherlink
000CV,2018-01-01 06:30:00,5.5,1003.4,1.9,88,3.7,,25.7,,,243,5.5,8.9,,,,,,0.6,2.8,2.8,0,,,,63,@@0@8.9@0.6@0.30@5.5@54.7,weatherlink
000CV,2018-01-01 07:00:00,5.7,1003.1,1.2,92,4.5,,12.9,,,186,5.4,8.9,1,0,0,0,,1,0.8,0.8,0,,,,,@@0@8.9@1.0@0.33@5.4@54.7,weatherlink
000CV,2018-01-01 07:30:00,5.8,1003.3,1.4,91,4.5,,14.5,,,207,5.4,8.9,,,,,,1,0,0.8,0,,,,,@@0@8.9@1.0@0.33@5.4@54.7,weatherlink
000CV,2018-01-01 08:00:00,6.2,1003.3,0.9,89,4.5,,19.3,,,236,5.4,8.9,0,0,0,0,,1,0,0,7,,,,,@@7@8.9@1.0@0.36@5.4@54.7,weatherlink
000CV,2018-01-01 08:30:00,6.2,1003.1,0.7,88,4.3,,16.1,,,165,5.4,8.9,,,,,,1,0,0,21,,,,,@@39@8.9@1.0@0.36@5.4@54.7,weatherlink
000CV,2018-01-01 09:00:00,6.2,1002.9,-0.1,87,4.2,,14.5,,,158,5.4,8.9,0,1,0,0,,1,0,0,37,,,,,@@39@8.9@1.0@0.38@5.4@54.7,weatherlink
000CV,2018-01-01 09:30:00,6.6,1002.4,-0.6,85,4.3,,16.1,,,186,5.4,8.9,,,,,,1,0,0,60,,,,,@@62@8.9@1.0@0.38@5.4@54.7,weatherlink
000CV,2018-01-01 10:00:00,7.1,1001.9,-1.2,83,4.4,,14.5,,,240,5.4,8.9,0.2,0,0,0,,1.2,0,0,146,,,,,@@148@8.9@1.2@0.43@5.4@54.7,weatherlink
000CV,2018-01-01 10:30:00,7.4,1001.3,-1.8,82,4.6,,14.5,,,172,5.4,8.9,,,,,,1.2,0,0,86,,,,,@@179@8.9@1.2@0.43@5.4@54.7,weatherlink
000CV,2018-01-01 11:00:00,7.4,1000.5,-2.8,82,4.6,,11.3,,,173,5.4,8.9,0,0,0,0,,1.2,0,0,97,,,,,@@179@8.9@1.2@0.51@5.4@54.7,weatherlink
000CV,2018-01-01 11:30:00,7.6,999.6,-3.7,82,4.7,,16.1,,,173,5.4,8.9,,,,,,1.2,0,0,63,,,,,@@179@8.9@1.2@0.51@5.4@54.7,weatherlink
000CV,2018-01-01 12:00:00,7.7,998.6,-4.3,83,5,,9.7,,,150,5.4,8.9,0,0.2,1.2,0,,1.2,0,0,58,,,,,@@179@8.9@1.2@0.56@5.4@54.7,weatherlink
000CV,2018-01-01 12:30:00,7.7,998,-4.9,85,5.3,,11.3,,,169,5.4,8.9,,,,,,1.2,0,0,21,,,,,@@179@8.9@1.2@0.56@5.4@54.7,weatherlink
000CV,2018-01-01 13:00:00,7.3,997,-4.9,88,5.4,,9.7,,,184,5.4,8.9,0,0,0,0,,1.2,0,0,37,,,,,@@179@8.9@1.2@0.58@5.4@54.7,weatherlink
000CV,2018-01-01 13:30:00,7.1,996.1,-5.8,90,5.6,,4.8,,,123,5.4,8.9,,,,,,1.4,0,0,28,,,,,@@179@8.9@1.4@0.58@5.4@54.7,weatherlink
000CV,2018-01-01 14:00:00,6.8,995.2,-5.3,91,5.4,,4.8,,,59,5.4,8.9,1,0,0,0,,2.2,1.8,1.8,35,,,,61,@@179@8.9@2.2@0.61@5.4@54.7,weatherlink
000CV,2018-01-01 14:30:00,6.3,994.7,-5.8,91,4.9,,6.4,,,184,5.4,8.9,,,,,,2.8,1.4,1.8,19,,,,61,@@179@8.9@2.8@0.61@5.4@54.7,weatherlink
000CV,2018-01-01 15:00:00,5.7,994.1,-4.5,92,4.5,,6.4,,,160,5.4,8.9,1,2,0,0,,3.2,1,1,7,,,,61,@@179@8.9@3.2@0.63@5.4@54.7,weatherlink
000CV,2018-01-01 15:30:00,5.4,993.9,-4.7,93,4.3,,3.2,,,134,5.4,8.9,,,,,,3.4,0,1,0,,,,,@@179@8.9@3.4@0.63@5.4@54.7,weatherlink
000CV,2018-01-01 16:00:00,5.2,993.5,-3.5,94,4.3,,6.4,,,146,5.2,8.9,0.6,0,0,0,,3.8,0.8,0.8,0,,,,,@@179@8.9@3.8@0.63@5.2@54.7,weatherlink
000CV,2018-01-01 16:30:00,5.2,993.6,-3.4,94,4.3,,4.8,,,157,5.2,8.9,,,,,,4,0,0.8,0,,,,,@@179@8.9@4.0@0.63@5.2@54.7,weatherlink
000CV,2018-01-01 17:00:00,5.3,994,-1.2,94,4.4,,4.8,,,215,5.2,8.9,0.2,0,0,0,,4,0,0,0,,,,,@@179@8.9@4.0@0.63@5.2@54.7,weatherlink
000CV,2018-01-01 17:30:00,5.6,994.6,-0.6,95,4.8,,4.8,,,244,5.2,8.9,,,,,,4.2,0,0,0,,,,,@@179@8.9@4.2@0.63@5.2@54.7,weatherlink
000CV,2018-01-01 18:00:00,5.7,995.4,1.3,95,5,,9.7,,,261,5.2,8.9,0.2,1,0,3,,4.2,0,0,0,,,,,@@179@8.9@4.2@0.63@5.2@54.7,weatherlink
000CV,2018-01-01 18:30:00,5.6,996.6,2.5,95,4.8,,14.5,,,261,5.2,8.9,,,,,,4.2,0,0,0,,,,,@@179@8.9@4.2@0.63@5.2@54.7,weatherlink
