station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CW,2021-01-01 00:00:00,0.2,1008.7,,96,-0.4,,0,0,,303,0.1,1.3,0,0,0,0,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 00:30:00,0.2,1008.5,,96,-0.4,,0,0,,303,0.1,1.3,,,,,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 01:00:00,0.1,1008.5,,96,-0.5,,0,0,,303,0.1,1.3,0,0,0,0,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 01:30:00,-0.3,1008.5,,96,-0.9,,0,0,,306,-0.3,1.3,,,,,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 02:00:00,-0.3,1008.6,,96,-0.9,,0,0,,304,-0.4,1.3,0,0,0,0,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 02:30:00,-0.6,1008.7,,96,-1.2,,0,0,,303,-0.6,1.3,,,,,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 03:00:00,-0.6,1008.8,0.1,96,-1.2,,0,0,,23,-0.7,1.3,0,0,0,0,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 03:30:00,-0.7,1008.7,,97,-1.1,,0,0,,22,-0.7,1.3,,,,,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 04:00:00,-0.9,1008.6,0.1,96,-1.5,,0,0,,23,-0.9,1.3,0,0,0,0,,0,0,,0,,,,,@@@@@@@,weatherlink
000CW,2021-01-01 04:30:00,-0.9,1008.4,-0.1,97,-1.3,,0,0,,108,-0.9,1.3,,,,,,0,0,,0,,,,,@@@@@@@,weatherlink
