station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CX,2015-12-15 14:00:00,11.5,1018.7,,89,9.7,,2,11,8,158,6.4,11.7,0,0,0.3,2.8,2.8,2.8,0,,0,,,,,N/A@N/A@@@2341.6@@@,weatherlink
000CX,2015-12-15 14:30:00,10.9,1018.6,,92,9.7,,2,,8,135,6.4,11.7,,,,,,3.3,1,,0,,,,61,N/A@N/A@@@2342.1@@@,weatherlink
000CX,2015-12-15 15:00:00,10.6,1018.6,,94,9.6,,2,8,3,158,6.4,11.7,1.3,1.3,1.6,4.1,4.1,4.1,1.5,4.3,0,,,,63,N/A@N/A@@@2342.9@@@,weatherlink
000CX,2015-12-15 15:30:00,10.3,1018.7,,96,9.7,,3,,6,135,6.4,11.7,,,,,,5.3,2.3,,0,,,,62,N/A@N/A@@@2344.2@@@,weatherlink
000CX,2015-12-15 16:00:00,10.2,1018.9,,96,9.6,,2,,8,135,6.4,11.7,2.3,3.6,3.6,6.4,6.4,6.4,1.8,2.3,0,,,,61,N/A@N/A@@@2345.2@@@,weatherlink
000CX,2015-12-15 16:30:00,10.3,1019,,96,9.7,,3,,8,158,6.4,11.7,,,,,,6.6,0,,0,,,,61,N/A@N/A@@@2345.4@@@,weatherlink
000CX,2015-12-15 17:00:00,10.2,1018.9,0.2,96,9.6,,5,,16,135,6.4,11.7,0.7,4.3,4.3,6.1,7.1,7.1,0,,0,,,,61,N/A@N/A@@@2345.9@@@,weatherlink
000CX,2015-12-15 17:30:00,10.4,1018.8,0.1,95,9.7,,5,,16,158,6.4,11.7,,,,,,7.9,1.8,,0,,,,63,N/A@N/A@@@2346.7@@@,weatherlink
000CX,2015-12-15 18:00:00,10.3,1019.1,0.5,96,9.7,,2,,9,135,6.4,11.7,1.3,4.3,5.6,7.1,8.4,8.4,1,,0,,,,61,N/A@N/A@@@2347.2@@@,weatherlink
000CX,2015-12-15 18:30:00,10.5,1019.3,0.7,96,9.9,,2,,5,135,6.4,11.7,,,,,,8.4,0,,0,,,,,N/A@N/A@@@2347.2@@@,weatherlink
