station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CY,2015-12-19 12:50:00,15.5,1022.2,,60,7.8,,9.7,,12.9,156,1.5,15.6,,,,,,0,0,0,364,,,,,1.4 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:00:00,15.2,1022.1,,60,7.2,,11.3,,16.1,167,1.5,15.6,0,,,,,0,0,0,332,,,,,1.3 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:10:00,15.3,1022,,61,7.8,,11.3,,14.5,167,1.5,15.6,,,,,,0,0,0,341,,,,,1.3 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:20:00,14.8,1021.9,,60,7.2,,14.5,,19.3,136,1.5,15.6,,,,,,0,0,0,323,,,,,1.2 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:30:00,14.7,1021.9,,59,6.7,,11.3,,17.7,165,1.5,15.6,,,,,,0,0,0,301,,,,,1.1 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:40:00,14.5,1021.8,,61,7.2,,11.3,,16.1,159,1.5,15.6,,,,,,0,0,0,285,,,,,1.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 13:50:00,14.3,1021.8,,63,7.2,,11.3,,14.5,180,1.5,15.6,,,,,,0,0,0,258,,,,,0.9 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:00:00,14.1,1021.6,,61,6.7,,11.3,,17.7,165,1.5,15.6,0,,,,,0,0,0,229,,,,,0.8 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:10:00,13.8,1021.6,,64,7.2,,12.9,,17.7,142,1.5,15.6,,,,,,0,0,0,209,,,,,0.7 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:20:00,13.4,1021.6,,65,6.7,,14.5,,20.9,133,1.5,15.6,,,,,,0,0,0,186,,,,,0.7 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:30:00,13.1,1021.7,,66,6.7,,14.5,,20.9,187,1.5,15.6,,,,,,0,0,0,156,,,,,0.6 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:40:00,12.8,1021.6,,68,7.2,,12.9,,19.3,166,1.5,15.6,,,,,,0,0,0,125,,,,,0.5 @@@@0.6@@@,wlkIP
000CY,2015-12-19 14:50:00,12.4,1021.7,,69,6.7,,12.9,,19.3,175,1.5,15.6,,,,,,0,0,0,104,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:00:00,11.8,1021.7,-0.5,71,6.7,,11.3,,16.1,151,1.5,15.6,0,,,,,0,0,0,42,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:10:00,11.1,1021.8,-0.4,73,6.7,,12.9,,19.3,155,1.5,15.6,,,,,,0,0,0,37,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:20:00,10.5,1021.8,-0.4,74,6.1,,14.5,,20.9,167,1.5,15.6,,,,,,0,0,0,35,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:30:00,9.9,1021.9,-0.3,76,6.1,,12.9,,20.9,160,1.5,15.6,,,,,,0,0,0,21,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:40:00,9.7,1021.8,-0.4,77,6.1,,14.5,,24.1,187,1.5,15.6,,,,,,0,0,0,16,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 15:50:00,9.4,1021.9,-0.3,78,5.6,,16.1,,24.1,159,1.5,15.6,,,,,,0,0,0,12,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 16:00:00,8.8,1021.8,-0.3,80,5.6,,14.5,,22.5,159,1.5,15.6,0,,,,,0,0,0,5,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 16:10:00,8.4,1021.8,-0.3,81,5.6,,17.7,,29,155,1.5,15.6,,,,,,0,0,0,0,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 16:20:00,8.1,1022,-0.1,83,5.6,,17.7,,29,168,1.5,15.6,,,,,,0,0,0,0,,,,,0.0 @@@@0.6@@@,wlkIP
000CY,2015-12-19 16:30:00,7.8,1022,-0.1,84,5,,17.7,,25.7,153,1.5,15.6,,,,,,0,0,0,0,,,,,0.0 @@@@0.6@@@,wlkIP
