station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CZ,2024-03-25 11:10:00,10.4,1003.6,,63,3.3,,0,,1.6,142,2.3,10.4,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@10.6@10@0@42@40@52@11:41am@7:45am@2416@1837@+0100,wlkIPxml
000CZ,2024-03-25 11:30:00,10.7,1003.2,,61,3.3,,0,,6.4,115,2.3,10.7,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@10.6@10@0@42@40@52@11:41am@7:45am@2433@1837@+0100,wlkIPxml
000CZ,2024-03-25 11:40:00,11.3,1003,,62,3.9,,0,,1.6,94,2.3,11.3,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@11.1@10.6@0@42@40@52@11:41am@7:45am@2443@1837@+0100,wlkIPxml
000CZ,2024-03-25 11:50:00,11.5,1002.7,,61,3.9,,0,,1.6,74,2.3,11.5,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@11.7@11.1@0@43@40@52@11:41am@7:45am@2451@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:00:00,11.7,1002.5,,61,4.4,,1.6,,11.3,131,2.3,11.7,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@11.7@11.1@0@43@40@52@11:41am@7:45am@1301@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:10:00,12.2,1002.3,,61,5,,0,,3.2,200,2.3,12.2,,,,,,0,0,0,,,,,,@@@@171.2@@@12.9@21.8@19@22@6:01am@11:38am@12.2@11.7@0@43@40@52@11:41am@7:45am@1313@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:20:00,12.9,1002,,57,4.4,,3.2,,16.1,103,2.3,12.9,,,,,,0,0,0,,,,,,@@@@171.2@@@16.1@21.8@19@22@6:01am@11:38am@12.8@12.2@0@43@40@52@11:41am@7:45am@1323@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:30:00,12.8,1001.8,,53,3.3,,4.8,,14.5,167,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@16.1@21.8@19@22@6:01am@11:38am@12.2@12.2@0@43@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:40:00,12.7,1001.6,,52,2.8,,4.8,,16.1,177,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.7@19@22@6:01am@11:38am@11.7@12.2@0@43@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 12:50:00,12.7,1001.4,,53,3.3,,4.8,,16.1,209,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.7@19@22@6:01am@11:38am@12.8@12.2@0@44@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 13:00:00,12.8,1001.1,,52,2.8,,6.4,,17.7,131,2.3,13.1,0,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.7@19@22@6:01am@11:38am@12.8@12.2@0@44@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 13:10:00,12.9,1000.9,,54,3.9,,1.6,,11.3,182,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.7@19@22@6:01am@11:38am@11.7@12.2@0@44@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 13:20:00,12.7,1000.6,,52,2.8,,3.2,,14.5,186,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.7@19@22@6:01am@11:38am@12.8@12.2@0@44@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
000CZ,2024-03-25 13:30:00,12.9,1000.3,,50,2.8,,1.6,,11.3,176,2.3,13.1,,,,,,0,0,0,,,,,,@@@@171.2@@@19.3@21.6@19@22@6:01am@11:38am@11.7@12.2@0@44@40@52@11:41am@7:45am@1326@1837@+0100,wlkIPxml
