station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DA,2015-12-31 12:20:00,11.2,1023,,73,6.7,,11.3,,20.9,220,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 12:30:00,11,1023.1,,73,6.1,,8,,16.1,232,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 12:40:00,11.1,1023.1,,71,6.1,,9.7,,16.1,230,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 12:50:00,10.9,1023.1,,70,5.6,,9.7,,20.9,222,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:00:00,10.8,1023.1,,74,6.1,,6.4,,12.9,170,9.5,11.2,0,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:10:00,10.8,1023.1,,74,6.1,,8,,12.9,151,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:20:00,10.7,1023.1,,75,6.7,,8,,14.5,185,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:30:00,10.7,1023.1,,75,6.7,,8,,17.7,187,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:40:00,10.8,1023.2,,75,6.7,,8,,12.9,195,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 13:50:00,11.2,1023.2,,74,6.7,,8,,11.3,197,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:00:00,11,1023.2,,75,6.7,,9.7,,14.5,187,9.5,11.2,0,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:10:00,10.9,1023.2,,75,6.7,,8,,17.7,167,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:20:00,10.8,1023.1,,76,6.7,,9.7,,16.1,176,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:30:00,10.8,1023.2,,77,6.7,,8,,17.7,184,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:40:00,10.7,1023.2,,78,7.2,,9.7,,16.1,187,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 14:50:00,10.4,1023.3,,79,6.7,,9.7,,17.7,192,9.5,11.2,,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
000DA,2015-12-31 15:00:00,10.2,1023.3,0.3,79,6.7,,8,,14.5,206,9.5,11.2,0,,,,,2,0,0,,,,,,@@@@49.4@@@,wlkIP
