station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DB,2016-01-05 11:00:00,3.1,1001.9,,92,1.9,,7.6,22.6,22.6,222,1.1,3.5,0,0,0,0,,9.4,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 11:30:00,2.7,1001.8,,92,1.5,,12.4,27,20.9,221,1.1,3.5,,,,,,9.4,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 12:00:00,2.7,1001.7,,93,1.7,,6.7,27,11.1,207,1.1,3.5,0,0,0,0,,9.4,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 12:30:00,2.4,1001.4,,97,2,,4.6,17.9,8.7,220,1.1,3.5,,,,,,9.6,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 13:00:00,2.6,1001.3,,91,1.3,,9.1,19.8,19.8,220,1.1,3.5,0.2,0,0,0,,9.6,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 13:30:00,1.7,1001,,96,1.1,,8,19.8,14.1,213,1.1,3.5,,,,,,9.9,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 14:00:00,1.5,1001.2,-0.7,97,1.1,,6.9,19.8,14.1,220,1.1,3.5,0.8,0,0,0,,10.4,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 14:30:00,1.3,1001.3,-0.6,98,1,,2.5,14.1,5.7,297,1.1,3.5,,,,,,10.9,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 15:00:00,1.1,1001.2,-0.5,99,1,,3,7.6,5.7,237,1,3.5,0,2,0,0,,1.6,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 15:30:00,1.4,1001.4,-0.3,99,1.3,,4.1,9.4,8.3,222,1,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 16:00:00,1.1,1001.8,0.5,97,0.7,,5.3,19.8,19.8,211,1,3.5,0.3,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 16:30:00,0.8,1001.7,0.4,98,0.5,,7.3,19.8,11.8,222,0.8,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 17:00:00,0.7,1001.8,0.6,99,0.6,,3,17.2,4.6,229,0.7,3.5,0,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 17:30:00,0.6,1001.9,0.7,99,0.5,,1.9,7.6,5,229,0.5,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 18:00:00,0.5,1002,0.8,99,0.4,,3.4,11.1,9.4,224,0.5,3.5,0,0.3,0,2.3,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 18:30:00,0.4,1002.3,1.1,99,0.3,,3.3,11.1,6.5,233,0.4,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 19:00:00,0.5,1002.4,0.6,99,0.4,,5.7,16.1,9.4,232,0.4,3.5,0,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 19:30:00,0.4,1002.5,0.7,99,0.3,,3.3,16.1,6.5,222,0.4,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 20:00:00,0.3,1002.5,0.7,99,0.2,,3,9.4,3.9,220,0.3,3.5,0,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 20:30:00,0.3,1002.6,0.8,99,0.2,,3.1,8.3,8.3,223,0.3,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 21:00:00,0.3,1002.6,0.6,99,0.2,,4.1,8.7,8.7,184,0.3,3.5,0,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 21:30:00,0.1,1002.8,0.8,99,-0,,4.4,11.8,6.8,222,0.1,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 22:00:00,0,1002.5,0.1,99,-0.1,,2.8,11.8,5.7,183,0,3.5,0,0,0,0,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 22:30:00,-0.2,1002.6,0.2,99,-0.3,,2.1,6.8,3.9,164,-0.2,3.5,,,,,,11.7,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 23:00:00,-0.2,1002.7,0.2,99,-0.3,,2.5,8.3,8.3,177,,,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-05 23:30:00,-0.2,1002.7,0.2,99,-0.3,,3.3,8.3,7.6,175,-0.2,-0.2,,,,,,0,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-06 00:00:00,-0.1,1002.6,,99,-0.2,,2.7,8.3,5,186,-0.2,-0.1,0,0,0,0,,0,,,,,,,,@@@@@@@,weatherlink
000DB,2016-01-06 00:30:00,-0.1,1002.7,,99,-0.2,,1.5,6.5,3.9,190,-0.2,-0.1,,,,,,0,,,,,,,,@@@@@@@,weatherlink
