station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DH,2022-01-01 00:00:00,9.3,1026,,34,-5.8,,8,,11.3,281,8.5,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.00@8.5@12.9,weatherlink
000DH,2022-01-01 00:30:00,8.8,1026,,34,-6.2,,8,,12.9,276,8.5,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.08@8.5@12.9,weatherlink
000DH,2022-01-01 01:00:00,8.9,1025.8,,34,-6.1,,6.4,,12.9,284,8.5,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.08@8.5@12.9,weatherlink
000DH,2022-01-01 01:30:00,8,1025.7,,38,-5.5,,8,,14.5,298,7.9,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.15@7.9@14.5,weatherlink
000DH,2022-01-01 02:00:00,9,1025.9,,34,-6.1,,6.4,,14.5,275,7.9,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.15@7.9@14.5,weatherlink
000DH,2022-01-01 02:30:00,8.5,1025.7,,36,-5.7,,8,,14.5,283,7.9,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.23@7.9@14.5,weatherlink
000DH,2022-01-01 03:00:00,9.2,1025.8,-0.2,35,-5.5,,3.2,,9.7,283,7.9,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.23@7.9@14.5,weatherlink
000DH,2022-01-01 03:30:00,8.3,1025.9,-0.1,37,-5.5,,1.6,,4.8,298,7.9,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.30@7.9@14.5,weatherlink
000DH,2022-01-01 04:00:00,8.7,1025.8,,35,-5.9,,6.4,,16.1,283,7.9,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.30@7.9@16.1,weatherlink
000DH,2022-01-01 04:30:00,9.1,1025.8,,34,-6,,4.8,,11.3,234,7.9,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.36@7.9@16.1,weatherlink
000DH,2022-01-01 05:00:00,8.7,1025.8,-0.1,37,-5.2,,4.8,,11.3,293,7.9,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.36@7.9@16.1,weatherlink
000DH,2022-01-01 05:30:00,8.8,1025.9,,35,-5.9,,3.2,,6.4,312,7.9,9.6,,,,,,0,0,0,0,,,,,@@0@9.6@0.0@0.43@7.9@16.1,weatherlink
000DH,2022-01-01 06:00:00,8.7,1025.8,,34,-6.3,,3.2,,6.4,354,7.9,9.6,0,0,0,0,,0,0,0,0,,,,,@@0@9.6@0.0@0.43@7.9@16.1,weatherlink
