station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DN,2018-01-01 00:00:00,5.7,1004.2,,89,4,,12.9,,29,221,5.1,5.7,0,0,0,0,,0,0,0,,,,,,@@@5.7@0.0@@5.1@38.6,weatherlink
000DN,2018-01-01 00:30:00,5.2,1004.5,,89,3.5,,11.3,,27.4,232,5.1,5.7,,,,,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 01:00:00,5.1,1004.6,,88,3.3,,11.3,,27.4,227,5.1,5.7,0,0,0,0,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 01:30:00,5.2,1004.9,,87,3.2,,11.3,,27.4,219,5.1,5.7,,,,,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 02:00:00,5.2,1005.6,,89,3.6,,9.7,,20.9,226,5.1,5.7,0,0,0,0,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 02:30:00,5.5,1005.7,,90,4,,8,,37,227,5.1,5.7,,,,,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 03:00:00,5.6,1005.9,1.7,89,3.9,,9.7,,27.4,231,5.1,5.7,0,0,0,0,,0,0,0,,,,,,@@@5.7@0.0@@5.1@45.1,weatherlink
000DN,2018-01-01 03:30:00,5.3,1006.1,1.9,89,3.7,,12.9,,32.2,217,5.1,5.7,,,,,,0.8,1.6,7.6,,,,,61,@@@5.7@0.8@@5.1@45.1,weatherlink
000DN,2018-01-01 04:00:00,4.3,1006.1,1.5,90,2.8,,6.4,,17.7,236,4.3,5.7,0.8,0,0,0,,0.8,0,7.6,,,,,,@@@5.7@0.8@@4.3@45.1,weatherlink
000DN,2018-01-01 04:30:00,4.2,1006.2,1.6,91,2.9,,6.4,,19.3,225,4.1,5.7,,,,,,0.8,0,0,,,,,,@@@5.7@0.8@@4.1@45.1,weatherlink
000DN,2018-01-01 05:00:00,4.3,1006.1,0.5,91,3,,4.8,,20.9,232,4.1,5.7,0.2,0,0,0,,1,0,0,,,,,,@@@5.7@1.0@@4.1@45.1,weatherlink
000DN,2018-01-01 05:30:00,4.4,1005.9,0.3,91,3.1,,4.8,,19.3,177,4.1,5.7,,,,,,1,0,0,,,,,,@@@5.7@1.0@@4.1@45.1,weatherlink
000DN,2018-01-01 06:00:00,4.7,1005.3,-0.6,92,3.5,,9.7,,32.2,216,4.1,5.7,0.2,1.2,0,0,,1.2,0,0,,,,,,@@@5.7@1.2@@4.1@45.1,weatherlink
000DN,2018-01-01 06:30:00,4.7,1005,-0.9,92,3.5,,8,,29,189,4.1,5.7,,,,,,1.4,0,3.2,,,,,,@@@5.7@1.4@@4.1@45.1,weatherlink
000DN,2018-01-01 07:00:00,5.1,1004.4,-1.7,90,3.6,,11.3,,32.2,223,4.1,5.7,0.2,0,0,0,,1.4,0,3.2,,,,,,@@@5.7@1.4@@4.1@45.1,weatherlink
000DN,2018-01-01 07:30:00,4.8,1003.7,-2.4,91,3.5,,19.3,,32.2,192,4.1,5.7,,,,,,1.4,0,0,,,,,,@@@5.7@1.4@@4.1@45.1,weatherlink
000DN,2018-01-01 08:00:00,5.3,1003,-3.1,91,3.9,,16.1,,33.8,193,4.1,5.7,0,0,0,0,,1.4,0,0,,,,,,@@@5.7@1.4@@4.1@45.1,weatherlink
000DN,2018-01-01 08:30:00,5.3,1002.2,-3.9,92,4.1,,20.9,,29,205,4.1,5.7,,,,,,1.8,1.6,2,,,,,61,@@@5.7@1.8@@4.1@45.1,weatherlink
000DN,2018-01-01 09:00:00,5.2,1001.2,-4.1,93,4.2,,17.7,,25.7,177,4.1,5.7,1.2,1.4,0,0,,2.6,1.6,5,,,,,61,@@@5.7@2.6@@4.1@45.1,weatherlink
000DN,2018-01-01 09:30:00,5.4,999.7,-5.6,94,4.5,,22.5,,35.4,167,4.1,5.7,,,,,,3.8,1.8,4,,,,,61,@@@5.7@3.8@@4.1@45.1,weatherlink
000DN,2018-01-01 10:00:00,5.7,998.4,-6,93,4.6,,27.4,,46.7,186,4.1,5.7,1.4,0,0,0,,4,0,4,,,,,,@@@5.7@4.0@@4.1@46.7,weatherlink
000DN,2018-01-01 10:30:00,5.7,997.2,-7.2,93,4.6,,33.8,,46.7,184,4.1,5.7,,,,,,4.6,1.6,1.6,,,,,61,@@@5.7@4.6@@4.1@51.5,weatherlink
000DN,2018-01-01 11:00:00,5.8,996.1,-6.9,93,4.8,,25.7,,33.8,169,4.1,5.8,0.6,0,0,0,,4.6,0,1.6,,,,,,@@@5.8@4.6@@4.1@51.5,weatherlink
000DN,2018-01-01 14:00:00,6.5,994.3,-1.8,95,5.8,,0,,1.6,238,4.1,6.6,0,0,0,0,,7.2,1,7.6,,,,,61,@@@6.6@7.2@@4.1@51.5,weatherlink
000DN,2018-01-01 14:30:00,6.7,995.4,-0.7,94,5.8,,1.6,,19.3,61,4.1,6.7,,,,,,7.4,0,0.8,,,,,,@@@6.7@7.4@@4.1@51.5,weatherlink
000DN,2018-01-01 15:00:00,6.4,997.2,,92,5.2,,4.8,,12.9,145,4.1,6.8,0.8,0,0,0,,8,0,5.2,,,,,,@@@6.8@8.0@@4.1@51.5,weatherlink
000DN,2018-01-01 15:30:00,5.9,998.8,,92,4.7,,1.6,,9.7,188,4.1,6.8,,,,,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 16:00:00,5.8,1000,,91,4.5,,0,,4.8,130,4.1,6.8,0.2,0,0,0,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 16:30:00,6.1,1001.1,,90,4.5,,1.6,,8,212,4.1,6.8,,,,,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 17:00:00,6.2,1002.5,8.2,87,4.2,,1.6,,8,177,4.1,6.8,0,0,0,0,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 17:30:00,6.3,1003.3,9,86,4.2,,3.2,,9.7,141,4.1,6.8,,,,,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 18:00:00,6.1,1003.9,6.7,85,3.8,,0,,6.4,187,4.1,6.8,0,0.2,0,0,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 18:30:00,6.3,1004.8,7.6,87,4.3,,1.6,,12.9,134,4.1,6.8,,,,,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 19:00:00,6.4,1006,6,83,3.8,,1.6,,6.4,117,4.1,6.8,0,0,0,0,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 19:30:00,6.4,1006.9,6.9,82,3.6,,0,,6.4,144,4.1,6.8,,,,,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 20:00:00,6.2,1007.5,5,86,4.1,,0,,4.8,275,4.1,6.8,0,0,0,0,,8.2,0,0,,,,,,@@@6.8@8.2@@4.1@51.5,weatherlink
000DN,2018-01-01 20:30:00,6.2,1008.3,5.8,89,4.5,,0,,1.6,247,4.1,6.8,,,,,,8.6,0.8,1,,,,,,@@@6.8@8.6@@4.1@51.5,weatherlink
000DN,2018-01-01 21:00:00,6.8,1008.8,4.9,86,4.6,,0,,1.6,167,4.1,6.8,0.4,0.4,0,0,,8.6,0,1,,,,,,@@@6.8@8.6@@4.1@51.5,weatherlink
000DN,2018-01-01 21:30:00,6.8,1009.4,5.5,84,4.3,,0,,0,217,4.1,6.9,,,,,,8.6,0,0,,,,,,@@@6.9@8.6@@4.1@51.5,weatherlink
000DN,2018-01-01 22:00:00,7,1009.9,3.9,84,4.5,,0,,0,239,4.1,7.1,0,0,0,0,,8.6,0,0,,,,,,@@@7.1@8.6@@4.1@51.5,weatherlink
