station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DP,2020-01-01 00:00:00,7.4,1032,,88,5.5,,6.5,,16.2,275,6.8,11.8,0,0,0,0,,0,0,0,0,0,,,,0@1.0@432@18.8@778.01@@2.4@13.0,weatherlink
000DP,2020-01-01 00:30:00,7.4,1031.7,,88,5.5,,5.9,,16.2,293,7.4,7.4,,,,,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@6.5,weatherlink
000DP,2020-01-01 01:00:00,7.4,1031.7,,88,5.5,,5.7,,16.2,289,7.4,7.4,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@6.5,weatherlink
000DP,2020-01-01 01:30:00,7.5,1031.4,,87,5.5,,6.5,,14.4,278,7.4,7.5,,,,,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@6.5,weatherlink
000DP,2020-01-01 02:00:00,7.6,1031.3,,86,5.4,,4.7,,14.4,279,7.4,7.6,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@6.5,weatherlink
000DP,2020-01-01 02:30:00,7.8,1031.4,,83,5.1,,8,,19.4,265,7.4,7.8,,,,,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@9.7,weatherlink
000DP,2020-01-01 03:00:00,7.9,1031.5,-0.5,83,5.2,,8.2,,19.4,248,7.4,7.9,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@9.7,weatherlink
000DP,2020-01-01 03:30:00,7.9,1031.4,-0.6,83,5.2,,7.6,,19.4,259,7.4,8,,,,,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@9.7,weatherlink
000DP,2020-01-01 04:00:00,7.8,1031.3,-0.4,84,5.3,,5.5,,17.6,275,7.4,8,0,0,0,0,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@9.7,weatherlink
000DP,2020-01-01 04:30:00,7.8,1031.4,-0.3,83,5.1,,6.6,,16.2,292,7.4,8,,,,,,0,0,0,0,0,,,,0@0.0@0@18.8@778.01@@2.4@9.7,weatherlink
