station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000DX,2016-03-11 16:10:00,4.1,1019.5,,73,-0.6,,4.8,,9.7,233,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 16:20:00,4.1,1019.6,,72,-0.6,,4.8,,14.5,225,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 16:30:00,3.9,1019.6,,72,-0.6,,4.8,,8,277,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 16:40:00,3.8,1019.7,,72,-1.1,,3.2,,8,200,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 16:50:00,3.5,1019.8,,73,-1.1,,4.8,,12.9,248,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:00:00,3.4,1019.8,,73,-1.1,,3.2,,16.1,242,-0.3,5.5,0,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:10:00,3.2,1019.9,,74,-1.1,,3.2,,12.9,279,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:20:00,2.9,1020,,75,-1.1,,4.8,,11.3,252,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:30:00,2.6,1020.3,,76,-1.1,,4.8,,12.9,266,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:40:00,2.4,1020.4,,77,-1.1,,3.2,,12.9,250,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 17:50:00,2.3,1020.4,,78,-1.1,,4.8,,11.3,271,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 18:00:00,1.9,1020.6,,79,-1.1,,3.2,,12.9,269,-0.3,5.5,0,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 18:10:00,1.7,1020.6,,81,-1.1,,3.2,,16.1,284,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
000DX,2016-03-11 18:20:00,1.3,1020.6,,82,-1.7,,3.2,,11.3,291,-0.3,5.5,,,,,,0,0,0,,,,,,@@@@108.0@@@,wlkIP
