station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000EC,2023-11-04 19:30:00,11.6,968.1,,78,7.9,,35.2,,69.2,196,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 19:40:00,11.5,968,,78,7.8,,31.3,,53.1,196,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 19:50:00,11.3,968,,79,7.8,,29.2,,53.1,194,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:00:00,11.1,967.9,,79,7.7,,21.6,,33.3,192,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:10:00,11.1,967.8,,81,7.8,,20,,31.9,192,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:20:00,11.1,967.8,,81,7.9,,21.4,,34.8,194,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:30:00,11.1,967.7,,81,7.9,,20.6,,33.3,194,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:40:00,11.2,967.6,,82,8.3,,23.6,,39.1,193,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 20:50:00,11.3,967.4,,82,8.3,,25.2,,42,199,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:00:00,11.2,967.3,,82,8.3,,22.5,,42,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:10:00,11.2,967.2,,82,8.3,,20,,36.2,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:20:00,11.2,967.1,,82,8.3,,23.8,,36.2,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:30:00,11.1,967,,83,8.3,,23.3,,36.2,194,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:40:00,11,966.9,,83,8.2,,25.7,,42,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 21:50:00,11,966.8,,83,8.3,,23.6,,40.6,199,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:00:00,11,966.7,-1.4,83,8.3,,23.7,,39.1,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:10:00,10.9,966.7,-1.4,83,8.2,,18.2,,36.2,197,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:20:00,10.8,966.7,-1.4,84,8.3,,17.7,,30.4,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:30:00,10.8,966.6,-1.5,84,8.3,,20.4,,37.7,194,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:40:00,10.7,966.6,-1.5,84,8.2,,17.2,,37.7,195,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 22:50:00,10.6,966.6,-1.5,84,8,,14.4,,27.5,197,8,14,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:00:00,10.6,966.6,-1.3,85,8.1,,14.4,,24.6,196,,,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:10:00,10.6,966.6,-1.3,85,8.2,,13.9,,21.7,196,10.6,10.6,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:20:00,10.6,966.7,-1.2,85,8.3,,15.5,,26.1,193,10.6,10.6,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:30:00,10.7,966.7,-1.2,85,8.3,,17.5,,27.5,190,10.6,10.7,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:40:00,10.7,966.7,-1.2,85,8.3,,14.7,,27.5,196,10.6,10.7,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-04 23:50:00,10.7,966.6,-1.3,85,8.3,,14.8,,21.7,193,10.6,10.7,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:00:00,10.9,966.5,,85,8.4,,19.9,,34.8,192,10.6,10.8,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:10:00,11,966.6,,85,8.5,,22.5,,31.9,192,10.6,10.9,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:20:00,11,966.6,,85,8.7,,22.6,,33.3,194,10.6,11,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:30:00,11.1,966.6,,85,8.8,,24.4,,37.7,194,10.6,11.1,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:40:00,11.4,966.6,,85,8.9,,25.8,,39.1,195,10.6,11.2,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 00:50:00,11.5,966.6,,85,9.1,,31.8,,42,195,10.6,11.5,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:00:00,11.5,966.6,,84,8.9,,32.4,,46.3,199,10.6,11.5,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:10:00,11.5,966.6,,84,8.9,,29,,42,195,10.6,11.5,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:20:00,11.6,966.6,,85,9.1,,27,,40.6,199,10.6,11.5,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:30:00,11.7,966.5,,85,9.3,,29.1,,40.6,197,10.6,11.6,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:40:00,12.1,966.5,,85,9.7,,42.2,,53.6,206,10.6,12,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 01:50:00,12.2,966.7,,84,9.6,,47.8,,65.2,208,10.6,12.2,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 02:00:00,12.3,966.8,,85,9.8,,48.4,,65.2,211,10.6,12.3,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 02:10:00,12.3,966.8,,85,9.9,,47.3,,59.4,212,10.6,12.3,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 02:20:00,12.4,966.9,,85,10,,47.8,,59.4,216,10.6,12.3,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 02:30:00,12.3,967,,85,10,,48.3,,60.8,218,10.6,12.4,,,,,,,,,0,0,,,,0@@@@307.6,weatherlink
000EC,2023-11-05 02:40:00,11.9,967.3,,88,10,,49.6,,63.7,227,10.6,12.4,,,,,,,,,0,0,,,,0@@@@307.8,weatherlink
000EC,2023-11-05 02:50:00,11.8,967.3,,89,10,,37.8,,57.9,230,10.6,12.4,,,,,,,,,0,0,,,,0@@@@308.2,weatherlink
000EC,2023-11-05 03:00:00,11.6,967.3,0.8,88,9.8,,44.9,,46.3,222,10.6,12.4,,,,,,,,,0,0,,,,0@@@@309,weatherlink
000EC,2023-11-05 03:10:00,11.7,967,0.5,89,10,,22.7,,46.3,224,10.6,12.4,,,,,,,,,0,0,,,,0@@@@314,weatherlink
000EC,2023-11-05 03:20:00,11.1,967.5,1,89,9.4,,34.7,,65.2,284,10.6,12.4,,,,,,,,,0,0,,,,0@@@@315.8,weatherlink
000EC,2023-11-05 03:30:00,11.1,967.7,1.2,89,9.4,,15.6,,39.1,305,10.6,12.4,,,,,,,,,0,0,,,,0@@@@316,weatherlink
000EC,2023-11-05 03:40:00,11,967.9,1.4,89,9.3,,8.5,,18.8,276,10.6,12.4,,,,,,,,,0,0,,,,0@@@@316.2,weatherlink
000EC,2023-11-05 03:50:00,10.9,968.2,1.7,89,9.2,,16.4,,23.2,239,10.6,12.4,,,,,,,,,0,0,,,,0@@@@316.6,weatherlink
000EC,2023-11-05 04:00:00,11.1,968.4,1.8,89,9.4,,14.2,,23.2,261,10.6,12.4,,,,,,,,,0,0,,,,0@@@@316.6,weatherlink
000EC,2023-11-05 04:10:00,11.2,968.5,1.9,89,9.4,,14.4,,20.3,266,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317,weatherlink
000EC,2023-11-05 04:20:00,11.1,968.9,2.3,89,9.4,,17.1,,24.6,272,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317,weatherlink
000EC,2023-11-05 04:30:00,11.1,969,2.4,89,9.4,,19.7,,29,262,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.2,weatherlink
000EC,2023-11-05 04:40:00,11.4,969.3,2.7,89,9.6,,19.6,,24.6,261,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.2,weatherlink
000EC,2023-11-05 04:50:00,11.5,969.5,2.9,89,9.9,,18.2,,26.1,270,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.4,weatherlink
000EC,2023-11-05 05:00:00,11.6,969.7,2.9,89,9.9,,13.8,,17.4,266,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.4,weatherlink
000EC,2023-11-05 05:10:00,11.9,970,3.2,89,10.1,,15.3,,20.3,278,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.4,weatherlink
000EC,2023-11-05 05:20:00,12.1,970.3,3.5,88,10.1,,19.1,,27.5,286,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.6,weatherlink
000EC,2023-11-05 05:30:00,12.5,970.5,3.7,87,10.5,,34.8,,44.9,275,10.6,12.4,,,,,,,,,0,0,,,,0@@@@317.6,weatherlink
000EC,2023-11-05 05:40:00,12.8,970.8,4,87,10.6,,42.8,,47.8,274,10.6,12.7,,,,,,,,,0,0,,,,0@@@@317.8,weatherlink
000EC,2023-11-05 05:50:00,12.6,971.1,4.3,87,10.5,,38.1,,47.8,274,10.6,12.8,,,,,,,,,0,0,,,,0@@@@318,weatherlink
000EC,2023-11-05 06:10:00,13,971.7,4.4,83,10.1,,41.1,,52.1,288,10.6,12.9,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 06:20:00,13,972,4.7,83,10.1,,42.1,,53.6,280,10.6,13,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 06:30:00,12.8,972.4,5.1,82,9.8,,41,,53.6,282,10.6,13,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 06:40:00,12.9,972.8,5.5,82,10,,41.5,,50.7,278,10.6,13,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 06:50:00,12.9,973.1,5.8,83,10.1,,41.3,,53.6,284,10.6,13,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:00:00,12.9,973.5,5.1,84,10.2,,40.4,,53.6,282,10.6,13,,,,,,,,,0,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:10:00,12.9,974,5.6,82,10,,42.3,,52.1,285,10.6,13,,,,,,,,,3,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:20:00,12.9,974.3,5.9,84,10.2,,42.4,,52.1,284,10.6,13,,,,,,,,,9,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:30:00,12.8,974.6,6.2,84,10,,43,,52.1,285,10.6,13,,,,,,,,,12,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:40:00,12.3,975.1,6.7,85,9.9,,47.5,,62.3,294,10.6,13,,,,,,,,,13,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 07:50:00,12,975.6,7.2,85,9.5,,49.4,,65.2,300,10.6,13,,,,,,,,,10,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:00:00,11.7,976,6.3,84,9.1,,54.7,,66.6,304,10.6,13,,,,,,,,,13,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:10:00,11.8,976.5,6.8,84,9.2,,51.6,,68.1,301,10.6,13,,,,,,,,,50,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:20:00,11.7,977,7.3,83,9,,50.7,,68.1,295,10.6,13,,,,,,,,,31,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:30:00,11.7,977.3,7.6,83,8.9,,52.4,,68.1,304,10.6,13,,,,,,,,,25,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:40:00,11.9,977.7,8,83,9,,49.6,,68.1,299,10.6,13,,,,,,,,,26,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 08:50:00,11.9,978.1,8.4,82,8.9,,51.7,,66.6,294,10.6,13,,,,,,,,,53,0,,,,0@@@@318.2,weatherlink
000EC,2023-11-05 09:00:00,12,978.5,6.8,81,8.9,,54.9,,68.1,297,10.6,13,,,,,,,,,60,0.2,,,,0.2@@@@318.2,weatherlink
000EC,2023-11-05 09:10:00,11.8,978.9,7.2,80,8.5,,56.1,,69.5,297,10.6,13,,,,,,,,,56,0.3,,,,0.3@@@@318.2,weatherlink
