station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000EF,2016-04-30 09:30:00,15.9,1017.1,,60,8.3,,6.4,,12.9,231,7.2,17.6,,,,,,0,0,0,573,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 09:40:00,15.5,1017.1,,63,8.3,,8,,12.9,182,7.2,17.6,,,,,,0,0,0,424,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 09:50:00,16.1,1017,,66,9.4,,8,,14.5,237,7.2,17.6,,,,,,0,0,0,396,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:00:00,16.4,1017,,68,10.6,,6.4,,12.9,254,7.2,17.6,0,,,,,0,0,0,396,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:10:00,16.5,1016.9,,66,10,,6.4,,17.7,232,7.2,17.6,,,,,,0,0,0,937,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:20:00,16.7,1016.9,,65,10,,9.7,,17.7,180,7.2,17.6,,,,,,0,0,0,420,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:30:00,16.1,1016.7,,68,10,,9.7,,16.1,219,7.2,17.7,,,,,,0,0,0,399,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:40:00,15.8,1016.9,,69,10,,9.7,,16.1,205,7.2,17.7,,,,,,0,0,0,330,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 10:50:00,16.1,1016.7,,68,10,,9.7,,17.7,221,7.2,17.7,,,,,,0,0,0,388,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:00:00,16.1,1016.4,,69,10.6,,8,,16.1,248,7.2,17.7,0,,,,,0,0,0,527,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:10:00,16.5,1016.4,,61,8.9,,8,,19.3,213,7.2,17.7,,,,,,0,0,0,807,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:20:00,16.4,1016.5,,61,8.9,,9.7,,19.3,175,7.2,17.7,,,,,,0,0,0,666,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:30:00,16.8,1016.4,,58,8.3,,9.7,,19.3,225,7.2,17.7,,,,,,0,0,0,642,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:40:00,16.4,1016.3,,58,7.8,,9.7,,17.7,188,7.2,17.7,,,,,,0,0,0,555,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 11:50:00,16.3,1016.3,,54,6.7,,11.3,,24.1,236,7.2,17.7,,,,,,0,0,0,462,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:00:00,15.7,1016.2,-0.9,63,8.3,,9.7,,19.3,223,7.2,17.7,0,,,,,0,0,0,364,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:10:00,15.7,1016.2,-0.9,65,8.9,,9.7,,20.9,244,7.2,17.7,,,,,,0,0,0,311,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:20:00,15.3,1016.1,-1,66,8.9,,9.7,,17.7,221,7.2,17.7,,,,,,0,0,0,309,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:30:00,15.6,1016,-1.1,65,8.9,,8,,17.7,239,7.2,17.7,,,,,,0,0,0,264,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:40:00,15.8,1015.9,-1.2,65,8.9,,8,,19.3,238,7.2,17.7,,,,,,0,0,0,316,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 12:50:00,16.2,1015.8,-1.3,64,9.4,,6.4,,14.5,236,7.2,17.7,,,,,,0,0,0,327,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:00:00,16.1,1015.4,-1.6,59,7.8,,6.4,,16.1,239,7.2,17.7,0,,,,,0,0,0,299,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:10:00,16.6,1015.3,-1.7,59,8.3,,4.8,,17.7,234,7.2,17.7,,,,,,0,0,0,387,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:20:00,16.8,1015.2,-1.8,59,8.9,,8,,14.5,240,7.2,17.7,,,,,,0,0,0,285,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:30:00,16.3,1015.2,-1.8,61,8.9,,8,,16.1,190,7.2,17.7,,,,,,0,0,0,272,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:40:00,16.3,1015,-2,61,8.9,,8,,16.1,217,7.2,17.7,,,,,,0,0,0,232,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 13:50:00,15.8,1015,-2,67,9.4,,8,,24.1,248,7.2,17.7,,,,,,0,0,0,199,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:00:00,15.7,1014.9,-1.5,66,9.4,,6.4,,16.1,311,7.2,17.7,0,,,,,0,0,0,146,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:10:00,15.4,1014.8,-1.6,68,9.4,,6.4,,16.1,278,7.2,17.7,,,,,,0,0,0,149,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:20:00,15.4,1014.5,-1.9,67,9.4,,6.4,,24.1,275,7.2,17.7,,,,,,0,0,0,146,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:30:00,15.3,1014.4,-2,68,9.4,,9.7,,22.5,277,7.2,17.7,,,,,,0,0,0,169,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:40:00,15.2,1014.6,-1.8,69,9.4,,9.7,,24.1,291,7.2,17.7,,,,,,0,0,0,176,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 14:50:00,14.9,1014.6,-1.8,69,9.4,,12.9,,30.6,313,7.2,17.7,,,,,,0,0,0,162,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:00:00,14.9,1014.5,-1.7,70,9.4,,11.3,,30.6,346,7.2,17.7,0,,,,,0,0,0,116,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:10:00,14.9,1014.4,-1.8,72,10,,12.9,,30.6,267,7.2,17.7,,,,,,0,0,0,142,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:20:00,15.1,1014.3,-1.9,72,10,,11.3,,25.7,228,7.2,17.7,,,,,,0,0,0,183,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:30:00,15.1,1014.2,-2,72,10,,8,,22.5,315,7.2,17.7,,,,,,0,0,0,230,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:40:00,15.7,1014.1,-2.1,70,10,,8,,22.5,330,7.2,17.7,,,,,,0,0,0,323,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 15:50:00,15.8,1014,-2.2,68,10,,9.7,,24.1,325,7.2,17.7,,,,,,0,0,0,244,,,,,@@@@222.4@@@,wlkIP
000EF,2016-04-30 16:00:00,16.4,1014,-1.4,66,10,,9.7,,20.9,327,7.2,17.7,0,,,,,0,0,0,281,,,,,@@@@222.4@@@,wlkIP
