station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000EL,2023-10-19 07:50:00,14.4,985.6,,85,12.2,,0,,0,,13.3,14.4,,,,,,1.2,0,0,,,,,,@@@@667@@@0@21.7@20.7@22@7:06am@9:39am@14.4@14.4@0@59@56@59@1:28am@9:54am@2400@1621@+0200,wlkIPxml
000EL,2023-10-20 06:20:00,13.1,975.3,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@21.7@21.3@22.1@6:22am@12:10am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 06:30:00,13.1,975.2,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@21.7@21.3@22.1@6:22am@12:10am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 06:40:00,13.1,975.3,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@21.8@21.3@22.1@6:22am@12:10am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 06:50:00,13.1,975.3,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@21.9@21.3@22.1@6:22am@12:10am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 07:00:00,13.1,975.3,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.1@21.3@22.1@6:22am@9:00am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 07:10:00,13.1,975.4,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.2@21.3@22.2@6:22am@9:10am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 07:20:00,13.1,975.5,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.3@21.3@22.3@6:22am@9:19am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 07:30:00,13.1,975.6,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.4@21.3@22.4@6:22am@9:30am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 07:40:00,13.2,975.6,,85,10.6,,0,,0,,12.8,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.5@21.3@22.5@6:22am@9:43am@13.3@13.3@0@57@57@59@7:00am@12:00am@2400@1750@+0200,wlkIPxml
000EL,2023-10-20 08:30:00,13.4,975.9,,85,11.1,,,,0,,13.4,13.5,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@21.9@21.8@21.9@10:28am@10:27am@13.3@13.3@0@60@59@60@10:27am@10:28am@2228@2228@+0200,wlkIPxml
000EL,2023-10-20 08:40:00,13.4,975.8,,85,11.1,,0,,0,,13.4,13.5,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.2@21.8@22.2@10:28am@10:38am@13.3@13.3@0@58@58@60@10:41am@10:28am@2228@2234@+0200,wlkIPxml
000EL,2023-10-20 08:50:00,13.3,975.8,,85,11.1,,0,,0,,13.3,13.5,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.3@21.8@22.3@10:28am@10:50am@13.3@13.3@0@58@58@60@10:41am@10:28am@2228@2246@+0200,wlkIPxml
000EL,2023-10-20 09:00:00,13.3,975.9,0.6,85,11.1,,0,,0,,13.3,13.5,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.4@21.8@22.4@10:28am@10:57am@13.3@13.3@0@57@57@60@10:56am@10:28am@2228@2246@+0200,wlkIPxml
000EL,2023-10-20 09:10:00,13.6,975.9,0.6,85,11.1,,0,,0,,13.3,13.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.4@21.8@22.4@10:28am@10:57am@13.3@13.3@0@57@57@60@10:56am@10:28am@2310@2246@+0200,wlkIPxml
000EL,2023-10-20 09:20:00,13.9,976,0.7,85,11.7,,0,,0,,13.3,13.9,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.7@21.8@22.7@10:28am@11:19am@13.9@13.9@0@57@57@60@10:56am@10:28am@2317@2246@+0200,wlkIPxml
000EL,2023-10-20 09:30:00,13.8,976,0.7,85,11.7,,0,,0,,13.3,13.9,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@22.9@21.8@22.9@10:28am@11:30am@13.9@13.9@0@57@57@60@10:56am@10:28am@2320@2246@+0200,wlkIPxml
000EL,2023-10-20 09:40:00,14.2,976,0.7,85,11.7,,0,,0,,13.3,14.2,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.2@21.8@23.2@10:28am@11:40am@14.4@14.4@0@57@57@60@10:56am@10:28am@2340@2246@+0200,wlkIPxml
000EL,2023-10-20 09:50:00,14.4,976.2,0.9,85,12.2,,0,,0,,13.3,14.4,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.6@21.8@23.6@10:28am@11:51am@14.4@14.4@0@57@57@60@10:56am@10:28am@2351@2246@+0200,wlkIPxml
000EL,2023-10-20 10:00:00,14.4,976.1,0.8,85,12.2,,0,,0,,13.3,14.6,0,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.7@21.8@23.7@10:28am@11:59am@14.4@14.4@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 10:10:00,14.3,976,0.7,85,11.7,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.7@21.8@23.7@10:28am@11:59am@14.4@14.4@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 10:20:00,14.1,976.1,0.8,85,11.7,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.7@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 10:30:00,13.8,976.2,0.9,85,11.7,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.7@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 10:40:00,13.7,976.2,0.9,85,11.1,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.6@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 10:50:00,13.7,976.1,0.8,85,11.1,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.6@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:00:00,13.8,976.2,0.3,85,11.1,,0,,0,,13.3,14.6,0,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.5@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:10:00,13.8,976.1,0.2,85,11.7,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.4@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:20:00,13.7,976.2,0.3,85,11.1,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.4@21.8@23.7@10:28am@11:59am@13.9@13.9@0@57@57@60@10:56am@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:30:00,13.7,976.4,0.5,85,11.1,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.3@21.8@23.7@10:28am@11:59am@13.9@13.9@0@56@56@60@1:30pm@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:40:00,14.3,976.3,0.4,85,11.7,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.3@21.8@23.7@10:28am@11:59am@14.4@14.4@0@56@56@60@1:30pm@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 11:50:00,14.4,976.4,0.5,85,12.2,,0,,0,,13.3,14.6,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.3@21.8@23.7@10:28am@11:59am@14.4@14.4@0@56@56@60@1:30pm@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 12:00:00,14.5,976.4,0.5,85,12.2,,0,,0,,13.3,14.6,0,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.2@21.8@23.7@10:28am@11:59am@14.4@14.4@0@56@56@60@1:30pm@10:28am@2357@2246@+0200,wlkIPxml
000EL,2023-10-20 12:10:00,14.7,976.5,0.6,85,12.2,,0,,0,,13.3,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.2@21.8@23.7@10:28am@11:59am@15@15@0@55@55@60@2:07pm@10:28am@1410@2246@+0200,wlkIPxml
000EL,2023-10-20 12:20:00,14.7,976.4,0.5,85,12.2,,0,,0,,13.3,14.7,,,,,,1.2,0,0,,,,,,@@@@667.6@@@0@23.1@21.8@23.7@10:28am@11:59am@15@15@0@56@55@60@2:07pm@10:28am@1410@2246@+0200,wlkIPxml
