station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000EP,2025-01-01 00:30:00,-3.1,1030.7,,97,-3.5,,0,,0,288,-3.2,-2.3,,,,,,0,0,0,,,,,,@@@-2.3@0.0@@-3.2@0.0,weatherlink
000EP,2025-01-01 01:30:00,-3.1,1030.4,,97,-3.5,,0,,0,288,-3.2,-2.3,,,,,,0,0,0,,,,,,@@@-2.3@0.0@@-3.2@0.0,weatherlink
000EP,2025-01-01 02:30:00,-2.6,1030.4,,97,-3,,0,,0,288,-3.2,-2.3,,,,,,0,0,0,,,,,,@@@-2.3@0.0@@-3.2@0.0,weatherlink
000EP,2025-01-01 03:30:00,-2.2,1030,-0.7,97,-2.6,,0,,0,288,-3.2,-2.2,,,,,,0,0,0,,,,,,@@@-2.2@0.0@@-3.2@0.0,weatherlink
000EP,2025-01-01 04:30:00,2.9,1029.7,-0.7,99,2.8,,0,,0,257,-3.2,2.9,,,,,,0,0,0,,,,,,@@@2.9@0.0@@-3.2@4.8,weatherlink
000EP,2025-01-01 05:30:00,3.3,1029.5,-0.9,99,3.2,,0,,0,227,-3.2,3.4,,,,,,0,0,0,,,,,,@@@3.4@0.0@@-3.2@17.7,weatherlink
000EP,2025-01-01 07:00:00,1.6,1029.2,-0.5,98,1.3,,0,,1.6,212,-3.2,3.4,0,0,0,0,,0,0,0,,,,,,@@@3.4@0.0@@-3.2@17.7,weatherlink
000EP,2025-01-01 08:00:00,2.3,1029,-0.5,98,2,,0,,1.6,272,-3.2,3.4,0,0,0,0,,0,0,0,,,,,,@@@3.4@0.0@@-3.2@17.7,weatherlink
000EP,2025-01-01 09:00:00,2.4,1029.4,,98,2.2,,0,,0,248,-3.2,3.4,0,0,0,0,,0,0,0,,,,,,@@@3.4@0.0@@-3.2@17.7,weatherlink
000EP,2025-01-01 10:00:00,5.2,1029.5,0.3,96,4.6,,0,,0,148,-3.2,5.2,0,0,0,0,,0,0,0,,,,,,@@@5.2@0.0@@-3.2@17.7,weatherlink
