station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FE,2021-01-01 00:00:00,0.1,1009.2,,99,-0.1,,0,,0,0,0.1,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 00:30:00,0.1,1008.2,,99,-0.1,,2,,3,90,0.1,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 01:00:00,0.1,1008.2,,99,-0.1,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 01:30:00,0.2,1008,,99,0,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 02:00:00,0.2,1007.8,,99,0,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 02:30:00,0.2,1007.5,,99,0,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 03:00:00,0.2,1007.2,-2,99,0.1,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 03:30:00,0.1,1006.9,-2.3,99,-0.1,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 04:00:00,0.2,1006.6,-1.6,99,0,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 04:30:00,0.2,1006.3,-1.9,99,0,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 05:00:00,0.2,1006.2,-1.6,99,0,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 05:30:00,0.2,1006,-1.8,99,0,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 06:00:00,0.2,1005.9,-1.3,99,0,,0,,0,0,0,0.2,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 06:30:00,0.2,1005.9,-1.3,100,0.2,,0,,0,0,0,0.2,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 07:00:00,0.2,1005.8,-0.8,100,0.2,,0,,3,0,0,0.3,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 07:30:00,0.2,1005.9,-0.7,100,0.2,,0,,0,0,0,0.4,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 08:00:00,0.2,1006.2,,100,0.2,,0,,0,0,0,0.4,0,0,0,0,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 08:30:00,0.4,1006,-0.2,100,0.4,,0,,0,0,0,0.4,,,,,,0,0,,0,0,,,,0@0@@@0.0@@@,weatherlink
000FE,2021-01-01 09:00:00,0.6,1006.1,0.2,100,0.6,,0,,0,0,0,0.6,0,0,0,0,,0.2,0,,0,0,,,,0@0@@@0.2@@@,weatherlink
000FE,2021-01-01 09:30:00,0.8,1006.5,0.6,100,0.8,,0,,0,0,0,0.8,,,,,,6,1.2,,0,0,,,,0@0@@@6.0@@@,weatherlink
000FE,2021-01-01 10:00:00,1.1,1006,0.2,100,1.1,,0,,0,0,0,1.2,0,0,0,0,,6.8,1.4,,0,0,,,,0@0@@@6.8@@@,weatherlink
000FE,2021-01-01 10:30:00,1.6,1005.8,,100,1.6,,0,,0,0,0,1.6,,,,,,7.6,1.6,,0,0,,,,0@0@@@7.6@@@,weatherlink
000FE,2021-01-01 11:00:00,2,1005.4,-0.8,100,2,,0,,0,0,0,2.1,0,8,8.2,0,,8.2,1.4,,0,0,,,,0@0@@@8.2@@@,weatherlink
000FE,2021-01-01 11:30:00,2.1,1005.1,-1.1,98,1.8,,0,,0,0,0,2.7,,,,,,9,1.4,,0,0,,,,0@0@@@9.0@@@,weatherlink
000FE,2021-01-01 12:00:00,2.2,1004.5,-1.6,96,1.6,,0,,0,0,0,2.7,0,0,0,0,,9.4,1,,0,0,,,,0@0@@@9.4@@@,weatherlink
000FE,2021-01-01 12:30:00,2.8,1004.2,-1.9,97,2.4,,0,,0,0,0,2.9,,,,,,10,1,,0,0,,,,0@0@@@10.0@@@,weatherlink
000FE,2021-01-01 13:00:00,2.6,1004.2,-1.8,96,2,,0,,0,0,0,2.9,0,0,0,0,,10.4,0,,0,0,,,,0@0@@@10.4@@@,weatherlink
000FE,2021-01-01 13:30:00,2.7,1004.1,-1.9,96,2.1,,0,,0,0,0,2.9,,,,,,10.6,0,,0,0,,,,0@0@@@10.6@@@,weatherlink
000FE,2021-01-01 14:00:00,2.3,1004.3,-1.1,96,1.7,,0,,0,0,0,2.9,0,1.8,0,0,,11.2,1.2,,0,0,,,,0@0@@@11.2@@@,weatherlink
000FE,2021-01-01 14:30:00,2.1,1004.4,-1,97,1.7,,0,,0,0,0,2.9,,,,,,11.6,0.8,,0,0,,,,0@0@@@11.6@@@,weatherlink
000FE,2021-01-01 15:00:00,1.9,1004.7,0.2,97,1.5,,0,,0,0,0,2.9,0,0,0,0,,12,0.8,,0,0,,,,0@0@@@12.0@@@,weatherlink
000FE,2021-01-01 15:30:00,1.6,1004.7,0.2,97,1.1,,0,,0,0,0,2.9,,,,,,12.4,1,,0,0,,,,0@0@@@12.4@@@,weatherlink
000FE,2021-01-01 16:00:00,0.9,1004.7,0.5,97,0.5,,0,,0,0,0,2.9,0,0,0,0,,12.8,1,,0,0,,,,0@0@@@12.8@@@,weatherlink
