station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FG,2016-11-05 15:50:00,12.4,999.9,,85,9.9,,4.1,21.6,14.8,248,10.8,16.3,,,,,,3.1,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 16:00:00,12.4,999.6,,82,9.4,,10.2,22,18.3,237,10.8,16.3,0.8,0,0,0,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 16:20:00,12.5,999.8,,80,9.1,,10.2,27.4,27.4,233,10.8,16.3,,,,,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 16:30:00,12.4,999.8,,82,9.4,,10.2,27.4,16.5,261,10.8,16.3,,,,,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 16:40:00,12.2,1000,,82,9.2,,7,27.4,14.8,46,10.8,16.3,,,,,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 16:50:00,12.1,1000.4,,83,9.3,,6.1,27.4,11.1,233,10.8,16.3,,,,,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:00:00,11.6,1000.4,,84,9,,6.1,27.4,20.9,344,10.8,16.3,0,0,0,0,,3.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:10:00,11.3,1000.9,,87,9.2,,7.8,27.4,14.1,19,10.8,16.3,,,,,,3.9,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:20:00,10.9,1001.2,,88,9,,8.1,20.9,12.9,350,10.8,16.3,,,,,,4.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:30:00,10.8,1001.2,,88,8.9,,6.5,20.9,13.7,2,10.8,16.3,,,,,,4.9,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:40:00,10.7,1001.2,,89,9,,7.6,20.9,12.9,306,10.7,16.3,,,,,,5.4,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 17:50:00,10.6,1001.6,,90,9,,5,20.9,5.7,294,10.6,16.3,,,,,,5.7,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 18:00:00,10.5,1001.6,1.7,90,8.9,,4.1,14.1,9.4,241,10.5,16.3,2.5,0,0,0,,5.9,,,,,,,,@@@@@@@,weatherlink
000FG,2016-11-05 18:10:00,10.5,1001.7,1.8,90,8.9,,4.1,13.7,6.8,351,10.5,16.3,,,,,,6.4,,,,,,,,@@@@@@@,weatherlink
