station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FI,2018-01-01 00:00:00,7.1,1017.6,,91,5.7,,1.6,,,125,7.1,7.4,2,1.8,1.8,0,,2,1.6,1.6,,,,,61,@@@7.4@2.0@@7.1@9.7,weatherlink
000FI,2018-01-01 00:30:00,6.9,1017.2,,88,5.1,,6.4,,,142,6.8,7.4,,,,,,2.4,0,1.6,,,,,,@@@7.4@2.4@@6.8@19.3,weatherlink
000FI,2018-01-01 01:00:00,6.7,1017.5,,89,5,,0,,,360,6.7,7.4,2.8,0,0,0,,2.8,0,0,,,,,,@@@7.4@2.8@@6.7@19.3,weatherlink
000FI,2018-01-01 01:30:00,6.6,1017.8,,90,5.1,,1.6,,,143,6.6,7.4,,,,,,2.8,0,0,,,,,,@@@7.4@2.8@@6.6@19.3,weatherlink
000FI,2018-01-01 02:00:00,6.7,1018,,90,5.2,,1.6,,,142,6.6,7.4,0,0,0,0,,2.8,0,0,,,,,,@@@7.4@2.8@@6.6@19.3,weatherlink
000FI,2018-01-01 02:30:00,6.9,1018.3,,89,5.2,,1.6,,,142,6.6,7.4,,,,,,2.8,0,0,,,,,,@@@7.4@2.8@@6.6@19.3,weatherlink
000FI,2018-01-01 03:00:00,6.6,1018.8,1.2,90,5.1,,1.6,,,177,6.6,7.4,0,2.8,0,0,,2.8,0,0,,,,,,@@@7.4@2.8@@6.6@19.3,weatherlink
000FI,2018-01-01 03:30:00,6.4,1018.8,1.2,90,4.9,,3.2,,,180,6.4,7.4,,,,,,2.8,0,0,,,,,,@@@7.4@2.8@@6.4@19.3,weatherlink
000FI,2018-01-01 04:00:00,6.4,1018.8,1.3,89,4.8,,4.8,,,164,6.3,7.4,0,0,0,0,,2.8,0,0,,,,,,@@@7.4@2.8@@6.3@19.3,weatherlink
000FI,2018-01-01 04:30:00,6.6,1019,1.5,88,4.8,,3.2,,,182,6.3,7.4,,,,,,2.8,0,0,,,,,,@@@7.4@2.8@@6.3@19.3,weatherlink
