station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FK,2016-11-13 22:50:00,10,1020.9,,69,4.4,,17.7,,32.2,307,8.7,11.9,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:00:00,9.9,1020.7,,69,4.4,,19.3,,38.6,331,8.7,11.9,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:10:00,10.1,1020.8,,68,4.4,,20.9,,41.8,327,9.9,10.1,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:20:00,10.1,1021.1,,67,4.4,,19.3,,37,329,9.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:30:00,10.1,1021.3,,67,4.4,,17.7,,32.2,295,9.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:40:00,10.1,1021.2,,67,3.9,,17.7,,32.2,323,9.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-13 23:50:00,10,1021.3,,67,3.9,,17.7,,29,313,9.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:00:00,9.9,1021.1,,67,3.9,,14.5,,29,301,9.8,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:10:00,9.7,1021.2,,68,3.9,,16.1,,20.9,302,9.7,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:20:00,9.7,1021.1,,68,3.9,,14.5,,22.5,312,9.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:30:00,9.7,1020.9,,67,3.9,,17.7,,32.2,330,9.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:40:00,9.7,1020.9,,67,3.9,,17.7,,32.2,320,9.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 00:50:00,9.7,1021,,67,3.9,,14.5,,30.6,274,9.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:00:00,9.6,1021.2,,67,3.9,,14.5,,29,309,9.6,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:10:00,9.6,1021.2,,67,3.9,,11.3,,24.1,336,9.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:20:00,9.4,1021.4,,71,4.4,,6.4,,17.7,340,9.4,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:30:00,8.3,1021.4,,76,4.4,,3.2,,6.4,78,8.3,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:40:00,7.8,1021.5,,79,4.4,,3.2,,4.8,152,7.8,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 01:50:00,7.4,1021.5,,81,4.4,,1.6,,4.8,237,7.4,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:00:00,7.3,1021.5,,82,4.4,,3.2,,6.4,115,7.3,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:10:00,7.1,1021.7,,83,4.4,,1.6,,4.8,201,7.1,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:20:00,6.8,1021.8,,83,3.9,,1.6,,4.8,185,6.8,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:30:00,6.7,1021.9,,84,4.4,,1.6,,4.8,185,6.7,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:40:00,6.5,1021.9,,85,4.4,,1.6,,3.2,185,6.5,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 02:50:00,6.4,1021.8,,85,3.9,,1.6,,3.2,194,6.4,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:00:00,6.4,1021.8,0.7,86,4.4,,1.6,,8,237,6.4,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:10:00,6.4,1021.9,0.8,85,3.9,,1.6,,3.2,237,6.4,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:20:00,6.3,1022,0.9,85,3.9,,,,3.2,187,6.3,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:30:00,6.2,1022.1,1,86,3.9,,1.6,,4.8,182,6.2,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:40:00,6.1,1022.3,1.2,86,3.9,,1.6,,3.2,182,6.1,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 03:50:00,6.1,1022.3,1.2,87,3.9,,1.6,,3.2,182,6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:00:00,6,1022.2,1,87,3.9,,1.6,,4.8,182,6,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:10:00,5.9,1022.4,1.2,87,3.9,,,,3.2,182,5.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:20:00,5.9,1022.5,1.3,87,3.9,,,,3.2,78,5.9,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:30:00,5.9,1022.7,1.5,87,3.9,,,,3.2,78,5.8,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:40:00,5.9,1022.7,1.5,87,3.9,,1.6,,6.4,100,5.8,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 04:50:00,5.9,1022.8,1.6,87,3.9,,,,3.2,98,5.8,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 05:00:00,5.8,1022.8,1.3,87,3.9,,,,,128,5.8,10.2,0,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 05:10:00,5.6,1023,1.5,87,3.9,,1.6,,4.8,186,5.6,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 05:20:00,5.6,1023.1,1.6,88,3.9,,,,1.6,186,5.5,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 05:30:00,5.5,1023.1,1.6,88,3.9,,,,3.2,186,5.5,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
000FK,2016-11-14 05:40:00,5.4,1023.3,1.8,88,3.3,,1.6,,4.8,78,5.4,10.2,,,,,,0,0,0,,,,,,@@@@0.0@@@,wlkIP
