station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FL,2016-11-19 10:00:00,6.9,1011.8,,89,5.6,,0,,,,3.6,7.1,0,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 10:10:00,7.4,1011.9,,88,5.6,,,,,,3.6,7.5,,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 10:20:00,7.7,1012,,87,5.6,,,,,,3.6,7.8,,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 10:30:00,7.7,1011.9,,88,6.1,,,,,,3.6,7.8,,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 10:40:00,7.9,1012,,90,6.7,,,,,,3.6,7.9,,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 10:50:00,7.8,1012,,88,6.1,,,,,,3.6,8.1,,,,,,0.4,0,0,,,,,,@@@@107.6@@@,wlkIP
000FL,2016-11-19 11:00:00,7.6,1011.9,,90,6.1,,,,,,3.6,8.1,0.4,,,,,0.8,2,2,,,,,61,@@@@108.0@@@,wlkIP
000FL,2016-11-19 11:10:00,7.4,1011.5,,89,5.6,,,,,,3.6,8.1,,,,,,1.2,2.6,2.6,,,,,63,@@@@108.4@@@,wlkIP
000FL,2016-11-19 11:20:00,7.8,1011.3,,91,6.7,,,,,,3.6,8.1,,,,,,1.2,0.8,0.8,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 11:30:00,8.7,1011,,92,7.8,,,,,,3.6,8.7,,,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 11:40:00,8.7,1010.9,,90,7.2,,,,,,3.6,9,,,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 11:50:00,8.7,1010.7,,91,7.2,,,,,,3.6,9,,,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 12:00:00,8.6,1010.4,,90,7.2,,,,,,3.6,9,0.4,0.8,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 12:10:00,9,1010.3,,91,7.8,,,,,,3.6,9,,,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
000FL,2016-11-19 12:20:00,9.2,1009.9,,87,7.2,,,,,,3.6,9.2,,,,,,1.2,0,0,,,,,,@@@@108.4@@@,wlkIP
