station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FM,2016-11-19 14:40:00,7.7,1007.8,,77,3.9,,8,,,184,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 14:50:00,7.7,1007.8,,78,4.1,,8,,,185,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:00:00,7.6,1007.8,,80,4.3,,9.7,,,190,2.7,8.7,0,0,0,0,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:10:00,7.4,1007.7,,81,4.4,,8,,,186,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:20:00,7.3,1007.7,,81,4.3,,8,,,192,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:30:00,7.2,1007.7,,81,4.1,,8,,,185,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:40:00,7.1,1007.6,,82,4.2,,6.4,,,186,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 15:50:00,6.9,1007.5,,83,4.3,,6.4,,,185,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:00:00,6.8,1007.4,,83,4.1,,6.4,,,184,2.7,8.7,0,0,0,0,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:10:00,6.7,1007.3,,84,4.2,,3.2,,,184,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:20:00,6.6,1007.3,,85,4.2,,3.2,,,185,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:30:00,6.5,1007.1,,86,4.3,,1.6,,,184,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:40:00,6.4,1006.9,,86,4.3,,1.6,,,183,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 16:50:00,6.4,1006.8,,87,4.4,,3.2,,,177,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:00:00,6.4,1006.8,-1,88,4.5,,3.2,,,188,2.7,8.7,0,0,0,0,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:10:00,6.5,1006.7,-1.1,87,4.5,,3.2,,,178,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:20:00,6.6,1006.7,-1.1,87,4.5,,3.2,,,183,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:30:00,6.6,1006.5,-1.3,87,4.6,,3.2,,,183,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:40:00,6.7,1006.5,-1.3,86,4.5,,3.2,,,178,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 17:50:00,6.7,1006.5,-1.3,86,4.5,,4.8,,,186,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 18:00:00,6.7,1006.5,-1.3,86,4.5,,3.2,,,187,2.7,8.7,0,0,0,0,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 18:10:00,6.8,1006.3,-1.5,86,4.6,,3.2,,,182,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
000FM,2016-11-19 18:20:00,6.8,1006.2,-1.6,85,4.5,,3.2,,,186,2.7,8.7,,,,,,0,0,0,,,,,,@@@15.1@565.6@@-1.8@24.1,weatherlink
