station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FP,2020-01-01 00:00:00,4.2,1033.9,,96,3.6,,5,,10,144,4.2,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 00:30:00,4,1033.83,,96,3.4,,1,,6,0,4,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 01:00:00,4,1033.8,,96,3.4,,1,,8,154,4,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 01:30:00,4,1033.73,,96,3.4,,3,,8,133,3.9,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 02:00:00,4,1033.7,,96,3.4,,3,,6,117,3.9,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 02:30:00,3.9,1033.63,,96,3.4,,3,,6,112,3.9,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 03:00:00,4,1033.86,,96,3.4,,3,,6,111,3.9,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 03:30:00,3.9,1033.63,-0.3,96,3.3,,4,,10,110,3.9,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 04:00:00,3.8,1033.49,-0.3,97,3.4,,5,,8,101,3.8,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 04:30:00,3.8,1033.63,-0.2,97,3.4,,6,,10,109,3.8,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 05:00:00,3.9,1033.53,-0.2,97,3.5,,5,,10,120,3.8,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 05:30:00,3.9,1033.56,-0.1,96,3.4,,3,,6,136,3.8,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 06:00:00,3.9,1033.59,-0.3,97,3.5,,4,,10,112,3.8,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 06:30:00,3.9,1033.93,0.1,97,3.5,,4,,10,133,3.8,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 07:00:00,3.9,1033.9,0.4,96,3.4,,5,,10,151,3.8,4.3,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 07:30:00,3.9,1033.83,0.3,96,3.3,,5,,10,148,3.8,4.3,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 08:00:00,3.9,1034.27,0.7,96,3.4,,5,,10,147,3.8,4.3,0,0,0,0,,0,0,,5,0,,,,0@0.0@5@@@@@,weatherlink
000FP,2020-01-01 08:30:00,3.9,1034.54,1,96,3.4,,5,,11,153,3.8,4.3,,,,,,0,0,,14,0,,,,0@0.0@14@@@@@,weatherlink
000FP,2020-01-01 09:00:00,4,1034.81,1.2,96,3.4,,5,,6,145,3.8,4.3,0,0,0,0,,0,0,,21,0,,,,0@0.0@21@@@@@,weatherlink
000FP,2020-01-01 09:30:00,4.1,1034.78,1.2,97,3.6,,4,,10,157,3.8,4.3,,,,,,0,0,,39,0,,,,0@0.0@39@@@@@,weatherlink
000FP,2020-01-01 10:00:00,4.1,1034.91,1,97,3.7,,7,,11,145,3.8,4.3,0,0,0,0,,0,0,,42,0,,,,0@0.0@51@@@@@,weatherlink
000FP,2020-01-01 10:30:00,4.2,1034.81,0.9,96,3.6,,2,,10,156,3.8,4.3,,,,,,0.2,0,,49,0,,,,0@0.0@56@@@@@,weatherlink
000FP,2020-01-01 11:00:00,4.2,1034.51,0.2,96,3.6,,9,,13,140,3.8,4.3,0.2,0,0,0,,0.2,0,,54,0,,,,0@0.0@69@@@@@,weatherlink
000FP,2020-01-01 11:30:00,4.4,1034,-0.3,97,4,,9,,13,154,3.8,4.4,,,,,,0.2,0,,76,0,,,,0@0.0@77@@@@@,weatherlink
000FP,2020-01-01 12:00:00,4.6,1033.83,-1,96,4,,9,,14,153,3.8,4.6,0,0.2,0.2,0,,0.2,0,,63,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 12:30:00,4.5,1033.53,-1.3,96,3.9,,7,,11,150,3.8,4.7,,,,,,0.2,0,,58,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 13:00:00,4.7,1033.32,-1.6,96,4.1,,6,,13,151,3.8,4.7,0,0,0,0,,0.2,0,,44,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 13:30:00,4.8,1032.81,-2.1,96,4.2,,7,,13,158,3.8,4.8,,,,,,0.2,0,,47,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 14:00:00,4.9,1032.71,-1.8,96,4.3,,2,,13,162,3.8,4.9,0,0,0,0,,0.2,0,,42,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 14:30:00,4.8,1033.02,-1.5,96,4.2,,4,,10,152,3.8,4.9,,,,,,0.2,0,,23,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 15:00:00,4.8,1033.02,-0.8,96,4.2,,4,,8,153,3.8,4.9,0,0,0,0,,0.2,0,,12,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 15:30:00,4.7,1033.19,-0.6,96,4.1,,6,,10,136,3.8,4.9,,,,,,0.2,0,,7,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 16:00:00,4.7,1033.32,,96,4.1,,5,,6,153,3.8,4.9,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 16:30:00,4.7,1033.19,-0.1,96,4.1,,0,,3,142,3.8,4.9,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 17:00:00,4.7,1033.15,0.4,96,4.1,,4,,10,155,3.8,4.9,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 17:30:00,4.7,1033.22,0.5,96,4.1,,3,,8,152,3.8,4.9,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 18:00:00,4.8,1033.19,0.2,97,4.3,,9,,11,150,3.8,4.9,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 18:30:00,4.8,1033.12,0.1,97,4.4,,7,,10,136,3.8,4.9,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 19:00:00,4.8,1033.12,-0.2,96,4.2,,1,,2,131,3.8,4.9,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 19:30:00,4.9,1032.71,-0.6,97,4.5,,0,,3,0,3.8,4.9,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 20:00:00,5,1032.54,-0.6,97,4.6,,6,,10,148,3.8,5.1,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 20:30:00,5.1,1032.41,-0.7,97,4.6,,1,,6,155,3.8,5.1,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 21:00:00,5.1,1032.51,-0.7,97,4.7,,0,,3,0,3.8,5.1,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 21:30:00,5.1,1032.58,-0.6,97,4.6,,7,,10,149,3.8,5.1,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 22:00:00,5.1,1032.51,-0.6,97,4.7,,4,,11,146,3.8,5.1,0,0,0,0,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 22:30:00,5,1032.48,-0.6,97,4.6,,8,,14,157,3.8,5.1,,,,,,0.2,0,,0,0,,,,0@0.0@83@@@@@,weatherlink
000FP,2020-01-01 23:00:00,5.3,1032.41,-0.1,97,4.8,,2,,8,154,5.3,5.3,,0,0,0,0.2,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-01 23:30:00,5.3,1032.21,-0.3,97,4.9,,7,,10,151,5.3,5.4,,,,,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
000FP,2020-01-02 00:00:00,5.4,1032,,97,5,,4,,8,151,5.3,5.5,0,0,0,0,,0,0,,0,0,,,,0@0.0@0@@@@@,weatherlink
