station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FS,2016-12-23 00:50:00,5.1,1035.3,,98,5,,,,1.6,199,5.1,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:00:00,5.1,1035.2,,98,5,,,,1.6,199,5.1,5.2,0,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:10:00,5.1,1035.2,,98,5,,,,1.6,199,5,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:20:00,5.1,1035.2,,98,5,,,,1.6,199,5,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:30:00,5,1035.2,,98,5,,1.6,,1.6,199,5,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:40:00,5,1035.2,,98,5,,,,3.2,199,5,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 01:50:00,5,1035.3,,98,5,,,,1.6,199,5,5.2,,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 02:00:00,5,1035.4,,98,5,,,,,199,5,5.2,0,,,,,0,0,0,,,,,,@@@@4.2@@@,wlkIP
000FS,2016-12-23 02:10:00,5,1035.5,,98,5,,,,,199,4.9,5.2,,,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 02:20:00,5,1035.6,,98,5,,,,1.6,199,4.9,5.2,,,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 02:30:00,5,1035.7,,98,5,,,,3.2,329,4.9,5.2,,,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 02:40:00,5,1035.6,,98,5,,1.6,,4.8,331,4.9,5.2,,,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 02:50:00,5,1035.7,,98,5,,1.6,,6.4,355,4.9,5.2,,,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 03:00:00,4.9,1035.5,0.2,98,4.4,,3.2,,4.8,17,4.9,5.2,0.2,0.2,,,,0.2,0,0,,,,,,@@@@4.4@@@,wlkIP
000FS,2016-12-23 03:10:00,4.8,1035.5,0.2,98,4.4,,3.2,,6.4,343,4.8,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 03:20:00,4.7,1035.4,0.1,98,4.4,,3.2,,6.4,29,4.7,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 03:30:00,4.7,1035.4,0.1,98,4.4,,3.2,,6.4,19,4.6,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 03:40:00,4.6,1035.4,0.1,98,4.4,,3.2,,6.4,351,4.6,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 03:50:00,4.6,1035.3,,98,4.4,,1.6,,4.8,60,4.6,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:00:00,4.5,1035.2,,98,4.4,,1.6,,4.8,100,4.5,5.2,0.2,0.4,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:10:00,4.4,1035.1,-0.1,98,4.4,,1.6,,4.8,100,4.4,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:20:00,4.4,1035,-0.2,98,4.4,,1.6,,3.2,100,4.4,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:30:00,4.4,1035,-0.2,98,3.9,,3.2,,4.8,130,4.4,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:40:00,4.4,1034.9,-0.3,98,3.9,,3.2,,4.8,134,4.3,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 04:50:00,4.3,1034.9,-0.3,98,3.9,,3.2,,6.4,126,4.3,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:00:00,4.2,1035,-0.4,98,3.9,,3.2,,6.4,113,4.2,5.2,0,0.4,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:10:00,4.2,1035,-0.4,98,3.9,,3.2,,4.8,123,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:20:00,4.2,1034.9,-0.5,98,3.9,,1.6,,3.2,114,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:30:00,4.3,1035,-0.4,98,3.9,,1.6,,3.2,90,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:40:00,4.3,1035.2,-0.2,98,3.9,,1.6,,4.8,30,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 05:50:00,4.3,1035.3,-0.1,98,3.9,,1.6,,4.8,35,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:00:00,4.3,1035.3,-0.2,98,3.9,,1.6,,3.2,32,4.2,5.2,0,0.2,0.4,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:10:00,4.3,1035.4,-0.1,98,3.9,,1.6,,4.8,22,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:20:00,4.2,1035.5,,98,3.9,,3.2,,4.8,12,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:30:00,4.2,1035.5,,98,3.9,,1.6,,4.8,355,4.2,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:40:00,4.1,1035.5,,98,3.9,,3.2,,4.8,14,4.1,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 06:50:00,4.1,1035.5,,98,3.9,,1.6,,4.8,55,4.1,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 07:00:00,4.1,1035.4,0.2,98,3.9,,1.6,,3.2,55,4.1,5.2,0,,0.4,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 07:10:00,4.1,1035.4,0.2,98,3.9,,1.6,,3.2,55,4.1,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 07:20:00,4.1,1035.3,0.1,98,3.9,,1.6,,3.2,55,4.1,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 07:30:00,4.1,1035.2,,98,3.9,,1.6,,3.2,55,4.1,5.2,,,,,,0.4,0,0,,,,,,@@@@4.6@@@,wlkIP
000FS,2016-12-23 07:40:00,4.1,1035.2,,98,3.9,,1.6,,4.8,80,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 07:50:00,4.3,1035.1,-0.1,98,3.9,,4.8,,6.4,91,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:00:00,4.4,1035.3,0.3,98,3.9,,4.8,,6.4,107,4.1,5.2,0.2,0.2,0.6,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:10:00,4.4,1035.3,0.3,98,4.4,,3.2,,6.4,107,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:20:00,4.5,1035.4,0.4,98,4.4,,3.2,,4.8,115,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:30:00,4.6,1035.4,0.4,98,4.4,,1.6,,4.8,109,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:40:00,4.7,1035.5,0.5,98,4.4,,3.2,,4.8,134,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 08:50:00,4.8,1035.5,0.5,98,4.4,,3.2,,4.8,126,4.1,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:00:00,4.8,1035.7,0.4,98,4.4,,3.2,,6.4,136,4,5.2,0,0.2,0.4,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:10:00,4.9,1035.7,0.4,98,4.4,,1.6,,4.8,101,4,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:20:00,5,1035.9,0.6,98,5,,1.6,,4.8,163,4,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:30:00,5.1,1035.9,0.6,98,5,,3.2,,8,209,4,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:40:00,5.2,1036,0.7,98,5,,3.2,,4.8,198,4,5.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 09:50:00,5.2,1036.1,0.8,98,5,,3.2,,6.4,211,4,5.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:00:00,5.2,1036,0.6,98,5,,1.6,,3.2,196,4,5.3,0,0.2,0.2,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:10:00,5.3,1035.8,0.4,98,5,,1.6,,3.2,169,4,5.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:20:00,5.4,1035.7,0.3,98,5,,3.2,,4.8,178,4,5.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:30:00,5.5,1035.6,0.2,98,5,,1.6,,4.8,202,4,5.5,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:40:00,5.7,1035.6,0.2,98,5.6,,3.2,,4.8,189,4,5.7,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 10:50:00,5.8,1035.4,,98,5.6,,3.2,,6.4,199,4,5.8,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:00:00,5.9,1035.3,,97,5.6,,3.2,,8,228,4,5.9,0,,0.2,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:10:00,5.9,1035.2,-0.1,97,5.6,,4.8,,8,209,4,5.9,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:20:00,6,1035,-0.3,97,5.6,,4.8,,11.3,171,4,6.1,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:30:00,6.1,1034.7,-0.6,96,5.6,,4.8,,12.9,173,4,6.1,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:40:00,6.1,1034.6,-0.7,96,5.6,,4.8,,12.9,156,4,6.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 11:50:00,6.1,1034.4,-0.9,96,5.6,,4.8,,12.9,190,4,6.2,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:00:00,6.2,1034.3,-1.4,96,5.6,,4.8,,9.7,196,4,6.2,0,,0.2,0.6,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:10:00,6.2,1034.2,-1.5,96,5.6,,6.4,,11.3,233,4,6.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:20:00,6.1,1034.2,-1.5,95,5.6,,8,,12.9,157,4,6.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:30:00,6.2,1034.1,-1.6,96,5.6,,8,,11.3,207,4,6.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:40:00,6.2,1034,-1.7,95,5.6,,6.4,,12.9,216,4,6.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 12:50:00,6.3,1033.8,-1.9,96,5.6,,6.4,,11.3,186,4,6.3,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:00:00,6.2,1033.7,-2.3,96,5.6,,4.8,,9.7,241,4,6.3,0,,0.2,0.6,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:10:00,6.4,1033.8,-2.2,95,5.6,,4.8,,9.7,232,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:20:00,6.3,1033.7,-2.3,95,5.6,,4.8,,11.3,192,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:30:00,6.3,1033.7,-2.3,95,5.6,,4.8,,9.7,183,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:40:00,6.3,1033.6,-2.4,96,5.6,,6.4,,11.3,163,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 13:50:00,6.2,1033.6,-2.4,96,5.6,,6.4,,12.9,184,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:00:00,6.1,1033.5,-1.8,96,5.6,,6.4,,9.7,229,4,6.4,0,,,0.6,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:10:00,6.2,1033.6,-1.7,96,5.6,,6.4,,12.9,222,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:20:00,6.2,1033.7,-1.6,95,5.6,,6.4,,12.9,182,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:30:00,6.1,1033.7,-1.6,95,5.6,,6.4,,12.9,237,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:40:00,6.1,1033.6,-1.7,94,5,,6.4,,11.3,251,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 14:50:00,6.3,1033.5,-1.8,94,5.6,,6.4,,12.9,217,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:00:00,6.4,1033.5,-0.8,94,5.6,,4.8,,8,194,4,6.4,0,,,0.4,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:10:00,6.4,1033.5,-0.8,93,5.6,,4.8,,11.3,193,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:20:00,6.3,1033.5,-0.8,92,5,,6.4,,11.3,246,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:30:00,6.2,1033.7,-0.6,92,5,,6.4,,12.9,218,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:40:00,6.2,1033.6,-0.7,92,5,,4.8,,11.3,213,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 15:50:00,5.9,1033.5,-0.8,92,5,,4.8,,8,181,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:00:00,5.6,1033.6,-0.1,93,4.4,,4.8,,8,205,4,6.4,0,,,0.2,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:10:00,5.3,1033.8,0.1,94,4.4,,4.8,,6.4,217,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:20:00,5.2,1034,0.3,94,4.4,,4.8,,6.4,208,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:30:00,5.1,1034.1,0.4,94,4.4,,3.2,,6.4,200,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:40:00,5,1034.3,0.6,94,3.9,,3.2,,6.4,231,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 16:50:00,5.1,1034.4,0.7,95,4.4,,4.8,,6.4,234,4,6.4,,,,,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
000FS,2016-12-23 17:00:00,5.1,1034.5,1,95,4.4,,4.8,,6.4,245,4,6.4,0,,,0.2,,0.6,0,0,,,,,,@@@@4.8@@@,wlkIP
