station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FT,2016-12-28 13:00:00,0.8,1039.2,,87,-1.1,,,,4.8,95,-1.6,3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 13:10:00,0.8,1039.2,,88,-1.1,,3.2,,6.4,98,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 13:20:00,0.7,1039.1,,89,-1.1,,1.6,,6.4,121,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 13:30:00,0.5,1038.8,,89,-1.1,,,,1.6,121,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 13:40:00,0.4,1038.8,,89,-1.1,,,,1.6,121,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 13:50:00,0.4,1038.8,,90,-1.1,,,,1.6,121,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:00:00,0.3,1038.7,,90,-1.1,,,,1.6,121,-1.6,3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:10:00,0.2,1038.6,,90,-1.1,,,,3.2,159,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:20:00,0.1,1038.8,,91,-1.1,,1.6,,3.2,159,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:30:00,-0.1,1038.9,,91,-1.1,,1.6,,4.8,257,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:40:00,-0.2,1038.8,,91,-1.7,,1.6,,3.2,257,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 14:50:00,0.3,1038.9,,90,-1.1,,1.6,,6.4,309,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:00:00,1.9,1038.9,,78,-1.7,,4.8,,14.5,60,-1.6,3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:10:00,2.5,1038.7,,75,-1.7,,3.2,,9.7,279,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:20:00,2.7,1038.6,,74,-1.7,,3.2,,8,241,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:30:00,2.4,1038.7,,75,-1.7,,1.6,,4.8,333,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:40:00,2.2,1038.6,,77,-1.7,,3.2,,4.8,261,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 15:50:00,2.1,1038.5,,76,-1.7,,3.2,,4.8,248,-1.6,3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:00:00,2.6,1038.5,-0.7,75,-1.7,,1.6,,9.7,182,-1.6,3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:10:00,3.1,1038.5,-0.7,72,-1.7,,3.2,,6.4,288,-1.6,3.1,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:20:00,3.3,1038.5,-0.7,73,-1.1,,3.2,,8,333,-1.6,3.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:30:00,3.3,1038.5,-0.7,72,-1.1,,3.2,,11.3,290,-1.6,3.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:40:00,3.6,1038.4,-0.8,72,-1.1,,3.2,,12.9,348,-1.6,3.6,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 16:50:00,3.4,1038.4,-0.8,74,-0.6,,3.2,,9.7,271,-1.6,3.6,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:00:00,3.7,1038.3,-0.4,72,-1.1,,1.6,,4.8,355,-1.6,3.8,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:10:00,3.8,1038.4,-0.3,72,-1.1,,3.2,,12.9,281,-1.6,3.8,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:20:00,3.7,1038.4,-0.3,73,-0.6,,3.2,,8,333,-1.6,3.8,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:30:00,4.2,1038.3,-0.4,71,-0.6,,3.2,,12.9,308,-1.6,4.2,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:40:00,4.2,1038.4,-0.3,70,-0.6,,3.2,,14.5,348,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 17:50:00,4.3,1038.4,-0.3,70,-0.6,,3.2,,11.3,355,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:00:00,4.1,1038.4,-0.5,70,-1.1,,3.2,,6.4,360,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:10:00,4.1,1038.4,-0.5,71,-0.6,,3.2,,12.9,360,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:20:00,4.1,1038.4,-0.5,71,-0.6,,3.2,,12.9,332,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:30:00,3.9,1038.5,-0.4,72,-0.6,,3.2,,8,289,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:40:00,4.1,1038.5,-0.4,71,-0.6,,3.2,,12.9,306,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 18:50:00,4.1,1038.4,-0.5,72,-0.6,,1.6,,6.4,313,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:00:00,3.9,1038.4,-0.1,71,-1.1,,3.2,,6.4,328,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:10:00,3.9,1038.4,-0.1,71,-1.1,,3.2,,12.9,5,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:20:00,4,1038.3,-0.2,70,-1.1,,1.6,,4.8,290,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:30:00,3.8,1038.3,-0.2,72,-1.1,,3.2,,9.7,28,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:40:00,3.8,1038.1,-0.4,71,-1.1,,3.2,,6.4,277,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 19:50:00,3.7,1038.1,-0.4,72,-1.1,,3.2,,4.8,287,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:00:00,3.7,1038.2,-0.1,72,-1.1,,3.2,,4.8,315,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:10:00,3.7,1038.2,-0.1,72,-1.1,,3.2,,6.4,289,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:20:00,3.5,1038.1,-0.2,72,-1.1,,3.2,,6.4,327,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:30:00,3.4,1038.1,-0.2,73,-1.1,,3.2,,6.4,315,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:40:00,3.4,1037.9,-0.4,73,-1.1,,3.2,,8,334,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 20:50:00,3.3,1037.9,-0.4,73,-1.1,,1.6,,4.8,319,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:00:00,3.1,1037.8,-0.6,74,-1.1,,1.6,,4.8,290,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:10:00,2.8,1037.8,-0.6,75,-1.1,,1.6,,4.8,263,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:20:00,2.6,1037.6,-0.8,76,-1.1,,3.2,,4.8,267,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:30:00,2.7,1037.7,-0.7,75,-1.1,,3.2,,6.4,270,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:40:00,2.8,1037.7,-0.7,75,-1.1,,3.2,,6.4,299,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 21:50:00,2.6,1037.7,-0.7,75,-1.7,,1.6,,4.8,288,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:00:00,2.4,1037.7,-0.7,75,-1.7,,1.6,,3.2,287,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:10:00,2.2,1037.6,-0.8,76,-1.7,,1.6,,4.8,289,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:20:00,2.1,1037.7,-0.7,77,-1.7,,1.6,,3.2,260,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:30:00,1.7,1037.7,-0.7,78,-1.7,,1.6,,4.8,277,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:40:00,1.8,1037.6,-0.8,78,-1.7,,1.6,,3.2,275,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 22:50:00,1.6,1037.7,-0.7,78,-1.7,,3.2,,4.8,272,-1.6,4.3,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:00:00,1.4,1037.6,-0.6,79,-1.7,,3.2,,4.8,257,-1.6,4.3,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:10:00,1.3,1037.4,-0.8,79,-1.7,,1.6,,3.2,298,1.3,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:20:00,1.2,1037.4,-0.8,79,-2.2,,1.6,,4.8,263,1.2,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:30:00,0.9,1037.4,-0.8,80,-2.2,,1.6,,3.2,263,0.9,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:40:00,0.6,1037.3,-0.9,81,-2.2,,1.6,,3.2,264,0.6,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-28 23:50:00,0.5,1037.2,-1,81,-2.2,,1.6,,3.2,264,0.5,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:00:00,0.5,1037.1,,81,-2.2,,1.6,,3.2,264,0.4,1.4,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:10:00,0.5,1037.2,,82,-2.2,,1.6,,3.2,264,0.4,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:20:00,0.4,1037.1,,81,-2.2,,1.6,,3.2,264,0.4,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:30:00,0.1,1037,,83,-2.2,,1.6,,3.2,264,0.1,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:40:00,0,1037,,83,-2.8,,1.6,,4.8,264,-0.1,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 00:50:00,-0.1,1036.9,,83,-2.8,,1.6,,4.8,265,-0.1,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 01:00:00,-0.1,1036.8,,84,-2.2,,1.6,,3.2,265,-0.1,1.4,0,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 01:10:00,-0.1,1036.7,,84,-2.2,,1.6,,3.2,265,-0.1,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 01:20:00,-0.3,1036.7,,84,-2.8,,1.6,,3.2,265,-0.3,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 01:30:00,-0.4,1036.7,,85,-2.8,,1.6,,3.2,265,-0.4,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
000FT,2016-12-29 01:40:00,-0.6,1036.7,,85,-2.8,,1.6,,3.2,265,-0.6,1.4,,,,,,0,0,0,,,,,,@@@@10.6@@@,wlkIP
