station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FX,2017-01-04 18:00:00,-0.2,1022.9,,88,-2,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 18:30:00,-0.3,1022.8,,89,-1.9,,0,,,173,-2.6,-0.2,,,,,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 19:00:00,-0.4,1022.6,,90,-1.8,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 19:30:00,-0.4,1022.6,,91,-1.7,,0,,,173,-2.6,-0.2,,,,,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 20:00:00,-0.4,1022.7,,91,-1.7,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 20:30:00,-0.4,1022.8,,91,-1.7,,0,,,173,-2.6,-0.2,,,,,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 21:00:00,-0.4,1023.2,0.3,92,-1.5,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 21:30:00,-0.3,1023.2,0.3,92,-1.5,,0,,,173,-2.6,-0.2,,,,,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 22:00:00,-0.2,1023.2,0.6,92,-1.4,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 22:30:00,-0.3,1023.2,0.6,92,-1.5,,0,,,173,-2.6,-0.2,,,,,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 23:00:00,-0.3,1023.3,0.6,93,-1.3,,0,,,173,-2.6,-0.2,0,0,0,0,,0,0,0,0,,,,,@@369@0.7@0.6@0.66@-3.6@17.7,weatherlink
000FX,2017-01-04 23:30:00,-0.3,1023.2,0.5,93,-1.3,,0,,,173,-0.3,-0.3,,,,,,0,0,0,0,,,,,@@0@0.7@0.6@0.76@-3.6@0.0,weatherlink
000FX,2017-01-05 00:00:00,-0.3,1023.2,,93,-1.3,,0,,,173,-0.3,-0.3,0,0,0,0,,0,0,0,0,,,,,@@0@0.7@0.6@0.76@-3.6@0.0,weatherlink
000FX,2017-01-05 00:30:00,-0.2,1023.2,,93,-1.2,,0,,,173,-0.3,-0.2,,,,,,0,0,0,0,,,,,@@0@0.7@0.6@0.76@-3.6@0.0,weatherlink
