station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000FZ,2021-01-01 00:00:00,-0.1,1007.1,,93,-1.1,,0,,0,355,-0.2,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.2@0.0,weatherlink
000FZ,2021-01-01 00:10:00,-0.2,1007.1,,93,-1.2,,0,,0,355,-0.2,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.2@0.0,weatherlink
000FZ,2021-01-01 00:20:00,-0.3,1007.2,,93,-1.3,,0,,0,355,-0.3,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.3@0.0,weatherlink
000FZ,2021-01-01 00:30:00,-0.4,1007.1,,94,-1.2,,0,,0,355,-0.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.4@0.0,weatherlink
000FZ,2021-01-01 00:40:00,-0.3,1007.1,,94,-1.2,,0,,0,355,-0.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.4@0.0,weatherlink
000FZ,2021-01-01 00:50:00,-0.4,1007.1,,94,-1.2,,0,,0,355,-0.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.4@0.0,weatherlink
000FZ,2021-01-01 01:00:00,-0.6,1007.2,,94,-1.5,,0,,0,355,-0.6,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.6@0.0,weatherlink
000FZ,2021-01-01 01:10:00,-0.7,1007.3,,94,-1.6,,0,,0,355,-0.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.7@0.0,weatherlink
000FZ,2021-01-01 01:20:00,-0.9,1007.3,,94,-1.8,,0,,0,355,-0.9,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-0.9@0.0,weatherlink
000FZ,2021-01-01 01:30:00,-1.4,1007.5,,93,-2.4,,0,,0,355,-1.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.4@0.0,weatherlink
000FZ,2021-01-01 01:40:00,-1.7,1007.6,,93,-2.6,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 01:50:00,-1.7,1007.7,,94,-2.5,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:00:00,-1.4,1007.7,,94,-2.2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:10:00,-1.1,1007.7,,94,-2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:20:00,-0.9,1007.8,,95,-1.6,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:30:00,-1.3,1007.9,,94,-2.2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:40:00,-1.5,1007.9,,94,-2.3,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 02:50:00,-1.1,1007.8,,95,-1.8,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:00:00,-0.7,1007.8,0.7,95,-1.4,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:10:00,-0.5,1007.8,0.7,95,-1.2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:20:00,-1.2,1007.8,0.7,94,-2.1,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:30:00,-1.3,1007.9,0.8,95,-2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:40:00,-1.3,1007.9,0.8,95,-2,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 03:50:00,-1.4,1007.8,0.7,95,-2.1,,0,,0,355,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 04:00:00,-1.5,1007.8,0.6,95,-2.2,,0,,0,41,-1.7,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.7@0.0,weatherlink
000FZ,2021-01-01 04:10:00,-1.8,1007.8,0.6,95,-2.5,,0,,0,41,-1.8,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.8@0.0,weatherlink
000FZ,2021-01-01 04:20:00,-1.9,1007.7,0.5,95,-2.6,,0,,0,41,-1.9,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-1.9@0.0,weatherlink
000FZ,2021-01-01 04:30:00,-2,1007.7,0.5,95,-2.7,,0,,0,41,-2,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.0@0.0,weatherlink
000FZ,2021-01-01 04:40:00,-2.2,1007.8,0.6,95,-2.9,,0,,0,41,-2.2,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.2@0.0,weatherlink
000FZ,2021-01-01 04:50:00,-2.3,1007.8,0.6,95,-3,,0,,0,41,-2.3,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.3@0.0,weatherlink
000FZ,2021-01-01 05:00:00,-2.3,1007.7,,95,-3,,0,,0,41,-2.3,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.3@0.0,weatherlink
000FZ,2021-01-01 05:10:00,-2.4,1007.7,,95,-3.1,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 05:20:00,-2.4,1007.6,-0.1,95,-3.1,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 05:30:00,-2.3,1007.7,,95,-3,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 05:40:00,-2.3,1007.7,,95,-3,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 05:50:00,-2.4,1007.8,0.1,95,-3.1,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 06:00:00,-2.4,1007.8,,95,-3.1,,0,,0,41,-2.4,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.4@0.0,weatherlink
000FZ,2021-01-01 06:10:00,-2.5,1007.9,0.1,95,-3.2,,0,,0,41,-2.5,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.5@0.0,weatherlink
000FZ,2021-01-01 06:20:00,-2.6,1008,0.2,95,-3.3,,0,,0,41,-2.6,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.6@0.0,weatherlink
000FZ,2021-01-01 06:30:00,-2.3,1008.1,0.3,95,-3,,0,,0,41,-2.6,0.5,,,,,,,,,0,,,,,@@0@0.5@0.0@0.00@-2.6@0.0,weatherlink
