station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GD,2018-04-16 03:30:00,16.9,1008,,50,6.4,,8,,,284,15.7,20.1,,,,,,0,0,0,,,,,,@@@20.9@324.4@@8.9@30.6,weatherlink
000GD,2018-04-22 06:00:00,18.1,1016.7,,52,8.1,,1.6,,,360,16.8,19.8,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@12.9,weatherlink
000GD,2018-04-22 07:30:00,18.2,1017.3,,70,12.7,,8,,,360,16.8,19.8,,,,,,0,0,0,,,,,,@@@29.1@324.4@@8.9@12.9,weatherlink
000GD,2018-04-22 08:00:00,19,1017.5,,66,12.5,,4.8,,,360,16.8,19.8,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@12.9,weatherlink
000GD,2018-04-22 08:30:00,19.6,1017.7,,68,13.5,,4.8,,,206,16.8,20,,,,,,0,0,0,,,,,,@@@29.1@324.4@@8.9@12.9,weatherlink
000GD,2018-04-22 10:00:00,19.2,1017.6,0.3,81,15.9,,4.8,,,360,16.8,20,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@19.3,weatherlink
000GD,2018-04-22 14:00:00,19.3,1016.7,,80,15.7,,6.4,,,360,16.8,20,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@19.3,weatherlink
000GD,2018-04-22 16:00:00,18.9,1016.6,,81,15.6,,4.8,,,360,16.8,20,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@19.3,weatherlink
000GD,2018-04-23 12:00:00,19.3,1018.2,,78,15.3,,6.4,,,360,14.9,19.6,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@17.7,weatherlink
000GD,2018-04-24 14:00:00,17.6,1018,,88,15.6,,9.7,,,360,16.9,17.7,0,0,0,0,,0,0,0,,,,,,@@@29.1@324.4@@8.9@25.7,weatherlink
000GD,2018-05-11 15:00:00,20.8,1015.6,,76,16.4,,4.8,,,170,16.1,20.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@329.6@@13.0@19.3,weatherlink
000GD,2018-05-11 16:00:00,19.7,1015.7,,79,15.9,,3.2,,,360,16.1,20.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@329.6@@13.0@19.3,weatherlink
000GD,2018-05-11 19:00:00,18.6,1016.1,0.4,84,15.8,,3.2,,,360,16.1,20.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@329.6@@13.0@19.3,weatherlink
000GD,2018-05-12 12:00:00,19.7,1015.5,,77,15.5,,3.2,,,360,16.1,19.7,0,0,0,0,,0,0,0,,,,,,@@@27.2@329.6@@13.0@12.9,weatherlink
000GD,2018-05-12 22:30:00,18.3,1013.1,,81,15,,6.4,,,360,18.3,18.4,,,,,,0,0,0,,,,,,@@@27.2@329.6@@13.0@9.7,weatherlink
000GD,2018-05-13 12:00:00,18.6,1010.3,,78,14.6,,16.1,,,360,17.1,19.8,0,0,0,0,,0,0,0,,,,,,@@@27.2@329.6@@13.0@25.7,weatherlink
000GD,2018-05-13 17:00:00,17.1,1007.1,,77,13,,16.1,,,360,16.8,19.8,0,0,0,0,,0.8,0,0,,,,,,@@@27.2@330.4@@13.0@29.0,weatherlink
000GD,2018-05-14 10:00:00,12.9,1009.9,,81,9.8,,3.2,,,360,11.7,13.7,0,0,0,0,,8.4,0,0,,,,,,@@@27.2@338.8@@11.7@32.2,weatherlink
000GD,2018-05-14 16:00:00,15,1011.8,,69,9.4,,4.8,,,360,11.7,15.4,0,0,0,0,,9,0,0,,,,,,@@@27.2@339.4@@11.7@32.2,weatherlink
000GD,2018-05-14 22:00:00,12,1012.1,,80,8.7,,8,,,360,12,12,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@11.7@12.9,weatherlink
000GD,2018-05-15 02:00:00,11.4,1010.4,,77,7.5,,6.4,,,360,11.3,12,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@11.3@19.3,weatherlink
000GD,2018-05-15 03:00:00,10.8,1010.1,,80,7.5,,8,,,360,10.8,12,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.8@19.3,weatherlink
000GD,2018-05-15 06:00:00,14.1,1009.8,-0.3,71,8.9,,0,,,360,10.7,14.2,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 06:30:00,14.7,1009.8,-0.3,70,9.3,,3.2,,,360,10.7,15.1,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 07:00:00,14.4,1009.7,,74,9.9,,3.2,,,360,10.7,15.1,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 07:30:00,15.3,1009.7,,71,10,,4.8,,,360,10.7,15.3,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 08:00:00,15.8,1009.8,,70,10.3,,4.8,,,360,10.7,15.8,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 08:30:00,15.6,1009.9,,71,10.4,,8,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 09:00:00,15.8,1010,0.2,72,10.7,,6.4,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 09:30:00,15.3,1010.1,0.3,71,10.1,,11.3,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@19.3,weatherlink
000GD,2018-05-15 10:00:00,15.1,1010.4,0.7,72,10.1,,9.7,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@22.5,weatherlink
000GD,2018-05-15 10:30:00,15.2,1010.5,0.8,72,10.2,,12.9,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@22.5,weatherlink
000GD,2018-05-15 11:30:00,15.7,1010.3,0.5,72,10.6,,14.5,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@25.7,weatherlink
000GD,2018-05-15 12:30:00,15.6,1010.7,0.7,72,10.5,,11.3,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 13:00:00,15.7,1010.7,0.3,72,10.6,,9.7,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 14:00:00,15.8,1010.7,0.4,74,11.2,,9.7,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 15:00:00,15.9,1010.6,-0.1,73,11.1,,6.4,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 15:30:00,15.9,1010.5,-0.2,72,10.9,,9.7,,,360,10.7,15.9,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 16:00:00,15.9,1010.4,-0.3,73,11.1,,8,,,360,10.7,15.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 16:30:00,16,1010.2,-0.5,74,11.4,,6.4,,,360,10.7,16,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 17:30:00,16,1010.4,-0.3,72,11,,8,,,360,10.7,16,,,,,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 18:00:00,16,1010.7,0.1,73,11.2,,8,,,360,10.7,16,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 19:00:00,15.8,1011.3,0.9,75,11.4,,4.8,,,360,10.7,16.1,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@27.4,weatherlink
000GD,2018-05-15 22:00:00,15.2,1012.6,1.3,79,11.6,,0,,,360,15.2,15.2,0,0,0,0,,0,0,0,,,,,,@@@27.2@339.4@@10.7@0.0,weatherlink
000GD,2018-05-17 11:00:00,17.1,1015.7,,86,14.7,,9.7,,,360,14.7,18.7,0,0,0,0,,0.4,0,0,,,,,,@@@27.2@339.8@@10.7@25.7,weatherlink
000GD,2018-05-18 10:00:00,19.1,1015.9,,75,14.5,,8,,,360,13.9,19.1,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@17.7,weatherlink
000GD,2018-05-18 11:30:00,19.2,1015.4,,72,14,,11.3,,,360,13.9,19.3,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@19.3,weatherlink
000GD,2018-05-18 12:00:00,19.8,1015.3,,69,13.9,,6.4,,,360,13.9,19.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@19.3,weatherlink
000GD,2018-05-18 12:30:00,19.8,1015.1,,70,14.1,,6.4,,,360,13.9,19.9,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@19.3,weatherlink
000GD,2018-05-19 03:00:00,16.2,1013.7,,78,12.3,,3.2,,,360,16.2,17.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@9.7,weatherlink
000GD,2018-05-19 03:30:00,16.1,1013.8,,80,12.6,,3.2,,,360,16,17.9,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@9.7,weatherlink
000GD,2018-05-19 13:00:00,21.9,1014.5,,62,14.3,,6.4,,,360,15.9,21.9,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@24.1,weatherlink
000GD,2018-05-19 13:30:00,22.3,1014.4,,60,14.1,,4.8,,,186,15.9,22.3,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@24.1,weatherlink
000GD,2018-05-19 14:00:00,21.4,1014.3,,69,15.5,,8,,,360,15.9,22.6,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@24.1,weatherlink
000GD,2018-05-19 14:30:00,21.9,1014.2,,66,15.3,,4.8,,,185,15.9,22.6,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@24.1,weatherlink
000GD,2018-05-19 19:00:00,19.7,1013.8,,70,14.1,,0,,,360,15.9,22.6,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@24.1,weatherlink
000GD,2018-05-20 02:00:00,20.1,1013.8,,58,11.6,,4.8,,,360,19.9,20.8,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@25.7,weatherlink
000GD,2018-05-20 02:30:00,19.7,1013.9,,60,11.7,,3.2,,,360,19.4,20.8,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@25.7,weatherlink
000GD,2018-05-20 03:00:00,19.6,1013.8,,60,11.6,,1.6,,,360,19.4,20.8,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@25.7,weatherlink
000GD,2018-05-20 03:30:00,19,1013.8,,63,11.8,,1.6,,,360,19,20.8,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@25.7,weatherlink
000GD,2018-05-20 13:30:00,25.1,1012.9,,43,11.6,,17.7,,,360,18.9,25.3,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@33.8,weatherlink
000GD,2018-05-20 18:00:00,23.1,1012.4,,50,12.1,,9.7,,,360,18.9,25.8,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@45.1,weatherlink
000GD,2018-05-21 03:00:00,19.4,1012.4,,63,12.2,,8,,,360,19.4,21.3,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@33.8,weatherlink
000GD,2018-05-21 03:30:00,19.9,1012.4,,60,11.9,,8,,,360,19.4,21.3,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@33.8,weatherlink
000GD,2018-05-21 12:00:00,24.5,1011.4,,43,11.1,,24.1,,,9,19.4,24.7,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@54.7,weatherlink
000GD,2018-05-21 12:30:00,24.6,1011.2,,41,10.4,,24.1,,,12,19.4,24.9,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@54.7,weatherlink
000GD,2018-05-21 14:30:00,25.5,1010,,41,11.3,,17.7,,,322,19.4,25.5,,,,,,0,0,0,,,,,,@@@27.2@340.0@@10.7@54.7,weatherlink
000GD,2018-05-21 15:00:00,26.2,1009.8,-1.6,38,10.7,,16.1,,,313,19.4,26.2,0,0,0,0,,0,0,0,,,,,,@@@27.2@340.0@@10.7@54.7,weatherlink
000GD,2018-05-22 02:00:00,16.7,1010.8,,90,15.1,,6.4,,,360,16.7,18.6,0,0,0,0,,1,0,0,,,,,,@@@27.2@347.6@@10.7@12.9,weatherlink
000GD,2018-05-22 03:00:00,16.8,1010.9,,91,15.3,,0,,,360,16.4,18.6,0.2,0,0,0,,1.2,0,0,,,,,,@@@27.2@347.8@@10.7@12.9,weatherlink
000GD,2018-05-22 03:30:00,16.7,1011,,91,15.2,,3.2,,,360,16.4,18.6,,,,,,1.4,0,0,,,,,,@@@27.2@348.0@@10.7@12.9,weatherlink
000GD,2018-05-22 04:00:00,16.4,1011,,91,15,,8,,,360,16.4,18.6,0.6,0,0,0,,1.8,0.8,1,,,,,,@@@27.2@348.4@@10.7@14.5,weatherlink
000GD,2018-05-22 08:30:00,17.8,1012.2,,87,15.6,,1.6,,,360,16.3,18.6,,,,,,4.2,0,0,,,,,,@@@27.2@350.8@@10.7@16.1,weatherlink
000GD,2018-05-22 09:00:00,18.4,1012.1,,85,15.8,,3.2,,,360,16.3,18.6,0,0,0,0,,4.2,0,0,,,,,,@@@27.2@350.8@@10.7@16.1,weatherlink
000GD,2018-05-22 10:00:00,19.9,1012.3,,69,14.1,,14.5,,,360,16.3,19.9,0,0,0,0,,4.2,0,0,,,,,,@@@27.2@350.8@@10.7@25.7,weatherlink
000GD,2018-05-22 20:00:00,18.7,1014,,73,13.8,,3.2,,,360,16.3,21.6,0,0,0,0,,4.4,0,0,,,,,,@@@27.2@351.0@@10.7@27.4,weatherlink
000GD,2018-05-22 20:30:00,19.2,1014.3,,72,14,,0,,,360,16.3,21.6,,,,,,4.4,0,0,,,,,,@@@27.2@351.0@@10.7@27.4,weatherlink
000GD,2018-05-23 03:00:00,17.4,1014.6,,74,12.7,,4.8,,,360,16.2,17.7,0,0,0,0,,0,0,0,,,,,,@@@27.2@351.0@@10.7@12.9,weatherlink
000GD,2018-05-23 03:30:00,17.3,1014.4,,74,12.7,,3.2,,,360,16.2,17.7,,,,,,0,0,0,,,,,,@@@27.2@351.0@@10.7@12.9,weatherlink
