station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GH,2019-01-01 00:00:00,7.2,1024.3,,50,-2.5,,1.9,,4.8,14,7.2,7.2,0,0,0,0,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 00:10:00,7.2,1024.5,,51,-2.2,,2.1,,4.8,14,7.2,7.2,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 00:20:00,7.2,1024.4,,50,-2.6,,2.9,,4.8,14,7.2,7.2,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 00:30:00,7.2,1024.3,,50,-2.5,,3.7,,4.8,14,7.2,7.2,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 00:40:00,7.2,1024.3,,50,-2.5,,3.2,,6.4,14,7.2,7.2,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 00:50:00,7.3,1024.3,,50,-2.5,,1.4,,4.8,14,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:00:00,7.3,1024.3,,50,-2.4,,2.4,,6.4,14,7.2,7.3,0,0,0,0,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:10:00,7.3,1024.3,,50,-2.5,,4.5,,6.4,18,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:20:00,7.3,1024.4,,50,-2.4,,2.7,,4.8,19,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:30:00,7.3,1024.6,,50,-2.5,,2.6,,4.8,19,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:40:00,7.2,1024.6,,50,-2.5,,4,,4.8,19,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 01:50:00,7.2,1024.6,,50,-2.5,,2.6,,4.8,19,7.2,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:00:00,7.2,1024.7,,51,-2.3,,2.8,,6.4,19,7.2,7.3,0,0,0,0,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:10:00,7.1,1024.6,,50,-2.7,,3.8,,6.4,19,7.1,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:20:00,7.1,1024.8,,50,-2.7,,1.3,,4.8,19,7.1,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:30:00,6.9,1024.9,,51,-2.5,,2.6,,4.8,19,6.9,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:40:00,6.9,1024.8,,51,-2.5,,1.3,,3.2,19,6.9,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 02:50:00,6.8,1024.7,,51,-2.6,,2.3,,4.8,19,6.8,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:00:00,6.7,1024.7,0.4,52,-2.4,,2.7,,4.8,19,6.7,7.3,0,0,0,0,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:10:00,6.7,1024.6,0.3,52,-2.5,,2.1,,4.8,19,6.7,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:20:00,6.6,1024.6,0.3,52,-2.5,,2.1,,4.8,19,6.6,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:30:00,6.6,1024.5,0.2,52,-2.5,,1.1,,3.2,19,6.6,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:40:00,6.6,1024.4,0.1,52,-2.6,,2.5,,4.8,19,6.6,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 03:50:00,6.5,1024.4,0.1,52,-2.6,,2.1,,4.8,19,6.5,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 04:00:00,6.6,1024.3,,52,-2.6,,3.2,,4.8,19,6.5,7.3,0,0,0,0,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
000GH,2019-01-01 04:10:00,6.5,1024.2,-0.1,52,-2.6,,3.4,,4.8,20,6.5,7.3,,,,,,0,0,0,0,0,,,,0@@@@0@@@,weatherlink
