station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GM,2017-04-09 17:40:00,19.1,1022.7,,39,4.8,,1.6,,,175,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 17:50:00,19,1022.6,,40,5.1,,1.6,,,119,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:00:00,18.4,1022.5,,42,5.2,,1.6,,,77,7.4,21.6,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:10:00,17.8,1022.4,,44,5.4,,1.6,,6.4,92,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:20:00,17.2,1022.4,,50,6.6,,1.6,,6.4,45,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:30:00,16.3,1022.6,,53,6.7,,1.6,,4.8,37,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:40:00,15.1,1022.6,,57,6.6,,1.6,,4.8,343,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 18:50:00,14.1,1022.7,,58,6,,1.6,,6.4,312,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:00:00,13.7,1022.8,,59,5.8,,1.6,,4.8,295,7.4,21.6,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:10:00,13.4,1022.8,,60,5.8,,3.2,,6.4,281,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:20:00,13.1,1023,,62,5.9,,1.6,,4.8,282,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:30:00,12.3,1023,,65,5.9,,1.6,,4.8,272,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:40:00,11.8,1023.1,,66,5.7,,1.6,,4.8,274,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 19:50:00,11.3,1023.1,,68,5.6,,3.2,,4.8,275,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:00:00,11.1,1023.1,0.4,68,5.4,,3.2,,4.8,278,7.4,21.6,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:10:00,11.3,1023.1,0.4,67,5.4,,3.2,,6.4,287,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:20:00,11.4,1023.1,0.4,65,5,,1.6,,4.8,287,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:30:00,11.6,1023.2,0.5,63,4.7,,1.6,,4.8,287,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:40:00,11.6,1023.2,0.5,62,4.6,,1.6,,4.8,286,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 20:50:00,11.6,1023.3,0.6,62,4.6,,1.6,,6.4,288,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:00:00,12.2,1023.3,0.8,59,4.4,,3.2,,6.4,275,7.4,21.6,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:10:00,11.9,1023.3,0.8,58,3.9,,3.2,,6.4,247,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:20:00,13.3,1023.3,0.8,52,3.6,,6.4,,12.9,274,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:30:00,15.6,1023.1,0.6,43,3,,8,,14.5,293,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:40:00,16.6,1023.2,0.7,41,3.3,,8,,17.7,333,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 21:50:00,16.9,1023.2,0.7,41,3.5,,8,,14.5,285,7.4,21.6,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 22:00:00,16.9,1023.2,0.4,41,3.5,,6.4,,11.3,284,7.4,21.6,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@22.5,weatherlink
000GM,2017-04-09 22:10:00,16.8,1023.2,0.4,42,3.8,,8,,,268,16.8,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@16.1,weatherlink
000GM,2017-04-09 22:20:00,16.8,1023.2,0.4,42,3.8,,11.3,,17.7,291,16.7,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@17.7,weatherlink
000GM,2017-04-09 22:30:00,16.8,1023.2,0.4,43,4.1,,9.7,,19.3,252,16.7,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 22:40:00,16.7,1023.3,0.5,43,4,,8,,17.7,306,16.6,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 22:50:00,16.4,1023.1,0.3,44,4.1,,6.4,,17.7,278,16.4,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:00:00,16.4,1023.1,,44,4.1,,8,,16.1,275,16.4,16.9,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:10:00,16.3,1023,-0.1,44,4,,8,,14.5,308,16.3,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:20:00,16.2,1023.2,0.1,44,3.9,,8,,16.1,285,16.2,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:30:00,15.9,1023.1,,45,4,,6.4,,14.5,272,15.9,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:40:00,15.7,1023,-0.1,45,3.8,,6.4,,17.7,323,15.7,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-09 23:50:00,15.4,1023,-0.1,47,4.1,,3.2,,12.9,271,15.4,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-10 00:00:00,14.9,1023,,48,4,,3.2,,6.4,264,14.9,16.9,0,0,0,0,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-10 00:10:00,14.5,1022.9,,50,4.2,,4.8,,9.7,259,14.5,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-10 00:20:00,14.1,1022.7,,50,3.8,,4.8,,11.3,247,13.9,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-10 00:30:00,14.3,1022.7,,50,4,,4.8,,12.9,349,13.9,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
000GM,2017-04-10 00:40:00,14.7,1022.6,,49,4.1,,6.4,,16.1,302,13.9,16.9,,,,,,0,0,0,,,,,,@@@21.6@7.0@@2.4@19.3,weatherlink
