station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GO,2017-04-11 11:20:00,15.1,1027.7,,48,3.9,,19.3,,27.4,21,4.4,15.2,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 11:30:00,15.4,1027.8,,46,3.9,,19.3,,27.4,22,4.4,15.4,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 11:40:00,15.3,1027.7,,48,4.4,,20.9,,30.6,29,4.4,15.4,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 11:50:00,15.5,1027.6,,49,4.4,,19.3,,27.4,28,4.4,15.5,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:00:00,15.5,1027.4,,47,3.9,,20.9,,30.6,12,4.4,15.6,0,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:10:00,15.8,1027.5,,45,3.9,,19.3,,30.6,33,4.4,15.8,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:20:00,15.9,1027.3,,45,3.9,,16.1,,29,19,4.4,15.9,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:30:00,15.8,1027.2,,44,3.3,,17.7,,29,4,4.4,16.2,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:40:00,15.8,1027.3,,46,3.9,,19.3,,27.4,11,4.4,16.2,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 12:50:00,15.9,1027.3,,43,3.3,,16.1,,24.1,16,4.4,16.2,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:00:00,16.1,1027.3,,44,3.9,,14.5,,25.7,17,4.4,16.2,0,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:10:00,16.6,1027.2,,45,4.4,,14.5,,24.1,62,4.4,16.6,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:20:00,16.7,1027.1,,41,3.3,,16.1,,24.1,11,4.4,16.9,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:30:00,16.8,1027,,43,3.9,,14.5,,22.5,18,4.4,16.9,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:40:00,17,1027,,42,3.9,,14.5,,25.7,26,4.4,17,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
000GO,2017-04-11 13:50:00,16.7,1026.7,,42,3.9,,16.1,,24.1,6,4.4,17.1,,,,,,0,0,0,,,,,,@@@@42.2@@@,wlkIP
