station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GP,2017-05-20 17:10:00,16.3,1023,,64,9.5,,8.1,19.3,,251,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 17:20:00,16.2,1023.1,,67,10.1,,8.4,19.3,,259,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 17:30:00,16,1023,,66,9.7,,7.7,19.3,,238,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 17:40:00,16.1,1023,,65,9.5,,6.5,19.3,,229,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 17:50:00,16.3,1023.1,,65,9.7,,7.3,19.3,,254,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:00:00,16.1,1023.2,,66,9.7,,7.6,16.1,,248,,,0,0,0,0,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:10:00,16,1023.3,,67,9.9,,6.1,16.1,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:20:00,15.7,1023.3,,68,9.8,,0.5,16.1,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:30:00,15.6,1023.3,,68,9.7,,0.5,16.1,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:40:00,15.5,1023.5,,69,9.8,,1.2,16.1,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 18:50:00,15.4,1023.5,,69,9.7,,0,16.1,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:00:00,15.3,1023.5,,70,9.9,,0,14.5,,256,,,0,0,0,0,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:10:00,15.3,1023.5,,70,9.9,,0,9.7,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:20:00,15.2,1023.6,,71,10,,0,8,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:30:00,15,1023.7,,72,10,,0,4.8,,256,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:40:00,14.6,1023.8,,73,9.8,,0,0,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 19:50:00,14.2,1024,,73,9.4,,0.7,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:00:00,13.9,1024.1,1.1,73,9.1,,5.9,12.9,,255,,,0,0,0,0,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:10:00,13.7,1024.2,1.2,74,9.2,,5.5,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:20:00,13.4,1024.2,1.2,74,8.9,,5.5,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:30:00,13.2,1024.3,1.3,75,8.9,,2.1,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:40:00,12.9,1024.5,1.5,76,8.8,,0,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 20:50:00,12.7,1024.6,1.6,77,8.8,,0,12.9,,255,,,,,,,,,0,,,,,,,@@@@@@@,weatherlink
000GP,2017-05-20 21:00:00,12.4,1024.8,1.6,78,8.7,,0,9.7,,255,,,0,0,0,0,,,0,,,,,,,@@@@@@@,weatherlink
