station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GQ,2024-03-29 14:40:00,18.4,996.4,,54,8.9,,61.2,,,162,18.4,18.4,,,,,,,,,213,,,,,@0.0@232@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 14:50:00,18.3,996.4,,55,9.1,,53.1,,,158,18.3,18.4,,,,,,,,,218,,,,,@0.0@232@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 15:00:00,18.3,996.4,,54,8.9,,48.3,,82.1,181,18.3,18.4,,,,,,,,,251,,,,,@0.0@251@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 15:10:00,18.3,996.2,,54,8.9,,48.3,,77.2,174,18.3,18.4,,,,,,,,,246,,,,,@0.0@269@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 15:20:00,18.3,996.4,,54,8.9,,45.1,,69.2,186,18.3,18.4,,,,,,,,,229,,,,,@0.0@269@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 15:30:00,18.4,996.1,,53,8.7,,49.9,,72.4,181,18.3,18.4,,,,,,,,,218,,,,,@0.0@302@18.4@2056.0@17.78@1.7@88.5,weatherlink
000GQ,2024-03-29 15:40:00,18.4,996.1,,54,8.9,,46.7,,75.6,150,18.3,18.5,,,,,,,,,176,,,,,@0.0@338@18.5@2056.0@17.75@1.7@88.5,weatherlink
000GQ,2024-03-29 15:50:00,18.3,995.9,,54,8.8,,40.2,,77.2,136,18.2,18.5,,,,,,,,,174,,,,,@0.0@338@18.5@2056.0@17.75@1.7@88.5,weatherlink
000GQ,2024-03-29 16:00:00,18.3,995.8,,54,8.9,,48.3,,82.1,158,18.2,18.5,,,,,,,,,120,,,,,@0.0@338@18.5@2056.0@17.75@1.7@88.5,weatherlink
000GQ,2024-03-29 16:10:00,18.2,996.2,,55,9,,51.5,,72.4,168,18.2,18.5,,,,,,,,,116,,,,,@0.0@338@18.5@2056.0@17.75@1.7@88.5,weatherlink
