station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000GV,2017-07-15 13:10:00,20.7,1017.5,,64,13.9,,8,,16.1,268,9.7,21,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 13:20:00,21,1017.5,,64,13.9,,4.8,,16.1,12,9.7,21,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 13:30:00,21.2,1017.4,,66,14.4,,6.4,,16.1,331,9.7,21.3,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 13:40:00,21.4,1017.4,,68,15.6,,6.4,,12.9,321,9.7,21.4,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 13:50:00,21.2,1017.3,,65,14.4,,9.7,,16.1,346,9.7,21.4,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:00:00,20.9,1017.2,,67,14.4,,9.7,,19.3,348,9.7,21.4,0,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:10:00,21.3,1017.4,,63,13.9,,9.7,,17.7,283,9.7,21.4,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:20:00,21.1,1017.4,,66,14.4,,9.7,,19.3,310,9.7,21.4,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:30:00,21.3,1017.5,,64,13.9,,12.9,,20.9,341,9.7,21.4,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:40:00,21.1,1017.6,,63,13.9,,12.9,,22.5,346,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 14:50:00,21.3,1017.5,,64,14.4,,9.7,,22.5,350,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:00:00,20.9,1017.5,,63,13.3,,12.9,,22.5,344,9.7,21.5,0,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:10:00,21,1017.5,,62,13.3,,9.7,,22.5,327,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:20:00,20.7,1017.3,,62,13.3,,9.7,,20.9,277,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:30:00,20.8,1017.2,,62,13.3,,8,,17.7,288,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:40:00,20.8,1017.2,,62,13.3,,8,,19.3,279,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 15:50:00,20.8,1017.1,,60,12.8,,9.7,,19.3,334,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:00:00,20.7,1017,-0.5,62,12.8,,8,,16.1,300,9.7,21.5,0,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:10:00,20.4,1017,-0.5,61,12.8,,9.7,,17.7,338,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:20:00,20.6,1016.9,-0.6,62,12.8,,8,,17.7,298,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:30:00,20.3,1016.9,-0.6,64,13.3,,9.7,,17.7,282,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:40:00,20.1,1017,-0.5,62,12.8,,9.7,,17.7,312,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 16:50:00,20.1,1016.9,-0.6,64,12.8,,8,,17.7,308,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:00:00,20.2,1016.8,-0.4,66,13.3,,8,,17.7,322,9.7,21.5,0,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:10:00,19.8,1016.9,-0.3,66,13.3,,11.3,,16.1,319,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:20:00,19.8,1016.8,-0.4,67,13.3,,9.7,,17.7,333,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:30:00,19.6,1016.9,-0.3,68,13.3,,9.7,,17.7,323,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:40:00,19.6,1016.9,-0.3,69,13.9,,9.7,,17.7,341,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
000GV,2017-07-15 17:50:00,19.5,1016.9,-0.3,69,13.9,,8,,17.7,323,9.7,21.5,,,,,,0.2,0,0,,,,,,@@@@380.0@@@,wlkIP
